! Candidate angular fit; delta and xtar-dependent terms retained from frozen seed.
 --------------------------------------------
 7.4123093751019302e-04 -5.5557841820410604e-05 5.8241669317215562e-04 0.0000000000000000e+00 00000
 3.2653884007595724e-01 1.5425478203065324e-02 -5.3822586593510078e-03 2.4527718100000001e-01 10000
 -2.9563981031309305e+00 -1.2890358373628555e-01 3.8858498096731191e-02 1.7923725400000001e-01 01000
 -5.8388654395159119e-03 -4.5575853166645075e-01 2.7107299941951835e-01 1.5762221900000001e-02 00100
 1.3958060727750995e-01 3.1679114509535325e-02 -2.2951997649947393e+00 -2.7748113599999999e-02 00010
 -3.0862447157263900e-01 -3.7756228767133304e-02 1.1546701025029435e-02 -3.1763193899999997e-01 20000
 2.2536931440209265e+00 2.2659657225065891e-01 -7.9611250826974997e-02 3.2294487900000002e+00 11000
 5.7377874856860558e+00 1.6366238294922780e-01 1.3038472776034105e-01 9.9624983800000000e-01 02000
 -2.6070419669442242e-02 1.4388807946234217e+00 -4.2300801353908202e-01 -6.9868989000000006e-02 10100
 3.4687144416537585e-01 8.5282968984143481e-01 1.6100977494583349e-01 -2.7273720299999998e-01 01100
 2.4001462131741896e-01 -1.5218040353116349e-02 -4.9986533654587426e-02 -1.7795864400000000e-02 00200
 -9.2502762875348060e-02 -1.9597102740889316e+01 5.2592216888297472e+00 -1.7964206399999999e-01 10010
 6.2770409714271086e-02 -2.0421291862435012e+01 3.0372567900514724e+00 5.1434082800000001e+00 01010
 -6.2021116001410026e-01 -1.6945095471147523e-01 7.2952612581696208e-01 4.5628469799999999e-01 00110
 -1.1520839560953808e+00 5.5138487630475075e-01 -1.2618545119111628e+00 -6.4079203600000003e+00 00020
 1.7260677826478119e+00 1.1170478155527305e-01 -3.4599390543892224e-02 9.3683431900000003e-01 30000
 -3.7654267500453741e+01 -4.7199974923109411e-01 -1.3416858591901340e-01 -1.3540589900000001e+01 21000
 2.8849113301322524e+02 -6.3267840549400054e+00 4.8828883158815559e+00 5.1879764199999997e+01 12000
 -8.1943565902249782e+02 3.8439654836471739e+01 -1.8870838090437353e+01 -2.0498985000000001e+01 03000
 2.8803968589384437e+00 -4.6576098744470276e+00 1.4741838977744126e+00 -3.1254219399999998e-02 20100
 -3.1980295342290418e+01 5.1115460643520244e+01 -1.4941882212547155e+01 2.8400841199999999e-01 11100
 7.0160313080645892e+01 -1.2376427068019717e+02 3.4729593610706218e+01 3.9556433100000001e+00 02100
 -2.0073224960391145e+00 3.6876194590046065e+00 -9.7449031998296742e-01 9.5431561099999995e-01 10200
 -1.0990344682898108e+00 -2.9049241522200045e+01 7.6270293205037438e+00 -7.0688381700000003e+00 01200
 3.7287376425430185e-01 -4.0021506289738431e+00 4.5239681711148698e+00 -3.5820566700000001e-01 00300
 -6.1698663843532202e+00 6.1985589967215134e+01 -1.9559481718635396e+01 -2.7448817499999998e+00 20010
 8.2462434238155879e+01 -6.9347072627330567e+02 2.0372089444611265e+02 1.0681983600000001e+01 11010
 -2.5219019874619872e+02 1.7572950060464761e+03 -4.7020021379163165e+02 -4.6776265000000002e+01 02010
 -9.2753273378194306e-02 -6.2696804035556255e+01 1.2336608306736661e+01 4.3468718099999998e-01 10110
 2.4013004651232689e+02 4.4328788259726230e+02 -1.1040959049252398e+02 2.5692412099999999e+01 01110
 -1.8643548581105872e+01 1.1137678669839526e+02 -7.2795909656708915e+01 -3.1559352000000001e+00 00210
 2.1498677190397586e+02 7.4590488240152879e+01 1.2601560960199997e+01 3.1907757499999999e+01 10020
 -2.1210537388040534e+03 -1.6881255480463727e+02 2.1737670434404599e+01 -4.6789810199999999e+02 01020
 9.1884121254438242e+01 -1.3646600171791329e+03 7.3971853569041241e+02 3.4179037000000001e+01 00120
 -1.1831182180976995e+01 5.9800584182583352e+03 -2.6019600831290481e+03 -7.1508536199999995e+01 00030
 -6.3108536592799114e+00 8.2201763850472409e-01 -4.2561653389299731e-01 -2.3027877499999998e+00 40000
 1.2805006338603798e+02 -3.0464826242460880e+01 1.4919950277976834e+01 5.8024830899999998e+01 31000
 -7.8175865619467299e+02 3.7622088548571014e+02 -1.7965232191887432e+02 -4.9156237399999998e+02 22000
 6.8618482945424591e+02 -1.9315566150912291e+03 9.2754791051587165e+02 1.7182972100000000e+03 13000
 4.9438991753548280e+03 3.5044801968806892e+03 -1.8460329924849550e+03 -1.9501040300000000e+03 04000
 -3.4467357093653590e+01 8.0535428517947221e+00 -2.5603543858807796e+00 -1.4621283800000000e+00 30100
 6.2763026476128255e+02 -8.9118055876495916e+01 3.8689503788910862e+01 4.7295753499999996e+01 21100
 -3.9193791647993253e+03 2.4499986368662817e+01 -1.0602405115141404e+02 -4.3237295599999999e+02 12100
 8.8580863629365431e+03 1.1934239119795534e+03 -1.8064015381835875e+02 1.3233994800000000e+03 03100
 9.2833247327282624e+00 -1.3672560310607958e+01 5.1227610333883211e+00 -1.0047251200000000e+00 20200
 -1.0451757360817450e+02 1.0333553813269970e+02 -5.9202070005392486e+01 1.6743462399999999e+01 11200
 4.0285438866995787e+02 1.5512115155516278e+02 5.8741043979067605e+01 -6.7273158699999996e+01 02200
 -2.2167756563931182e+01 5.7514485150655874e+00 -1.6561538746891689e+01 4.9815545700000001e+00 10300
 2.2838555766699551e+02 4.6197657348044018e+01 -6.8899983662463157e+01 -3.7436718100000000e+01 01300
 -1.2439742221139575e+01 1.5181864679998629e+01 1.7634803083953166e+01 3.8352631700000002e+00 00400
 1.7248231346930871e+02 -1.5100336743049405e+02 3.4465179735587043e+01 2.0406354700000001e+01 30010
 -2.3988794801489721e+03 2.1246322739818579e+03 -5.3073642731041355e+02 -5.2187064599999997e+02 21010
 1.0703552897493841e+04 -7.3547737074193701e+03 1.9266283140985079e+03 4.0218560800000000e+03 12010
 -2.0206685385264420e+04 1.5112897556797441e+03 -1.2439759911910140e+02 -1.1081659400000000e+04 03010
 -2.4554639351818949e+02 4.5362462481239692e+02 -1.0659226001295063e+02 -2.6109065900000001e+01 20110
 2.2791397291162184e+03 -3.9080404353906979e+03 8.0161442920217735e+02 3.4366059500000000e+02 11110
 -8.7436278565992579e+03 6.3691199558047799e+02 1.0863270382572632e+03 -9.7405222100000003e+02 02110
 2.4549615145775090e+02 -4.7798437990534558e+02 4.4115490392500573e+02 -3.6510193000000001e+01 10210
 -2.4914023805164170e+03 9.4288655960524716e+02 2.6765714580081724e+01 2.9243684000000002e+02 01210
 2.4909907768122707e+02 -3.2849836094477104e+02 -6.1690400208263640e+01 -8.4939199799999997e+01 00310
 6.6292402659020627e+02 -2.1981989820040048e+03 5.9828115010897091e+02 4.0636932100000001e+02 20020
 -2.4731972329147925e+03 1.5920412573933138e+04 -4.8957929068233925e+03 -4.5869649099999997e+03 11020
 2.1890302248319716e+04 1.5491179625220053e+04 -4.5772205455812964e+03 9.3584628599999996e+03 02020
 -2.0845649047043707e+03 4.5737996469029222e+03 -1.0476456158339561e+03 6.0264629700000000e+01 10120
 9.4091225304091258e+03 -1.1392494321819444e+04 1.0678698916700514e+03 -6.9720597099999998e+02 01120
 -1.9772439738954408e+03 -3.8058413018736439e+02 5.2323362137126207e+02 7.2697501299999999e+02 00220
 -4.5992524587044102e+01 -2.4868187146917084e+04 3.9354368463755800e+03 5.3606629499999997e+02 10030
 2.6141151840860577e+04 7.4803524813879718e+04 1.1432913222561920e+04 -2.3364836399999999e+03 01030
 -1.1306615540233249e+03 1.6624145615115198e+04 -9.5805415485372559e+03 -1.6674671400000000e+03 00130
 3.9309632538404090e+04 -5.4914891713302764e+04 3.6177175834647605e+04 3.9121164899999999e+03 00040
 4.4167932527302458e+00 -6.0332388281419762e+00 2.7210558784345955e+00 4.9678190300000002e+00 50000
 2.6481460232747764e+02 1.8438664796135583e+02 -8.1218182534264329e+01 -2.1463550799999999e+02 41000
 -9.4745224849775605e+03 -2.2368617289197382e+03 9.8783440870489517e+02 3.4385126599999999e+03 32000
 1.0773637292132714e+05 1.2799603463707215e+04 -5.7074586681652481e+03 -2.7888407800000001e+04 23000
 -5.3919172319393139e+05 -3.2938475227508323e+04 1.4565514597160705e+04 1.1885052899999999e+05 14000
 1.0383761975167964e+06 2.2634796550834235e+04 -1.0025546191821419e+04 -2.0979779999999999e+05 05000
 1.0667846171985559e+02 -1.2167490982719505e+01 -8.4164563703153039e-01 3.0790796100000000e+00 40100
 -1.8639930746944522e+03 1.8819543990561826e+02 -1.1185981519002485e+01 -7.1757031799999993e+01 31100
 6.2085859437998024e+03 5.7227260428653011e+01 2.8133516428032897e+02 1.7523077900000001e+02 22100
 3.6464206070566732e+04 -8.2323060633454952e+03 -2.7024836701771378e+03 3.6607079199999998e+03 13100
 -1.6828786246464847e+05 2.5113258717992845e+04 8.4282083672767749e+03 -1.8679771700000001e+04 04100
 -4.6573141736888218e+01 9.2267609229266228e+00 -9.7548717491952690e+00 -9.8292970799999999e+00 30200
 1.1841871847589132e+03 -5.8957857415666048e+01 1.6494102595423888e+02 2.2322339500000001e+02 21200
 -8.8597248485952405e+03 -1.7174324705669696e+03 -1.0084255395775235e+03 -1.9345593400000000e+03 12200
 2.5383930884259622e+04 7.2117693862328288e+03 3.6387464533542848e+03 6.2959604900000004e+03 03200
 1.1610893007587539e+02 2.7510406068790353e-02 1.6849514916455561e+01 7.5324127100000000e+00 20300
 -1.5249354671547733e+03 -3.6061836335087754e+01 1.9790422911060872e+02 -1.7311873199999999e+02 11300
 3.3420187224435523e+02 7.8021774070471977e+01 1.1551292121739805e+03 1.0774482200000000e+03 02300
 2.0609651420634759e+02 -5.9617767108587314e+00 6.6005776598788968e+00 -1.1124031400000001e+00 10400
 -6.9520350479857223e+02 -5.9732909256101220e+02 -3.6077232184861145e+02 -1.0768688200000000e+02 01400
 8.4990507726062354e+00 6.3152311863516580e+01 -1.2835045731658030e+02 -1.3675491200000001e+00 00500
 -1.5069765160225854e+03 2.2637020379742228e+02 1.0185940240985065e+01 -4.8581986499999999e+01 40010
 3.0460501997217783e+04 -2.7706885271501865e+03 -5.1227361230924623e+02 1.9529719100000000e+03 31010
 -1.9688184334375514e+05 -1.1794396033684114e+04 1.0234506878566743e+04 -2.0776508900000001e+04 22010
 3.4771634628771082e+05 2.3639403563745398e+05 -6.8611233961000689e+04 7.9440774900000004e+04 13010
 4.0581630099500640e+05 -7.1484457393148565e+05 1.2720874019143661e+05 -7.1841567599999995e+04 04010
 2.2379373664951786e+03 -1.4144494028367528e+03 3.2720355947181582e+02 6.3779292800000000e+01 30110
 -4.5638655592981173e+04 2.2535348839693608e+04 -4.9622801398843212e+03 -1.7658266000000001e+03 21110
 3.1104924737273372e+05 -8.4882651893106115e+04 2.4679831215727765e+04 1.1961652899999999e+04 12110
 -7.8802606674545666e+05 9.1925845751234578e+04 -5.4107314776458850e+04 -3.6062570899999999e+04 03110
 -1.0916044676652632e+03 1.3834481378145210e+03 5.2917599695934541e+02 -8.6987571199999998e+00 20210
 1.2864024943719645e+04 -2.3005066317595665e+04 -2.0681106147292205e+04 1.6077307200000000e+03 11210
 7.6989735187287137e+04 8.5380698391160637e+04 3.4124340864998441e+04 -1.1675984399999999e+04 02210
 -3.0865447325885125e+03 2.5361049870688516e+03 -8.8655961215633590e+02 1.6598224700000000e+02 10310
 -4.4428947291007898e+03 1.2894487938743465e+04 3.1774201945269606e+03 9.4686973100000000e+02 01310
 5.9920880283122938e+02 2.1233172927092352e+02 4.3679022470998952e+03 1.6439557600000001e+02 00410
 -1.8273610032649995e+04 1.1757564256933603e+04 -1.9540972144807724e+03 -2.4076491099999998e+03 30020
 3.5852142334573925e+05 -1.7222673893794825e+05 2.1986743433408850e+04 5.5520991600000001e+04 21020
 -2.4933805928845447e+06 5.8335300677291432e+05 -8.5898367929410422e+04 -4.1814969699999999e+05 12020
 6.4938356420353502e+06 -6.0668809223540779e+05 1.1847411439862280e+05 1.1185970900000001e+06 03020
 1.1509412843285865e+04 -1.9069143996081322e+04 -1.0630408884166423e+04 3.3250162999999998e+02 20120
 -1.7004579223491254e+05 2.6775931262379623e+05 2.3960866704951809e+05 -1.4254245100000000e+04 11120
