target	alpha	l1	term	selected	full_svd	enet	refit_svd
xptar	0.0001	0.1	00000	True	0.0012166348670744288	0.0012836692449056664	0.0011765253440603057
xptar	0.0001	0.1	10000	True	0.3270416309578816	0.3409351496407117	0.3371013738365731
xptar	0.0001	0.1	01000	True	-2.972301211787427	-3.0910801226325035	-3.0504351131055594
xptar	0.0001	0.1	00100	True	-0.001568221376523419	0.010921042443013475	0.0029410559785340647
xptar	0.0001	0.1	00010	True	0.12402048712753178	0.07054401593241948	0.12153540417749767
xptar	0.0001	0.1	20000	True	-0.27582443848462923	-0.38650645253042604	-0.23921943574182597
xptar	0.0001	0.1	11000	True	1.783378640254833	2.836595423544279	1.1786574093346978
xptar	0.0001	0.1	02000	True	7.167346752994937	6.034633687723622	9.68935243251815
xptar	0.0001	0.1	10100	True	-0.06975852269026284	-0.4568412365849085	-0.40036885032111047
xptar	0.0001	0.1	01100	True	0.7486090565929219	2.8294897535515107	2.6643352623974654
xptar	0.0001	0.1	00200	True	-0.1406585833669046	-0.12173108269592725	-0.19632266887255725
xptar	0.0001	0.1	10010	True	-0.2688556505555962	1.5721914020144414	0.4706670506273116
xptar	0.0001	0.1	01010	True	3.255182752818057	-5.869386537160591	-0.33199931952443495
xptar	0.0001	0.1	00110	True	0.16235504736725032	0.20287874582756357	0.24793385870808524
xptar	0.0001	0.1	00020	True	-5.9166191778952255	0.10462418297059223	-2.272465139309946
xptar	0.0001	0.1	30000	True	1.410678033698487	0.8526173332859278	0.26205777276127074
xptar	0.0001	0.1	21000	True	-28.692748390748996	-9.585670860818421	-4.017180208561574
xptar	0.0001	0.1	12000	True	204.18044596232022	13.275692777487802	22.538860624822632
xptar	0.0001	0.1	03000	True	-547.2780505371923	44.62084550870528	-87.07813634430826
xptar	0.0001	0.1	20100	True	2.516542158260356	1.7133182119313477	2.261079030922143
xptar	0.0001	0.1	11100	True	-25.580126071770096	-7.71795229882001	-10.992503100403505
xptar	0.0001	0.1	02100	True	23.818233932559398	-52.80057266516184	-61.17319206417307
xptar	0.0001	0.1	10200	True	0.7084617872545684	0.6612022384199865	0.5430563068979177
xptar	0.0001	0.1	01200	True	-0.05775760003498437	-2.0228090764489193	2.5619716808287953
xptar	0.0001	0.1	00300	True	0.9738303153896004	1.6630732239494055	1.7254900313855854
xptar	0.0001	0.1	20010	True	-6.661257820467809	-17.277402256947553	-18.994980420359422
xptar	0.0001	0.1	11010	True	81.17390115647814	107.11788065857994	146.49077116480876
xptar	0.0001	0.1	02010	True	-41.58107263907585	183.3157259959721	-17.058179276640175
xptar	0.0001	0.1	10110	True	-39.11473252622216	-7.95901485939326	-12.667879529511424
xptar	0.0001	0.1	01110	False	183.3575572421637	-0.0	0.0
xptar	0.0001	0.1	00210	False	2.242859384581595	-0.0	0.0
xptar	0.0001	0.1	10020	True	241.76339931415725	30.030804198025425	34.16409655282589
xptar	0.0001	0.1	01020	True	-1973.125190350403	-351.35315270879227	-312.3264245866798
xptar	0.0001	0.1	00120	True	-62.270388835090266	-27.265872296334937	28.739885878209964
xptar	0.0001	0.1	00030	True	281.0670096448477	153.7838206453846	-174.38915895546603
xptar	0.0001	0.1	40000	True	-8.25587732801375	-1.550383570191562	-9.171271950867585
xptar	0.0001	0.1	31000	True	180.62778221245125	15.531094967161284	213.09332190115288
xptar	0.0001	0.1	22000	True	-1352.6751391046453	33.86563749703252	-1823.8554587894857
xptar	0.0001	0.1	13000	True	3709.5754693808635	-251.01709422125253	6825.049681632955
xptar	0.0001	0.1	04000	True	-1532.9055926085819	-1590.9045749555237	-9222.57516583302
xptar	0.0001	0.1	30100	True	-24.45277494182722	-1.1390993652793941	-2.1506963669553785
xptar	0.0001	0.1	21100	False	417.9349301715606	0.0	0.0
xptar	0.0001	0.1	12100	False	-2468.4885150290525	0.0	0.0
xptar	0.0001	0.1	03100	True	5647.006580028467	889.7401585823245	1119.7512554956304
xptar	0.0001	0.1	20200	True	-7.365234041096421	-1.9669793655434675	3.46161417920968
xptar	0.0001	0.1	11200	True	39.50169957625716	17.284775014870675	-35.244991456617896
xptar	0.0001	0.1	02200	True	99.66300933094539	-29.130876405432303	87.8118973710797
xptar	0.0001	0.1	10300	True	-35.149110579197526	-6.86338141200685	-19.489169403490724
xptar	0.0001	0.1	01300	True	203.11004554505197	11.495074936661787	135.25716143812704
xptar	0.0001	0.1	00400	False	10.176363325247333	0.0	0.0
xptar	0.0001	0.1	30010	True	149.73674976825478	35.28667205484367	103.85984182174465
xptar	0.0001	0.1	21010	True	-2088.099948083449	-115.16955141518434	-1264.6534684352912
xptar	0.0001	0.1	12010	True	9689.746601363153	-1824.5299334832118	5747.431571917609
xptar	0.0001	0.1	03010	True	-23669.813034289375	-600.1917665295912	-19978.84417846096
xptar	0.0001	0.1	20110	False	80.36883637485282	0.0	0.0
xptar	0.0001	0.1	11110	True	196.7810497904371	261.9075907883023	125.34336399942268
xptar	0.0001	0.1	02110	True	-3431.891867734165	-736.6854259695451	175.55658198970443
xptar	0.0001	0.1	10210	False	495.4010215719571	-0.0	0.0
xptar	0.0001	0.1	01210	True	-3387.129496436377	348.54003064531656	-278.37307716871464
xptar	0.0001	0.1	00310	True	-139.95807324172867	2.0880846106122726	52.2319076496956
xptar	0.0001	0.1	20020	False	-170.779716437596	-0.0	0.0
xptar	0.0001	0.1	11020	False	-6066.810648353022	0.0	0.0
xptar	0.0001	0.1	02020	True	35965.97729500084	-12295.298824839907	-5002.504642490765
xptar	0.0001	0.1	10120	True	-2783.0138477722826	463.9838075763487	1368.0421634305144
xptar	0.0001	0.1	01120	True	25654.21310541485	524.1236379192625	3212.315329823693
xptar	0.0001	0.1	00220	True	-47.270255566263266	98.83248852427552	-378.6439950236741
xptar	0.0001	0.1	10030	False	5358.768673106172	0.0	0.0
xptar	0.0001	0.1	01030	True	-61328.05700823165	-7576.5054585415355	-27284.004610718326
xptar	0.0001	0.1	00130	False	-12979.54170977408	0.0	0.0
xptar	0.0001	0.1	00040	True	115785.93945489712	-1289.3982634069814	6594.1702714075045
xptar	0.0001	0.1	50000	True	23.544493543684737	2.9482461300012597	58.149679531333625
xptar	0.0001	0.1	41000	True	-453.85879843768174	-32.10546640795316	-1636.9805267262998
xptar	0.0001	0.1	32000	True	1410.4848657125358	-73.06100012476577	17813.039090765942
xptar	0.0001	0.1	23000	True	22935.656077823864	368.4025615503958	-92752.68614101996
xptar	0.0001	0.1	14000	True	-191037.56313610924	8947.441594110564	225110.1565452051
xptar	0.0001	0.1	05000	True	423535.87368951255	-25885.905390948603	-187964.31504416908
xptar	0.0001	0.1	40100	False	62.04304532718192	0.0	0.0
xptar	0.0001	0.1	31100	False	-953.7090512323954	-0.0	0.0
xptar	0.0001	0.1	22100	True	1435.7157824775695	-150.03479535111185	-636.063980546347
xptar	0.0001	0.1	13100	False	28224.068832214263	-0.0	0.0
xptar	0.0001	0.1	04100	True	-72041.86506581056	14936.503236707893	46990.45803471707
xptar	0.0001	0.1	30200	True	41.10691783594497	11.665430576314526	11.527034832644468
xptar	0.0001	0.1	21200	True	-284.97170008893926	-122.26825969790261	-164.31042415901874
xptar	0.0001	0.1	12200	False	-1141.2111900253262	-0.0	0.0
xptar	0.0001	0.1	03200	True	5516.399772088712	5044.704418029243	4567.124019098191
xptar	0.0001	0.1	20300	True	153.04069151574024	4.9797297646175895	33.43840665732224
xptar	0.0001	0.1	11300	True	-817.7924301324817	-42.510312423157245	-95.3154214050937
xptar	0.0001	0.1	02300	True	-1264.3762930130633	-48.35869391458891	-2792.524062591481
xptar	0.0001	0.1	10400	True	55.242667702990616	3.5652317657366943	-14.319171729146149
xptar	0.0001	0.1	01400	True	-830.4979895401303	-49.43470886998382	85.73170669058509
xptar	0.0001	0.1	00500	True	8.038314575883136	5.147642733162656	-8.861275992271814
xptar	0.0001	0.1	40010	True	-1120.8860874151396	-9.043598511078207	-191.87666178422597
xptar	0.0001	0.1	31010	True	22670.870016513007	89.65584367108886	3840.213780741203
xptar	0.0001	0.1	22010	True	-152087.33610786923	920.4281258359059	-19279.985345467274
xptar	0.0001	0.1	13010	False	340189.3597411063	0.0	0.0
