rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported
rg01_theta12p490_foil0	0	1	6	7	12	0	3	0	0	12
rg01_theta12p490_foil0	0	1	7	2	358	180	72	51	46	0
rg01_theta12p490_foil0	0	1	7	3	620	317	124	110	80	0
rg01_theta12p490_foil0	0	1	7	4	856	379	172	136	163	0
rg01_theta12p490_foil0	0	1	7	5	1069	379	214	165	306	0
rg01_theta12p490_foil0	0	1	7	6	1186	379	238	193	382	0
rg01_theta12p490_foil0	0	1	7	7	1	0	1	0	0	1
rg01_theta12p490_foil0	0	1	8	2	282	152	57	47	39	0
rg01_theta12p490_foil0	0	1	8	3	402	208	81	61	52	0
rg01_theta12p490_foil0	0	1	8	4	580	293	116	87	74	0
rg01_theta12p490_foil0	0	1	8	5	720	372	144	113	93	0
rg01_theta12p490_foil0	0	1	8	6	637	329	128	104	83	0
rg01_theta12p490_foil0	0	1	8	7	1	0	1	0	0	1
rg01_theta12p490_foil0	0	2	0	1	1	0	1	0	0	1
rg01_theta12p490_foil0	0	2	0	2	374	192	75	54	48	0
rg01_theta12p490_foil0	0	2	0	3	629	329	126	99	83	0
rg01_theta12p490_foil0	0	2	0	4	895	379	179	128	178	0
rg01_theta12p490_foil0	0	2	0	5	1126	379	226	171	322	0
rg01_theta12p490_foil0	0	2	0	6	521	259	105	79	65	0
rg01_theta12p490_foil0	0	2	1	1	2	0	1	0	0	2
rg01_theta12p490_foil0	0	2	1	2	579	284	116	96	72	0
rg01_theta12p490_foil0	0	2	1	3	982	379	197	151	224	0
rg01_theta12p490_foil0	0	2	1	4	1361	379	273	195	448	0
rg01_theta12p490_foil0	0	2	1	5	1689	379	338	262	651	0
rg01_theta12p490_foil0	0	2	1	6	1890	379	378	289	813	0
rg01_theta12p490_foil0	0	2	1	7	1	0	1	0	0	1
rg01_theta12p490_foil0	0	2	2	1	101	56	21	16	14	0
rg01_theta12p490_foil0	0	2	2	2	839	379	168	142	156	0
rg01_theta12p490_foil0	0	2	2	3	23	0	5	0	0	23
rg01_theta12p490_foil0	0	2	2	4	1637	379	328	256	659	0
rg01_theta12p490_foil0	0	2	2	5	1970	379	394	320	869	0
rg01_theta12p490_foil0	0	2	2	6	2531	379	507	403	1218	0
rg01_theta12p490_foil0	0	2	2	7	226	120	46	42	31	0
rg01_theta12p490_foil0	0	2	3	1	238	127	48	39	32	0
rg01_theta12p490_foil0	0	2	3	2	885	379	177	142	194	0
rg01_theta12p490_foil0	0	2	3	3	1439	379	288	231	540	0
rg01_theta12p490_foil0	0	2	3	4	2005	379	401	330	897	0
rg01_theta12p490_foil0	0	2	3	5	2478	379	496	396	1249	0
rg01_theta12p490_foil0	0	2	3	6	3022	379	605	494	1566	0
rg01_theta12p490_foil0	0	2	3	7	772	379	155	132	148	0
rg01_theta12p490_foil0	0	2	4	1	290	157	58	45	40	0
rg01_theta12p490_foil0	0	2	4	2	991	379	199	168	282	0
rg01_theta12p490_foil0	0	2	4	3	1553	379	311	239	625	0
rg01_theta12p490_foil0	0	2	4	4	597	314	120	89	79	0
rg01_theta12p490_foil0	0	2	4	5	2808	379	562	469	1397	0
rg01_theta12p490_foil0	0	2	4	6	3449	379	690	561	1849	0
rg01_theta12p490_foil0	0	2	4	7	1044	379	209	182	342	0
rg01_theta12p490_foil0	0	2	5	1	278	159	56	49	40	0
rg01_theta12p490_foil0	0	2	5	2	946	379	190	160	238	0
rg01_theta12p490_foil0	0	2	5	3	1411	379	283	231	515	0
rg01_theta12p490_foil0	0	2	5	4	2072	379	415	338	945	0
rg01_theta12p490_foil0	0	2	5	5	47	0	10	0	0	47
rg01_theta12p490_foil0	0	2	5	6	3181	379	637	536	1691	0
rg01_theta12p490_foil0	0	2	5	7	733	379	147	130	126	0
rg01_theta12p490_foil0	0	2	6	1	147	82	30	29	21	0
rg01_theta12p490_foil0	0	2	6	2	793	379	159	131	145	0
rg01_theta12p490_foil0	0	2	6	3	1208	379	242	198	406	0
rg01_theta12p490_foil0	0	2	6	4	1719	379	344	255	726	0
rg01_theta12p490_foil0	0	2	6	5	2180	379	436	341	1047	0
rg01_theta12p490_foil0	0	2	6	6	2736	379	548	441	1436	0
rg01_theta12p490_foil0	0	2	6	7	222	116	45	34	29	0
rg01_theta12p490_foil0	0	2	7	1	1	0	1	0	0	1
rg01_theta12p490_foil0	0	2	7	2	566	306	114	98	77	0
rg01_theta12p490_foil0	0	2	7	3	915	379	183	152	209	0
rg01_theta12p490_foil0	0	2	7	4	1357	379	272	223	505	0
rg01_theta12p490_foil0	0	2	7	5	1809	379	362	278	814	0
rg01_theta12p490_foil0	0	2	7	6	2131	379	427	338	980	0
rg01_theta12p490_foil0	0	2	7	7	4	0	1	0	0	4
rg01_theta12p490_foil0	0	2	8	2	358	192	72	57	48	0
rg01_theta12p490_foil0	0	2	8	3	606	320	122	106	81	0
rg01_theta12p490_foil0	0	2	8	4	958	379	192	157	212	0
rg01_theta12p490_foil0	0	2	8	5	1346	379	270	220	490	0
rg01_theta12p490_foil0	0	2	8	6	756	378	152	120	112	0
rg01_theta12p490_foil0	0	3	0	2	181	85	37	31	22	0
