rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported
rg02_theta15p195_foil0	0	2	2	4	207	104	42	30	26	0
rg02_theta15p195_foil0	0	2	2	5	288	149	58	49	38	0
rg02_theta15p195_foil0	0	2	2	6	351	180	71	55	46	0
rg02_theta15p195_foil0	0	2	2	7	24	0	5	0	0	24
rg02_theta15p195_foil0	0	2	3	1	16	0	4	0	0	16
rg02_theta15p195_foil0	0	2	3	2	77	37	16	14	10	0
rg02_theta15p195_foil0	0	2	3	3	156	80	32	21	21	0
rg02_theta15p195_foil0	0	2	3	4	230	119	46	36	30	0
rg02_theta15p195_foil0	0	2	3	5	320	171	64	47	43	0
rg02_theta15p195_foil0	0	2	3	6	447	236	90	75	59	0
rg02_theta15p195_foil0	0	2	3	7	99	57	20	18	15	0
rg02_theta15p195_foil0	0	2	4	1	21	0	5	0	0	21
rg02_theta15p195_foil0	0	2	4	2	79	36	16	15	10	0
rg02_theta15p195_foil0	0	2	4	3	155	78	31	24	20	0
rg02_theta15p195_foil0	0	2	4	4	75	37	15	11	10	0
rg02_theta15p195_foil0	0	2	4	5	383	196	77	59	50	0
rg02_theta15p195_foil0	0	2	4	6	464	246	93	78	62	0
rg02_theta15p195_foil0	0	2	4	7	109	63	22	21	16	0
rg02_theta15p195_foil0	0	2	5	1	22	0	5	0	0	22
rg02_theta15p195_foil0	0	2	5	2	92	48	19	16	12	0
rg02_theta15p195_foil0	0	2	5	3	133	69	27	23	18	0
rg02_theta15p195_foil0	0	2	5	4	236	120	48	37	31	0
rg02_theta15p195_foil0	0	2	5	5	5	0	1	0	0	5
rg02_theta15p195_foil0	0	2	5	6	445	238	89	82	60	0
rg02_theta15p195_foil0	0	2	5	7	72	40	15	14	11	0
rg02_theta15p195_foil0	0	2	6	1	20	0	4	0	0	20
rg02_theta15p195_foil0	0	2	6	2	76	40	16	13	10	0
rg02_theta15p195_foil0	0	2	6	3	118	58	24	17	15	0
rg02_theta15p195_foil0	0	2	6	4	194	96	39	27	25	0
rg02_theta15p195_foil0	0	2	6	5	260	136	52	42	35	0
rg02_theta15p195_foil0	0	2	6	6	397	211	80	68	53	0
rg02_theta15p195_foil0	0	2	6	7	13	0	3	0	0	13
rg02_theta15p195_foil0	0	2	7	2	41	24	9	9	6	0
rg02_theta15p195_foil0	0	2	7	3	89	48	18	13	12	0
rg02_theta15p195_foil0	0	2	7	4	133	68	27	22	17	0
rg02_theta15p195_foil0	0	2	7	5	223	112	45	37	28	0
rg02_theta15p195_foil0	0	2	7	6	276	148	56	47	38	0
rg02_theta15p195_foil0	0	2	8	2	33	18	7	7	5	0
rg02_theta15p195_foil0	0	2	8	3	76	39	16	14	10	0
rg02_theta15p195_foil0	0	2	8	4	101	52	21	14	14	0
rg02_theta15p195_foil0	0	2	8	5	156	87	32	25	22	0
rg02_theta15p195_foil0	0	2	8	6	90	47	18	17	12	0
rg02_theta15p195_foil0	0	3	0	2	12	0	3	0	0	12
rg02_theta15p195_foil0	0	3	0	3	33	16	7	5	5	0
rg02_theta15p195_foil0	0	3	0	4	59	26	12	10	7	0
rg02_theta15p195_foil0	0	3	0	5	102	48	21	19	13	0
rg02_theta15p195_foil0	0	3	0	6	14	0	3	0	0	14
rg02_theta15p195_foil0	0	3	0	7	1	0	1	0	0	1
rg02_theta15p195_foil0	0	3	1	2	20	0	4	0	0	20
rg02_theta15p195_foil0	0	3	1	3	38	22	8	7	6	0
rg02_theta15p195_foil0	0	3	1	4	90	43	18	17	11	0
rg02_theta15p195_foil0	0	3	1	5	106	56	22	15	14	0
rg02_theta15p195_foil0	0	3	1	6	203	103	41	37	26	0
rg02_theta15p195_foil0	0	3	1	7	1	0	1	0	0	1
rg02_theta15p195_foil0	0	3	2	1	7	0	2	0	0	7
rg02_theta15p195_foil0	0	3	2	2	35	18	7	4	5	0
rg02_theta15p195_foil0	0	3	2	3	1	0	1	0	0	1
rg02_theta15p195_foil0	0	3	2	4	104	51	21	17	13	0
rg02_theta15p195_foil0	0	3	2	5	172	84	35	27	22	0
rg02_theta15p195_foil0	0	3	2	6	280	137	56	45	35	0
rg02_theta15p195_foil0	0	3	2	7	81	42	17	12	11	0
rg02_theta15p195_foil0	0	3	3	1	18	0	4	0	0	18
rg02_theta15p195_foil0	0	3	3	2	50	26	10	7	7	0
rg02_theta15p195_foil0	0	3	3	3	102	47	21	13	12	0
rg02_theta15p195_foil0	0	3	3	4	126	60	26	21	16	0
rg02_theta15p195_foil0	0	3	3	5	202	98	41	34	25	0
rg02_theta15p195_foil0	0	3	3	6	291	146	59	42	37	0
rg02_theta15p195_foil0	0	3	3	7	183	95	37	32	24	0
rg02_theta15p195_foil0	0	3	4	1	23	0	5	0	0	23
rg02_theta15p195_foil0	0	3	4	2	41	21	9	7	6	0
rg02_theta15p195_foil0	0	3	4	3	94	49	19	14	13	0
rg02_theta15p195_foil0	0	3	4	4	39	21	8	5	6	0
rg02_theta15p195_foil0	0	3	4	5	218	112	44	35	29	0
rg02_theta15p195_foil0	0	3	4	6	346	169	70	54	43	0
rg02_theta15p195_foil0	0	3	4	7	223	115	45	39	29	0
rg02_theta15p195_foil0	0	3	5	1	12	0	3	0	0	12
rg02_theta15p195_foil0	0	3	5	2	45	22	9	6	6	0
rg02_theta15p195_foil0	0	3	5	3	72	40	15	10	11	0
rg02_theta15p195_foil0	0	3	5	4	121	64	25	23	17	0
rg02_theta15p195_foil0	0	3	5	5	5	0	1	0	0	5
rg02_theta15p195_foil0	0	3	5	6	281	137	57	45	35	0
rg02_theta15p195_foil0	0	3	5	7	157	80	32	25	21	0
rg02_theta15p195_foil0	0	3	6	1	6	0	2	0	0	6
rg02_theta15p195_foil0	0	3	6	2	24	0	5	0	0	24
rg02_theta15p195_foil0	0	3	6	3	60	29	12	9	8	0
rg02_theta15p195_foil0	0	3	6	4	98	48	20	17	12	0
rg02_theta15p195_foil0	0	3	6	5	171	88	35	30	22	0
rg02_theta15p195_foil0	0	3	6	6	296	143	60	50	36	0
rg02_theta15p195_foil0	0	3	6	7	54	28	11	5	8	0
rg02_theta15p195_foil0	0	3	7	2	35	16	7	5	5	0
rg02_theta15p195_foil0	0	3	7	3	41	18	9	8	5	0
rg02_theta15p195_foil0	0	3	7	4	76	38	16	13	10	0
rg02_theta15p195_foil0	0	3	7	5	126	64	26	20	16	0
rg02_theta15p195_foil0	0	3	7	6	180	95	36	27	24	0
rg02_theta15p195_foil0	0	3	7	7	3	0	1	0	0	3
rg02_theta15p195_foil0	0	3	8	2	8	0	2	0	0	8
rg02_theta15p195_foil0	0	3	8	3	30	14	6	5	4	0
rg02_theta15p195_foil0	0	3	8	4	53	25	11	8	7	0
rg02_theta15p195_foil0	0	3	8	5	114	56	23	20	15	0
rg02_theta15p195_foil0	0	3	8	6	19	0	4	0	0	19
rg02_theta15p195_foil0	0	4	0	2	1	0	1	0	0	1
rg02_theta15p195_foil0	0	4	0	3	5	0	1	0	0	5
rg02_theta15p195_foil0	0	4	0	4	28	16	6	5	5	0
rg02_theta15p195_foil0	0	4	0	5	33	18	7	6	5	0
rg02_theta15p195_foil0	0	4	0	6	2	0	1	0	0	2
rg02_theta15p195_foil0	0	4	1	2	6	0	2	0	0	6
rg02_theta15p195_foil0	0	4	1	3	16	0	4	0	0	16
rg02_theta15p195_foil0	0	4	1	4	31	17	7	4	5	0
rg02_theta15p195_foil0	0	4	1	5	50	29	10	7	8	0
rg02_theta15p195_foil0	0	4	1	6	84	46	17	12	12	0
rg02_theta15p195_foil0	0	4	2	2	9	0	2	0	0	9
rg02_theta15p195_foil0	0	4	2	4	37	17	8	5	5	0
rg02_theta15p195_foil0	0	4	2	5	69	36	14	9	10	0
rg02_theta15p195_foil0	0	4	2	6	110	56	22	17	14	0
rg02_theta15p195_foil0	0	4	2	7	59	30	12	11	8	0
rg02_theta15p195_foil0	0	4	3	2	12	0	3	0	0	12
rg02_theta15p195_foil0	0	4	3	3	20	0	4	0	0	20
rg02_theta15p195_foil0	0	4	3	4	40	20	8	6	5	0
rg02_theta15p195_foil0	0	4	3	5	73	39	15	12	10	0
rg02_theta15p195_foil0	0	4	3	6	160	81	32	27	21	0
rg02_theta15p195_foil0	0	4	3	7	145	78	29	26	20	0
rg02_theta15p195_foil0	0	4	4	2	17	0	4	0	0	17
rg02_theta15p195_foil0	0	4	4	3	22	0	5	0	0	22
rg02_theta15p195_foil0	0	4	4	4	9	0	2	0	0	9
rg02_theta15p195_foil0	0	4	4	5	92	46	19	17	12	0
rg02_theta15p195_foil0	0	4	4	6	158	86	32	28	22	0
rg02_theta15p195_foil0	0	4	4	7	182	94	37	28	24	0
rg02_theta15p195_foil0	0	4	5	2	14	0	3	0	0	14
rg02_theta15p195_foil0	0	4	5	3	24	0	5	0	0	24
rg02_theta15p195_foil0	0	4	5	4	45	22	9	6	6	0
rg02_theta15p195_foil0	0	4	5	6	181	97	37	28	25	0
rg02_theta15p195_foil0	0	4	5	7	144	71	29	25	18	0
rg02_theta15p195_foil0	0	4	6	2	8	0	2	0	0	8
rg02_theta15p195_foil0	0	4	6	3	17	0	4	0	0	17
rg02_theta15p195_foil0	0	4	6	4	35	20	7	5	5	0
rg02_theta15p195_foil0	0	4	6	5	51	25	11	10	7	0
rg02_theta15p195_foil0	0	4	6	6	138	74	28	24	19	0
rg02_theta15p195_foil0	0	4	6	7	53	27	11	9	7	0
rg02_theta15p195_foil0	0	4	7	3	17	0	4	0	0	17
rg02_theta15p195_foil0	0	4	7	4	27	12	6	6	3	0
rg02_theta15p195_foil0	0	4	7	5	66	30	14	12	8	0
rg02_theta15p195_foil0	0	4	7	6	113	56	23	19	15	0
rg02_theta15p195_foil0	0	4	8	3	10	0	2	0	0	10
rg02_theta15p195_foil0	0	4	8	4	12	0	3	0	0	12
rg02_theta15p195_foil0	0	4	8	5	45	23	9	7	6	0
rg02_theta15p195_foil0	0	4	8	6	5	0	1	0	0	5
rg03_theta12p490_foilpm8	0	0	0	1	3	0	1	0	0	3
rg03_theta12p490_foilpm8	0	0	0	2	52	0	11	0	0	52
rg03_theta12p490_foilpm8	0	0	0	3	78	16	16	6	5	0
rg03_theta12p490_foilpm8	0	0	0	4	98	44	20	13	12	0
rg03_theta12p490_foilpm8	0	0	0	5	41	10	9	5	3	0
rg03_theta12p490_foilpm8	0	0	0	6	3	0	1	0	0	3
rg03_theta12p490_foilpm8	0	0	1	1	19	0	4	0	0	19
rg03_theta12p490_foilpm8	0	0	1	2	48	0	10	0	0	48
rg03_theta12p490_foilpm8	0	0	1	3	101	48	21	14	13	0
rg03_theta12p490_foilpm8	0	0	1	4	144	72	29	21	18	0
rg03_theta12p490_foilpm8	0	0	1	5	89	40	18	12	10	0
rg03_theta12p490_foilpm8	0	0	1	6	2	0	1	0	0	2
rg03_theta12p490_foilpm8	0	0	2	1	38	12	8	5	4	0
rg03_theta12p490_foilpm8	0	0	2	2	77	25	16	10	7	0
rg03_theta12p490_foilpm8	0	0	2	3	18	0	4	0	0	18
rg03_theta12p490_foilpm8	0	0	2	4	160	65	32	19	17	0
rg03_theta12p490_foilpm8	0	0	2	5	140	55	28	14	14	0
rg03_theta12p490_foilpm8	0	0	2	6	21	0	5	0	0	21
rg03_theta12p490_foilpm8	0	0	3	1	37	13	8	2	4	0
rg03_theta12p490_foilpm8	0	0	3	2	95	44	19	12	11	0
rg03_theta12p490_foilpm8	0	0	3	3	141	65	29	22	17	0
rg03_theta12p490_foilpm8	0	0	3	4	167	76	34	20	20	0
rg03_theta12p490_foilpm8	0	0	3	5	187	92	38	25	24	0
rg03_theta12p490_foilpm8	0	0	3	6	54	20	11	4	6	0
rg03_theta12p490_foilpm8	0	0	4	1	44	18	9	6	5	0
rg03_theta12p490_foilpm8	0	0	4	2	151	64	31	18	17	0
rg03_theta12p490_foilpm8	0	0	4	3	176	80	36	27	21	0
rg03_theta12p490_foilpm8	0	0	4	4	66	21	14	6	6	0
rg03_theta12p490_foilpm8	0	0	4	5	208	86	42	27	22	0
rg03_theta12p490_foilpm8	0	0	4	6	179	64	36	21	16	0
rg03_theta12p490_foilpm8	0	0	5	1	31	11	7	2	3	0
rg03_theta12p490_foilpm8	0	0	5	2	90	44	18	9	12	0
rg03_theta12p490_foilpm8	0	0	5	3	158	77	32	13	20	0
rg03_theta12p490_foilpm8	0	0	5	4	153	76	31	22	19	0
rg03_theta12p490_foilpm8	0	0	5	5	32	0	7	0	0	32
rg03_theta12p490_foilpm8	0	0	5	6	156	72	32	27	18	0
rg03_theta12p490_foilpm8	0	0	6	1	14	0	3	0	0	14
rg03_theta12p490_foilpm8	0	0	6	2	72	28	15	5	8	0
rg03_theta12p490_foilpm8	0	0	6	3	148	58	30	16	15	0
rg03_theta12p490_foilpm8	0	0	6	4	157	70	32	23	18	0
rg03_theta12p490_foilpm8	0	0	6	5	162	76	33	23	20	0
rg03_theta12p490_foilpm8	0	0	6	6	168	78	34	26	20	0
rg03_theta12p490_foilpm8	0	0	7	1	1	0	1	0	0	1
rg03_theta12p490_foilpm8	0	0	7	2	38	17	8	6	5	0
rg03_theta12p490_foilpm8	0	0	7	3	64	28	13	8	8	0
rg03_theta12p490_foilpm8	0	0	7	4	106	55	22	17	14	0
rg03_theta12p490_foilpm8	0	0	7	5	145	72	29	23	19	0
rg03_theta12p490_foilpm8	0	0	7	6	103	52	21	18	14	0
rg03_theta12p490_foilpm8	0	0	8	2	12	0	3	0	0	12
rg03_theta12p490_foilpm8	0	0	8	3	17	0	4	0	0	17
rg03_theta12p490_foilpm8	0	0	8	4	57	29	12	10	8	0
rg03_theta12p490_foilpm8	0	0	8	5	70	34	14	13	9	0
rg03_theta12p490_foilpm8	0	0	8	6	6	0	2	0	0	6
rg03_theta12p490_foilpm8	0	1	0	1	2	0	1	0	0	2
rg03_theta12p490_foilpm8	0	1	0	2	70	28	14	9	7	0
rg03_theta12p490_foilpm8	0	1	0	3	106	51	22	13	13	0
rg03_theta12p490_foilpm8	0	1	0	4	133	55	27	21	14	0
rg03_theta12p490_foilpm8	0	1	0	5	98	40	20	13	10	0
rg03_theta12p490_foilpm8	0	1	0	6	4	0	1	0	0	4
rg03_theta12p490_foilpm8	0	1	1	1	64	27	13	7	7	0
rg03_theta12p490_foilpm8	0	1	1	2	99	39	20	10	10	0
rg03_theta12p490_foilpm8	0	1	1	3	193	87	39	28	22	0
rg03_theta12p490_foilpm8	0	1	1	4	235	99	47	30	25	0
rg03_theta12p490_foilpm8	0	1	1	5	185	77	37	30	20	0
rg03_theta12p490_foilpm8	0	1	1	6	27	9	6	3	3	0
rg03_theta12p490_foilpm8	0	1	2	1	83	37	17	6	10	0
rg03_theta12p490_foilpm8	0	1	2	2	146	67	30	21	17	0
rg03_theta12p490_foilpm8	0	1	2	3	22	0	5	0	0	22
rg03_theta12p490_foilpm8	0	1	2	4	235	107	47	29	27	0
rg03_theta12p490_foilpm8	0	1	2	5	267	120	54	39	31	0
rg03_theta12p490_foilpm8	0	1	2	6	92	36	19	10	9	0
rg03_theta12p490_foilpm8	0	1	3	1	98	38	20	14	10	0
rg03_theta12p490_foilpm8	0	1	3	2	171	82	35	27	21	0
rg03_theta12p490_foilpm8	0	1	3	3	223	96	45	31	25	0
rg03_theta12p490_foilpm8	0	1	3	4	293	140	59	50	36	0
rg03_theta12p490_foilpm8	0	1	3	5	323	155	65	44	39	0
rg03_theta12p490_foilpm8	0	1	3	6	232	108	47	28	27	0
rg03_theta12p490_foilpm8	0	1	4	1	87	39	18	9	10	0
rg03_theta12p490_foilpm8	0	1	4	2	191	92	39	28	23	0
rg03_theta12p490_foilpm8	0	1	4	3	230	116	46	37	30	0
rg03_theta12p490_foilpm8	0	1	4	4	73	36	15	12	10	0
rg03_theta12p490_foilpm8	0	1	4	5	351	183	71	59	46	0
rg03_theta12p490_foilpm8	0	1	4	6	325	156	65	53	39	0
rg03_theta12p490_foilpm8	0	1	5	1	89	36	18	11	9	0
rg03_theta12p490_foilpm8	0	1	5	2	172	81	35	26	21	0
rg03_theta12p490_foilpm8	0	1	5	3	224	112	45	32	29	0
rg03_theta12p490_foilpm8	0	1	5	4	257	128	52	39	32	0
rg03_theta12p490_foilpm8	0	1	5	5	18	0	4	0	0	18
rg03_theta12p490_foilpm8	0	1	5	6	363	161	73	52	41	0
rg03_theta12p490_foilpm8	0	1	6	1	66	24	14	3	7	0
rg03_theta12p490_foilpm8	0	1	6	2	129	62	26	17	16	0
rg03_theta12p490_foilpm8	0	1	6	3	197	95	40	32	24	0
rg03_theta12p490_foilpm8	0	1	6	4	230	115	46	27	29	0
rg03_theta12p490_foilpm8	0	1	6	5	282	145	57	49	37	0
rg03_theta12p490_foilpm8	0	1	6	6	326	162	66	49	41	0
rg03_theta12p490_foilpm8	0	1	7	1	24	0	5	0	0	24
rg03_theta12p490_foilpm8	0	1	7	2	97	51	20	12	13	0
rg03_theta12p490_foilpm8	0	1	7	3	161	81	33	28	21	0
rg03_theta12p490_foilpm8	0	1	7	4	206	100	42	32	26	0
rg03_theta12p490_foilpm8	0	1	7	5	234	118	47	34	30	0
rg03_theta12p490_foilpm8	0	1	7	6	251	127	51	44	32	0
rg03_theta12p490_foilpm8	0	1	8	1	1	0	1	0	0	1
rg03_theta12p490_foilpm8	0	1	8	2	93	50	19	13	13	0
rg03_theta12p490_foilpm8	0	1	8	3	104	48	21	14	13	0
rg03_theta12p490_foilpm8	0	1	8	4	135	60	27	19	16	0
rg03_theta12p490_foilpm8	0	1	8	5	161	78	33	27	20	0
rg03_theta12p490_foilpm8	0	1	8	6	8	0	2	0	0	8
rg03_theta12p490_foilpm8	0	2	0	1	3	0	1	0	0	3
rg03_theta12p490_foilpm8	0	2	0	2	112	53	23	16	14	0
rg03_theta12p490_foilpm8	0	2	0	3	184	84	37	21	22	0
rg03_theta12p490_foilpm8	0	2	0	4	235	118	47	35	30	0
rg03_theta12p490_foilpm8	0	2	0	5	222	110	45	39	28	0
rg03_theta12p490_foilpm8	0	2	0	6	4	0	1	0	0	4
rg03_theta12p490_foilpm8	0	2	1	1	58	28	12	10	8	0
rg03_theta12p490_foilpm8	0	2	1	2	141	66	29	26	17	0
rg03_theta12p490_foilpm8	0	2	1	3	240	104	48	38	26	0
rg03_theta12p490_foilpm8	0	2	1	4	345	164	69	48	42	0
rg03_theta12p490_foilpm8	0	2	1	5	332	160	67	53	41	0
rg03_theta12p490_foilpm8	0	2	1	6	110	50	22	19	13	0
rg03_theta12p490_foilpm8	0	2	2	1	74	36	15	12	9	0
rg03_theta12p490_foilpm8	0	2	2	2	211	96	43	30	24	0
rg03_theta12p490_foilpm8	0	2	2	3	9	0	2	0	0	9
rg03_theta12p490_foilpm8	0	2	2	4	361	178	73	64	45	0
rg03_theta12p490_foilpm8	0	2	2	5	433	207	87	66	52	0
rg03_theta12p490_foilpm8	0	2	2	6	296	148	60	47	37	0
rg03_theta12p490_foilpm8	0	2	3	1	139	72	28	24	18	0
rg03_theta12p490_foilpm8	0	2	3	2	237	117	48	34	30	0
rg03_theta12p490_foilpm8	0	2	3	3	318	166	64	52	42	0
rg03_theta12p490_foilpm8	0	2	3	4	407	200	82	63	50	0
rg03_theta12p490_foilpm8	0	2	3	5	531	259	107	85	65	0
rg03_theta12p490_foilpm8	0	2	3	6	482	254	97	72	64	0
rg03_theta12p490_foilpm8	0	2	4	1	142	74	29	18	19	0
rg03_theta12p490_foilpm8	0	2	4	2	256	132	52	41	34	0
rg03_theta12p490_foilpm8	0	2	4	3	369	190	74	62	48	0
rg03_theta12p490_foilpm8	0	2	4	4	125	66	25	22	17	0
rg03_theta12p490_foilpm8	0	2	4	5	522	261	105	80	66	0
rg03_theta12p490_foilpm8	0	2	4	6	621	320	125	100	80	0
rg03_theta12p490_foilpm8	0	2	5	1	120	64	24	16	16	0
rg03_theta12p490_foilpm8	0	2	5	2	244	133	49	35	34	0
rg03_theta12p490_foilpm8	0	2	5	3	346	168	70	55	42	0
rg03_theta12p490_foilpm8	0	2	5	4	450	239	90	79	60	0
rg03_theta12p490_foilpm8	0	2	5	5	19	0	4	0	0	19
rg03_theta12p490_foilpm8	0	2	5	6	628	324	126	104	81	0
rg03_theta12p490_foilpm8	0	2	6	1	78	40	16	14	11	0
rg03_theta12p490_foilpm8	0	2	6	2	185	92	37	31	24	0
rg03_theta12p490_foilpm8	0	2	6	3	302	152	61	49	38	0
rg03_theta12p490_foilpm8	0	2	6	4	372	190	75	61	48	0
rg03_theta12p490_foilpm8	0	2	6	5	495	262	99	83	66	0
rg03_theta12p490_foilpm8	0	2	6	6	535	289	107	89	73	0
rg03_theta12p490_foilpm8	0	2	7	1	41	23	9	6	6	0
rg03_theta12p490_foilpm8	0	2	7	2	148	67	30	25	17	0
rg03_theta12p490_foilpm8	0	2	7	3	240	128	48	34	32	0
rg03_theta12p490_foilpm8	0	2	7	4	304	160	61	44	41	0
rg03_theta12p490_foilpm8	0	2	7	5	374	188	75	63	48	0
rg03_theta12p490_foilpm8	0	2	7	6	451	237	91	77	60	0
rg03_theta12p490_foilpm8	0	2	8	1	2	0	1	0	0	2
rg03_theta12p490_foilpm8	0	2	8	2	113	59	23	19	15	0
rg03_theta12p490_foilpm8	0	2	8	3	169	86	34	30	22	0
rg03_theta12p490_foilpm8	0	2	8	4	264	136	53	44	34	0
rg03_theta12p490_foilpm8	0	2	8	5	294	148	59	47	38	0
rg03_theta12p490_foilpm8	0	2	8	6	5	0	1	0	0	5
rg03_theta12p490_foilpm8	0	3	0	1	2	0	1	0	0	2
rg03_theta12p490_foilpm8	0	3	0	2	79	37	16	11	10	0
rg03_theta12p490_foilpm8	0	3	0	3	133	63	27	25	16	0
rg03_theta12p490_foilpm8	0	3	0	4	171	80	35	27	21	0
rg03_theta12p490_foilpm8	0	3	0	5	247	116	50	37	30	0
rg03_theta12p490_foilpm8	0	3	1	1	6	0	2	0	0	6
rg03_theta12p490_foilpm8	0	3	1	2	113	59	23	18	15	0
rg03_theta12p490_foilpm8	0	3	1	3	204	98	41	30	25	0
rg03_theta12p490_foilpm8	0	3	1	4	256	122	52	33	31	0
rg03_theta12p490_foilpm8	0	3	1	5	353	164	71	55	42	0
rg03_theta12p490_foilpm8	0	3	1	6	345	167	69	49	42	0
rg03_theta12p490_foilpm8	0	3	2	1	47	24	10	9	6	0
rg03_theta12p490_foilpm8	0	3	2	2	138	66	28	20	17	0
rg03_theta12p490_foilpm8	0	3	2	3	7	0	2	0	0	7
rg03_theta12p490_foilpm8	0	3	2	4	312	152	63	45	39	0
rg03_theta12p490_foilpm8	0	3	2	5	435	208	87	69	53	0
rg03_theta12p490_foilpm8	0	3	2	6	502	227	101	75	57	0
rg03_theta12p490_foilpm8	0	3	3	1	84	40	17	15	10	0
rg03_theta12p490_foilpm8	0	3	3	2	195	96	39	25	25	0
rg03_theta12p490_foilpm8	0	3	3	3	294	141	59	44	36	0
rg03_theta12p490_foilpm8	0	3	3	4	364	176	73	51	45	0
rg03_theta12p490_foilpm8	0	3	3	5	480	228	96	71	57	0
rg03_theta12p490_foilpm8	0	3	3	6	641	310	129	95	78	0
rg03_theta12p490_foilpm8	0	3	4	1	112	55	23	18	14	0
rg03_theta12p490_foilpm8	0	3	4	2	195	93	39	31	24	0
rg03_theta12p490_foilpm8	0	3	4	3	315	148	63	45	37	0
rg03_theta12p490_foilpm8	0	3	4	4	119	57	24	19	15	0
rg03_theta12p490_foilpm8	0	3	4	5	511	244	103	78	62	0
rg03_theta12p490_foilpm8	0	3	4	6	681	336	137	107	84	0
rg03_theta12p490_foilpm8	0	3	5	1	110	52	22	20	13	0
rg03_theta12p490_foilpm8	0	3	5	2	186	95	38	31	24	0
rg03_theta12p490_foilpm8	0	3	5	3	249	125	50	40	32	0
rg03_theta12p490_foilpm8	0	3	5	4	330	154	66	50	39	0
rg03_theta12p490_foilpm8	0	3	5	5	20	0	4	0	0	20
rg03_theta12p490_foilpm8	0	3	5	6	647	315	130	101	79	0
rg03_theta12p490_foilpm8	0	3	6	1	83	41	17	9	11	0
rg03_theta12p490_foilpm8	0	3	6	2	149	68	30	23	18	0
rg03_theta12p490_foilpm8	0	3	6	3	199	92	40	27	23	0
rg03_theta12p490_foilpm8	0	3	6	4	294	134	59	45	34	0
rg03_theta12p490_foilpm8	0	3	6	5	383	179	77	53	45	0
rg03_theta12p490_foilpm8	0	3	6	6	534	251	107	80	63	0
rg03_theta12p490_foilpm8	0	3	7	1	46	21	10	8	6	0
rg03_theta12p490_foilpm8	0	3	7	2	96	44	20	12	12	0
rg03_theta12p490_foilpm8	0	3	7	3	186	84	38	29	22	0
rg03_theta12p490_foilpm8	0	3	7	4	247	124	50	41	31	0
rg03_theta12p490_foilpm8	0	3	7	5	316	151	64	50	38	0
rg03_theta12p490_foilpm8	0	3	7	6	470	228	94	70	57	0
rg03_theta12p490_foilpm8	0	3	8	2	76	37	16	10	10	0
rg03_theta12p490_foilpm8	0	3	8	3	139	66	28	21	17	0
rg03_theta12p490_foilpm8	0	3	8	4	174	81	35	24	21	0
rg03_theta12p490_foilpm8	0	3	8	5	275	128	55	42	32	0
rg03_theta12p490_foilpm8	0	3	8	6	5	0	1	0	0	5
rg03_theta12p490_foilpm8	0	4	0	2	43	22	9	9	6	0
rg03_theta12p490_foilpm8	0	4	0	3	77	40	16	15	11	0
rg03_theta12p490_foilpm8	0	4	0	4	128	64	26	18	16	0
rg03_theta12p490_foilpm8	0	4	0	5	197	96	40	29	24	0
rg03_theta12p490_foilpm8	0	4	1	1	8	0	2	0	0	8
rg03_theta12p490_foilpm8	0	4	1	2	54	28	11	7	7	0
rg03_theta12p490_foilpm8	0	4	1	3	104	52	21	18	13	0
rg03_theta12p490_foilpm8	0	4	1	4	182	85	37	28	22	0
rg03_theta12p490_foilpm8	0	4	1	5	234	115	47	36	29	0
rg03_theta12p490_foilpm8	0	4	1	6	312	152	63	44	39	0
rg03_theta12p490_foilpm8	0	4	2	1	30	14	6	5	4	0
rg03_theta12p490_foilpm8	0	4	2	2	81	37	17	12	10	0
rg03_theta12p490_foilpm8	0	4	2	3	1	0	1	0	0	1
rg03_theta12p490_foilpm8	0	4	2	4	237	117	48	41	30	0
rg03_theta12p490_foilpm8	0	4	2	5	312	153	63	51	39	0
rg03_theta12p490_foilpm8	0	4	2	6	369	189	74	60	48	0
rg03_theta12p490_foilpm8	0	4	3	1	72	36	15	13	9	0
rg03_theta12p490_foilpm8	0	4	3	2	72	36	15	6	9	0
rg03_theta12p490_foilpm8	0	4	3	3	179	90	36	28	23	0
rg03_theta12p490_foilpm8	0	4	3	4	259	128	52	41	33	0
rg03_theta12p490_foilpm8	0	4	3	5	356	172	72	57	44	0
rg03_theta12p490_foilpm8	0	4	3	6	484	231	97	76	58	0
rg03_theta12p490_foilpm8	0	4	4	1	78	40	16	13	11	0
rg03_theta12p490_foilpm8	0	4	4	2	100	48	20	15	13	0
rg03_theta12p490_foilpm8	0	4	4	3	171	88	35	27	22	0
rg03_theta12p490_foilpm8	0	4	4	4	56	30	12	8	8	0
rg03_theta12p490_foilpm8	0	4	4	5	366	182	74	55	46	0
rg03_theta12p490_foilpm8	0	4	4	6	480	240	96	79	60	0
rg03_theta12p490_foilpm8	0	4	5	1	43	23	9	7	6	0
rg03_theta12p490_foilpm8	0	4	5	2	89	45	18	12	12	0
rg03_theta12p490_foilpm8	0	4	5	3	160	81	32	23	21	0
rg03_theta12p490_foilpm8	0	4	5	4	247	118	50	37	30	0
rg03_theta12p490_foilpm8	0	4	5	5	4	0	1	0	0	4
rg03_theta12p490_foilpm8	0	4	5	6	477	227	96	80	57	0
rg03_theta12p490_foilpm8	0	4	6	1	37	17	8	7	5	0
rg03_theta12p490_foilpm8	0	4	6	2	95	47	19	14	12	0
