model	pool	target	rms_gain_percent	low95	high95	clusters	replicates
balanced_squared_full	core	xptar	0.0	0.0	0.0	2587	500
balanced_squared_full	core	ytar	0.0	0.0	0.0	2587	500
balanced_squared_full	core	yptar	0.0	0.0	0.0	2587	500
balanced_huber_full	core	xptar	-0.04975388765744437	-0.14527747665241564	0.02741344225896335	2587	500
balanced_huber_full	core	ytar	0.10363121380488893	0.05333602899669748	0.157395812990376	2587	500
balanced_huber_full	core	yptar	0.027633528602921675	0.0033529061056347684	0.05438654783041838	2587	500
half_surplus_squared_full	core	xptar	2.6190353277751766	2.211309121482581	3.057123253990406	2587	500
half_surplus_squared_full	core	ytar	1.0689534292455893	0.8367479111119894	1.2876082447052761	2587	500
half_surplus_squared_full	core	yptar	0.5465847609909646	0.33867441698584383	0.7278388870201549	2587	500
half_surplus_huber_full	core	xptar	2.6152086079786585	2.189802108876443	3.039080330990818	2587	500
half_surplus_huber_full	core	ytar	1.0780850189412994	0.8292607436229099	1.3175006718171507	2587	500
half_surplus_huber_full	core	yptar	0.562675326512585	0.339639513725693	0.7644179578055669	2587	500
all_core_squared_full	core	xptar	2.696977068516304	2.2114411025891725	3.2086162258387745	2587	500
all_core_squared_full	core	ytar	1.1178660064452006	0.8484083378685181	1.3692717893063708	2587	500
all_core_squared_full	core	yptar	0.5845909416861694	0.3264666532397459	0.8216000252242704	2587	500
all_core_huber_full	core	xptar	2.6949149433039388	2.2065818034212588	3.1922259101269925	2587	500
all_core_huber_full	core	ytar	1.08258393495555	0.797588207211572	1.3710032873840725	2587	500
all_core_huber_full	core	yptar	0.5849922477456637	0.3026336057928841	0.8411153482338485	2587	500
half_shoulders_squared_full	core	xptar	0.9443990022519277	0.43861223609325345	1.5197760395244773	2587	500
half_shoulders_squared_full	core	ytar	1.0274769594322386	0.7587776608502798	1.2900256288571685	2587	500
half_shoulders_squared_full	core	yptar	0.1703221125699872	-0.13386387094481755	0.4204803448137755	2587	500
half_shoulders_huber_full	core	xptar	2.3807770283682084	1.9255579093466968	2.844564411521575	2587	500
half_shoulders_huber_full	core	ytar	1.0449401175202766	0.7518641444432187	1.3241851850134132	2587	500
half_shoulders_huber_full	core	yptar	0.4247220538827867	0.12542479806090023	0.6980503314160604	2587	500
all_supported_squared_full	core	xptar	-1.1449901740458568	-1.8802242489679055	-0.38146030953725624	2587	500
all_supported_squared_full	core	ytar	0.9136402044179426	0.634459156787425	1.1851315344946547	2587	500
all_supported_squared_full	core	yptar	-0.18762566212791043	-0.5603096797002177	0.12248117049641818	2587	500
all_supported_huber_full	core	xptar	1.5453176284465853	1.0491675268855067	2.0646405986023115	2587	500
all_supported_huber_full	core	ytar	0.9437795930554049	0.6571744806811861	1.2164825747612604	2587	500
all_supported_huber_full	core	yptar	0.21447842318466082	-0.1106789607216857	0.49540362171002633	2587	500
balanced_squared_enet_basis	core	xptar	-4.378691629855869	-5.29364012070326	-3.421812731658264	2587	500
balanced_squared_enet_basis	core	ytar	-0.9625851082081027	-1.2291303512611151	-0.6469564661490946	2587	500
balanced_squared_enet_basis	core	yptar	-0.6918715561917921	-0.960957108417323	-0.47691446488182354	2587	500
all_core_squared_enet_basis	core	xptar	-1.565456093256179	-2.4103730111736796	-0.819706244802137	2587	500
all_core_squared_enet_basis	core	ytar	-0.0069635712080851064	-0.3609670799097098	0.33221209452867695	2587	500
all_core_squared_enet_basis	core	yptar	-0.3081570826765745	-0.5895215275483373	-0.04787303137901107	2587	500
all_core_huber_enet_basis	core	xptar	-1.6084061280560613	-2.499871597728781	-0.8479213328475776	2587	500
all_core_huber_enet_basis	core	ytar	-0.02622800112224155	-0.373431865487	0.3394908841228786	2587	500
all_core_huber_enet_basis	core	yptar	-0.3101258136889662	-0.5994452661611127	-0.05042428905741361	2587	500
all_supported_squared_enet_basis	core	xptar	-6.480101214089085	-7.724084600687864	-5.395021166789124	2587	500
all_supported_squared_enet_basis	core	ytar	-0.5030818967158845	-0.8993423765872571	-0.09179642951549219	2587	500
all_supported_squared_enet_basis	core	yptar	-1.597906676801708	-2.1144013434917994	-1.1894941938954169	2587	500
all_supported_huber_enet_basis	core	xptar	-2.4566235733398667	-3.379432316919129	-1.6322326787977357	2587	500
all_supported_huber_enet_basis	core	ytar	-0.17972981506024777	-0.5415779253961672	0.2175121220972492	2587	500
all_supported_huber_enet_basis	core	yptar	-0.562940165308623	-0.8843757908491034	-0.2721652607063857	2587	500
balanced_squared_beam_basis	core	xptar	-0.47081115497711323	-0.7092252953074585	-0.19215756490470862	2587	500
balanced_squared_beam_basis	core	ytar	-0.15079809800999655	-0.3643353277949274	0.048679202330510866	2587	500
balanced_squared_beam_basis	core	yptar	-0.36053005682019634	-0.5508467225294489	-0.1906938713352237	2587	500
