mode	raw_singular_value	unit_column_singular_value
0	408.61378525539016	11.318729256944493
1	84.850180023351129	5.9485719206881802
2	27.543745771144177	4.0612092732090934
3	17.34330866635776	2.7489847708052855
4	5.9977096526461544	2.4735066090706868
5	4.0092111839184357	2.1605602485609761
6	3.5717840679554476	1.4912187014403382
7	2.6538887041185202	1.156809954380233
8	1.7692839173322719	1.0965206775522369
9	1.0451505195613005	1.0427781006467864
10	0.82299488350733208	0.87760670780260663
11	0.6886814372199308	0.85695130651129636
12	0.47661346296647628	0.77266843075839498
13	0.30773473194619672	0.67777222466459142
14	0.24931970092857217	0.63969967595800326
15	0.19641221497684158	0.61042804529846417
16	0.18605328052229464	0.58127049427310085
17	0.17190381703797575	0.52106402219489689
18	0.13037324105705259	0.45580195346771146
19	0.11742643679815543	0.41027358580999523
20	0.06320279805357551	0.40097406856585388
21	0.056658588474676017	0.36945034945808891
22	0.04736178931518676	0.3484106963930953
23	0.043976717917135234	0.31608623357400506
24	0.042097114661643807	0.3048687351349415
25	0.038631593942791531	0.27497702136272806
26	0.036906395301320956	0.26838513197582903
27	0.032563348494634568	0.26147917458594
28	0.024130771199053734	0.24273509218317971
29	0.017893853964708707	0.23434054407138785
30	0.015624558213903272	0.21878481081560003
31	0.014487770747538249	0.20367879810040196
32	0.013529888953464906	0.19916326597275677
33	0.011387000257228427	0.19800785901919304
34	0.010366778081103516	0.18809400271516735
35	0.0085936779020365176	0.18067954781270637
36	0.0075834067455999993	0.15964655900219402
37	0.0072027539912614593	0.15711230005244589
38	0.0070080631776125585	0.14382387370894736
39	0.0049074641503717657	0.136194237046252
40	0.0048397604255805944	0.12977597396310861
41	0.0046554770424222323	0.12214851845432764
42	0.0039111386402555541	0.1171301516657148
43	0.0031901597363205086	0.11287024966428687
44	0.0030285410212597817	0.10728726725028682
45	0.0023500593422608749	0.10029965971481089
46	0.0021874812382739746	0.098930419495866909
47	0.0019624232648553733	0.094377859292550201
48	0.0017570844106280065	0.091867264325217537
49	0.0015787515765610283	0.090818838495992815
50	0.001512675825965835	0.086562975957617083
51	0.0014053324286184112	0.083911178924306273
52	0.0013196270868775924	0.081600496559969038
53	0.0010783926132560575	0.075477114064049555
54	0.0010444214513643294	0.075085972549281857
55	0.00095814520893502942	0.072965256557765298
56	0.00084401223825098144	0.067898731466296061
57	0.00074769501790419119	0.067155459575010387
58	0.00055657150808925942	0.062664555737117711
59	0.00053517895705788095	0.058913589467380026
60	0.00051006151400854137	0.056954757040824311
61	0.00047445931665285237	0.055821661926034438
62	0.00043113583997565134	0.053552417714429146
63	0.00041036515053266488	0.051421748113232101
64	0.00038615569676158176	0.049653039814612596
65	0.00035403206502060663	0.048967699064834752
66	0.00034109071177546203	0.046760499511588123
67	0.00029938728609437424	0.044590436330303164
68	0.00029141091666617708	0.043097720266666563
69	0.00026401357600131181	0.041775564565237649
70	0.0002153944683257169	0.039285827660194728
71	0.00017140629010037851	0.037179526128601821
72	0.00015548620548867822	0.036262349681100647
73	0.00015484085393989287	0.035386431876655966
74	0.00015212212686789117	0.034051229099699765
75	0.00012922650470669755	0.032887704855423416
76	0.00011601989381100014	0.031773805904209029
77	0.00010626535061418844	0.030704035114746297
78	8.9353393574135952e-05	0.030003450736982653
79	7.8236012604234918e-05	0.02902248318628825
80	7.6849795584791063e-05	0.028169424752100491
81	7.3087230182680493e-05	0.027783922623044785
82	6.9251898591489756e-05	0.026451480224963731
83	6.8153901251193585e-05	0.02602269790446695
84	6.0278667695812493e-05	0.025389316644259738
85	5.6155777652010739e-05	0.024699904682552166
86	5.546966227417139e-05	0.023976400057374319
87	5.3574678557283569e-05	0.022608370983289942
88	4.5162878303653675e-05	0.022045518107723039
89	4.465503665495154e-05	0.021026732301605323
90	3.4151590176848993e-05	0.019641588995821309
91	2.9891022933675174e-05	0.019343240288010769
92	2.8451671479892125e-05	0.018276852364683901
93	2.5865210864540002e-05	0.017063960374424432
94	2.3876167065744888e-05	0.016811376364835401
95	2.1469675638495289e-05	0.016243679625001759
96	2.0284387588806791e-05	0.015408295722698681
97	1.9394673997936809e-05	0.015307471557581375
98	1.8286375031501016e-05	0.014681996332712118
99	1.5411289557085407e-05	0.01427036513499611
100	1.3889033482348477e-05	0.013977846408124106
101	1.2907575359144009e-05	0.013114399526662915
102	1.2164878658133752e-05	0.012863831534429422
103	1.055198715192947e-05	0.01229890888963508
104	9.6306938755001864e-06	0.011939303101339144
105	7.850950885503647e-06	0.011739015520703366
106	7.2380475232238951e-06	0.011435386318311133
107	6.8810693442112287e-06	0.01120533147351575
108	6.7295964312969513e-06	0.010491362633038388
109	6.5686148734154385e-06	0.010071695416413661
110	6.2245201848787635e-06	0.0097815242291330751
111	5.9401429741944012e-06	0.0094483502967283844
112	5.5269156194484281e-06	0.0090912017819789921
113	4.7182530206405497e-06	0.0088217185936695468
114	4.2692869945995646e-06	0.0083274785804622262
115	3.6223920349134665e-06	0.008171243253245879
116	3.372685766224289e-06	0.0080976083908307663
117	3.2470252919315007e-06	0.0077977260055410022
118	3.0968093049520553e-06	0.0075937946286435878
119	2.9861249720785602e-06	0.0073599264219830103
120	2.8702330742788691e-06	0.006787270438729281
121	2.5863343567327265e-06	0.0064859328471681462
122	1.985188492549839e-06	0.0061872277963064288
123	1.9109753783126139e-06	0.0059498602808860258
124	1.8496550612608434e-06	0.0057019692542595772
125	1.5889763805366735e-06	0.0054782070396342513
126	1.4872551085790948e-06	0.0051955693311294968
127	1.1879175361564838e-06	0.0051408846212217321
128	1.1382476419807147e-06	0.0050549736521141257
129	1.039072546914009e-06	0.0049415835142115356
130	9.2498044185334718e-07	0.0046892431487346627
131	8.6861864203975242e-07	0.0045314446945776791
132	8.3089422404743582e-07	0.0044371195549334653
133	7.9106127471911769e-07	0.0042338439533703108
134	6.7537909817863704e-07	0.0040445649199319011
135	6.3758288696899257e-07	0.0039184961261876823
136	6.2493687504463512e-07	0.0038590343139718306
137	5.4000138022796615e-07	0.0037207869974295944
138	4.9289337274766981e-07	0.0035828657517404097
139	4.3605574184862114e-07	0.0034577627067554993
140	3.9199456060478087e-07	0.0033097048188952104
141	3.737595228269995e-07	0.0032828038484213813
142	3.6527957603333387e-07	0.0031862797955362686
143	3.4655430044734131e-07	0.0030358471366582159
144	2.9976248430284741e-07	0.0029137201319053467
145	2.9389138259332258e-07	0.0027859454014677394
146	2.5960064837028902e-07	0.0027290397255303254
147	2.4776249717013884e-07	0.0025850087130580655
148	2.1374988004733917e-07	0.002524512465508541
149	1.9714887387798038e-07	0.0024767976017479429
150	1.9084527810296719e-07	0.0022940116960400354
151	1.798186578038605e-07	0.0021795383900802641
152	1.5002350382983306e-07	0.002091647871505644
153	1.3235197500085075e-07	0.0019403926371675357
154	9.9228659816158955e-08	0.0018570572529628098
155	8.7099799725920316e-08	0.001827117372433007
156	8.5213534575197736e-08	0.0017204888999049217
157	7.1481238641083867e-08	0.0016274659078742042
158	6.6899121428567647e-08	0.0015771479962959944
159	6.3717174537221564e-08	0.0015343867477298069
160	6.306149717077754e-08	0.0014422108048803165
161	5.0908670813857046e-08	0.0013965510894156403
162	4.9128682946763295e-08	0.0012953639967101872
163	3.946452965816274e-08	0.0012809893061738113
164	3.6768235609312728e-08	0.0011691936676872002
165	3.5567642970223516e-08	0.0011343362306737582
166	2.9248894182084656e-08	0.0011163360019882549
167	2.7884181671831774e-08	0.00097953574777322997
168	2.490823249676716e-08	0.00091702332667463243
169	2.3380861271137405e-08	0.00090679247628642275
170	2.2761270200554447e-08	0.00084705396708272278
171	1.9247174325499895e-08	0.00081267981092602074
172	1.8239733575652128e-08	0.00075808260478260495
173	1.5198552266389641e-08	0.00074149965629927855
174	1.3673640582665474e-08	0.00071183118103513351
175	1.3279015899495161e-08	0.00068060620032584537
176	1.3007707245816299e-08	0.00067237447136689029
