entry	reason
2192	missing_axis
2279	missing_axis
6037	missing_axis
6225	missing_axis
8368	missing_axis
10218	missing_axis
10353	missing_axis
12442	missing_axis
15004	missing_axis
16454	missing_axis
17617	missing_axis
17937	missing_axis
19283	missing_axis
20285	missing_axis
24766	missing_axis
25700	missing_axis
29157	missing_axis
40174	missing_axis
40413	missing_axis
43206	missing_axis
44693	missing_axis
48381	missing_axis
48464	missing_axis
49135	missing_axis
49996	missing_axis
51168	missing_axis
52537	missing_axis
57768	missing_axis
60019	missing_axis
62517	missing_axis
63638	missing_axis
64973	missing_axis
75511	missing_axis
76702	missing_axis
77674	missing_axis
78502	missing_axis
79764	missing_axis
83663	missing_axis
84936	missing_axis
88017	missing_axis
88027	missing_axis
89473	missing_axis
90308	missing_axis
91695	missing_axis
94293	missing_axis
98385	missing_axis
101263	missing_axis
101331	missing_axis
103699	missing_axis
122972	missing_axis
123224	missing_axis
128177	missing_axis
128692	missing_axis
129302	missing_axis
129390	missing_axis
132022	missing_axis
132282	missing_axis
134729	missing_axis
136474	missing_axis
139711	missing_axis
139904	missing_axis
143435	missing_axis
143935	missing_axis
144245	missing_axis
147631	missing_axis
149928	missing_axis
151091	missing_axis
152734	missing_axis
152908	missing_axis
153024	missing_axis
154048	missing_axis
154404	missing_axis
154417	missing_axis
154640	missing_axis
159643	missing_axis
161305	missing_axis
161362	missing_axis
161372	missing_axis
163307	missing_axis
165224	missing_axis
171075	missing_axis
171195	missing_axis
173114	missing_axis
173636	missing_axis
173823	missing_axis
174098	missing_axis
174164	missing_axis
175928	missing_axis
176000	missing_axis
176394	missing_axis
178900	missing_axis
179016	missing_axis
179453	missing_axis
186695	missing_axis
189443	missing_axis
193970	missing_axis
193973	missing_axis
195514	missing_axis
195629	missing_axis
199240	missing_axis
200834	missing_axis
201084	missing_axis
201631	missing_axis
201777	missing_axis
202809	missing_axis
203172	missing_axis
203293	missing_axis
206363	missing_axis
211066	missing_axis
212075	missing_axis
