rungroup	foil	ndel	xscol	yscol	status	n_dev	n_core_dev	peak_x	peak_y	center_x	center_y	peak_density	background	shift
rg01_theta12p490_foil0	0	1	2	5	accepted	1013	778	-5.470550991671516	1.4383909740554846	-5.453589461710412	1.4121466554344062	5.858955192657783	0.07824552537496018	0.0024458474180437013
rg01_theta12p490_foil0	0	1	2	6	accepted	1086	839	-5.30175187988834	3.0004938423480123	-5.3350512522783715	2.9794339657483158	6.374786613578756	0.05413570913114873	0.0054697400361341285
rg01_theta12p490_foil0	0	1	2	7	low_stats	8	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	1	3	1	accepted	64	45	-3.107363426707049	-4.50767800847736	-3.124843165897811	-4.519245182556048	0.40384214561276577	0.013271837375020133	0.036776919485414596
rg01_theta12p490_foil0	0	1	3	2	accepted	489	376	-2.9385643149238736	-3.096746385503465	-2.9788445629951976	-3.112572037614709	3.1079000911246766	0.03512408177053793	0.007421549023186139
rg01_theta12p490_foil0	0	1	3	3	accepted	705	553	-2.9385643149238736	-1.5850339323171487	-2.9686493230353683	-1.5869344760509618	4.451809653853568	0.0421449256373128	0.002724075451683298
rg01_theta12p490_foil0	0	1	3	4	accepted	963	769	-2.8541647590322845	-0.07332147913083184	-2.895549873302223	-0.07598007855272565	6.358718851049316	0.06293931028798039	0.002388028773552487
rg01_theta12p490_foil0	0	1	3	5	accepted	1219	964	-2.8541647590322845	1.3880005589492739	-2.8380285648468173	1.4135110104290072	7.769519513322166	0.08364216853737022	0.0074035544136141695
rg01_theta12p490_foil0	0	1	3	6	accepted	1368	1101	-2.769765203140697	2.9501034272418014	-2.7462261502980243	2.957536396120204	8.957827444486828	0.08999994868052541	0.001658890781481135
rg01_theta12p490_foil0	0	1	3	7	accepted	76	60	-2.769765203140697	4.260254220003276	-2.7854682876949575	4.2435137506712906	0.5512552616477651	0.01663203890062113	0.021349877141564878
rg01_theta12p490_foil0	0	1	4	1	accepted	91	68	-0.5753767499594067	-4.50767800847736	-0.6272442602647984	-4.530510512811902	0.5564751798892265	0.01787758649858128	0.028518194583224164
rg01_theta12p490_foil0	0	1	4	2	accepted	462	361	-0.4065776381762301	-3.147136800609676	-0.4391203471221912	-3.131571487113481	2.992231730125228	0.03081895789747806	0.008209124995441398
rg01_theta12p490_foil0	0	1	4	3	accepted	768	617	-0.3221780822846424	-1.5850339323171487	-0.35855746830970325	-1.586160888266671	5.027969655390429	0.03380359290886113	0.009710927219426475
rg01_theta12p490_foil0	0	1	4	4	accepted	303	254	-0.3221780822846424	-0.07332147913083184	-0.2918339240209187	-0.08672277835748918	2.2487271881350734	0.03951020579312883	0.0030874365624642105
rg01_theta12p490_foil0	0	1	4	5	accepted	1297	1040	-0.23777852639305358	1.4383909740554846	-0.22096651767798497	1.4150620337591713	8.643075740416208	0.05527219675281558	0.005764986201772903
rg01_theta12p490_foil0	0	1	4	6	accepted	1485	1188	-0.15337897050146587	2.9501034272418014	-0.16581454512719546	2.9489010677298175	9.806846160620061	0.08951536721675411	0.005565056568719513
rg01_theta12p490_foil0	0	1	4	7	accepted	84	65	-0.23777852639305358	4.260254220003276	-0.27312483297491386	4.239407699515977	0.6026262106278941	0.020601267736654737	0.02955663563051367
rg01_theta12p490_foil0	0	1	5	1	accepted	59	42	1.7034112591134714	-4.50767800847736	1.7277597360120198	-4.5123140623531075	0.3339662747092912	0.01531152850126676	0.007079743699895162
rg01_theta12p490_foil0	0	1	5	2	accepted	445	358	2.125409038571412	-3.096746385503465	2.1229008631085033	-3.117816737773449	2.8198273242275684	0.02847249026228056	0.005219687186652201
rg01_theta12p490_foil0	0	1	5	3	accepted	743	605	2.209808594463	-1.5850339323171487	2.200262348813225	-1.6010115232074627	4.62925066894075	0.045246220929767815	0.002870135864390869
rg01_theta12p490_foil0	0	1	5	4	accepted	984	807	2.2942081503545886	-0.07332147913083184	2.332495802302538	-0.07318512596827194	6.380007352502885	0.03618862587855248	0.004688986966803099
rg01_theta12p490_foil0	0	1	5	5	unstable	52	3	0.5218174766312391	1.4383909740554846	nan	nan	2.2590833842054514	0.0351676275101584	nan
rg01_theta12p490_foil0	0	1	5	6	accepted	1475	1181	2.3786077062461763	2.9501034272418014	2.352075551027034	2.961050213027738	9.472159084776052	0.062098753499993324	0.0031762724795423693
rg01_theta12p490_foil0	0	1	5	7	accepted	67	54	2.209808594463	4.209863804897066	2.1762055076162903	4.216898048951786	0.49225521328909394	0.017861919792924598	0.00610464108113682
