xscol	yscol	subset	ndel	corrected	n	reacty_rms_cm	reacty_min_cm	reacty_max_cm	intercept_mrad	slope_mrad_per_cm	slope_error	residual_rms_mrad	predicted_slope
4	4	core	-1	0	1584	0.0533330814073	-0.103085477091	0.088603805664	-0.825801569205	8.73128379944	0.607683410108	1.37060301415	5.95238095238
4	4	core	-1	1	1584	0.0533330814073	-0.103085477091	0.088603805664	-1.70857545016	2.77890284706	0.607683410108	1.29756425523	0
4	4	core	0	0	183	0.0517425565069	-0.100655142953	0.0858005726836	-0.635167553484	2.42218266062	2.71538259368	1.89439579424	5.95238095238
4	4	core	0	1	183	0.0517425565069	-0.100655142953	0.0858005726836	-1.51794143444	-3.53019829176	2.71538259368	1.89905056635	0
4	4	core	1	0	314	0.0550110802158	-0.0996725508082	0.088603805664	-0.807718726036	10.8070404837	1.52817404295	1.59949924577	5.95238095238
4	4	core	1	1	314	0.0550110802158	-0.0996725508082	0.088603805664	-1.69049260699	4.8546595313	1.52817404295	1.50873469403	0
4	4	core	2	0	482	0.0527847545049	-0.0993766016452	0.0859527715669	-0.855582698021	8.33919838092	0.992239568307	1.22901354884	5.95238095238
4	4	core	2	1	482	0.0527847545049	-0.0993766016452	0.0859527715669	-1.73835657897	2.38681742854	0.992239568307	1.15437710634	0
4	4	core	3	0	372	0.0539507777881	-0.103085477091	0.0859063954315	-0.810216021734	10.4040074263	0.983623132227	1.16491676148	5.95238095238
4	4	core	3	1	372	0.0539507777881	-0.103085477091	0.0859063954315	-1.69298990269	4.45162647387	0.983623132227	1.04864176995	0
4	4	core	4	0	233	0.0520300210146	-0.0984171591386	0.0861430578963	-0.991402837715	8.64338577376	1.22007618017	1.06448318689	5.95238095238
4	4	core	4	1	233	0.0520300210146	-0.0984171591386	0.0861430578963	-1.87417671867	2.69100482137	1.22007618017	0.974927707983	0
4	4	fp_inner	-1	0	791	0.0488689843943	-0.100655142953	0.0854704031162	-0.916838592699	0.507398351722	0.818387545467	1.12366432816	5.95238095238
4	4	fp_inner	-1	1	791	0.0488689843943	-0.100655142953	0.0854704031162	-1.79961247365	-5.44498260066	0.818387545467	1.15447432904	0
2	4	core	-1	0	4357	0.0538544556381	-0.102933766487	0.0884898322182	-1.03816235376	8.23649733402	0.367617899086	1.37975420536	5.95238095238
2	4	core	-1	1	4357	0.0538544556381	-0.102933766487	0.0884898322182	-1.92093623472	2.28411638164	0.367617899086	1.31228689645	0
2	4	core	0	0	483	0.0522907744944	-0.0984099305977	0.0884898322182	-0.985270384527	2.53023242739	1.41384881883	1.62682802978	5.95238095238
2	4	core	0	1	483	0.0522907744944	-0.0984099305977	0.0884898322182	-1.86804426548	-3.42214852499	1.41384881883	1.63128355509	0
2	4	core	1	0	848	0.0547427202242	-0.099834594876	0.0861565070765	-1.48576273178	6.23217586918	0.979633089847	1.5966961658	5.95238095238
2	4	core	1	1	848	0.0547427202242	-0.099834594876	0.0861565070765	-2.36853661273	0.279794916798	0.979633089847	1.55989705792	0
2	4	core	2	0	1294	0.0540206274041	-0.101399522624	0.0877610426994	-0.924758046075	9.60786283662	0.628582907912	1.32631533102	5.95238095238
2	4	core	2	1	1294	0.0540206274041	-0.101399522624	0.0877610426994	-1.80753192703	3.65548188424	0.628582907912	1.23641525241	0
2	4	core	3	0	1054	0.0536048280359	-0.10015542753	0.0875003532484	-0.85485415614	9.47178840128	0.616919965737	1.18670933499	5.95238095238
2	4	core	3	1	1054	0.0536048280359	-0.10015542753	0.0875003532484	-1.73762803709	3.5194074489	0.616919965737	1.0890717147	0
2	4	core	4	0	678	0.0537591631836	-0.102933766487	0.0877053863199	-1.00185857805	10.0885665459	0.716506598782	1.13891449536	5.95238095238
2	4	core	4	1	678	0.0537591631836	-0.102933766487	0.0877053863199	-1.884632459	4.1361855935	0.716506598782	1.02587649838	0
2	4	fp_inner	-1	0	2178	0.0494551709478	-0.100162760312	0.0874466848689	-1.1025696483	-1.25882333795	0.509266186821	1.17650795247	5.95238095238
2	4	fp_inner	-1	1	2178	0.0494551709478	-0.100162760312	0.0874466848689	-1.98534352926	-7.21120429034	0.509266186821	1.22779523955	0
6	4	core	-1	0	4293	0.0545793370548	-0.100307170739	0.0887012430313	-0.605570700195	8.97200598106	0.351916493827	1.35012636392	5.95238095238
6	4	core	-1	1	4293	0.0545793370548	-0.100307170739	0.0887012430313	-1.48834458115	3.01962502868	0.351916493827	1.2689407923	0
6	4	core	0	0	441	0.0525831607602	-0.100307170739	0.0868666915373	-0.64334426572	9.3042177526	1.54670577442	1.77290863648	5.95238095238
6	4	core	0	1	441	0.0525831607602	-0.100307170739	0.0868666915373	-1.52611814667	3.35183680021	1.54670577442	1.71315741041	0
6	4	core	1	0	841	0.0543991910583	-0.0993388931029	0.0875750304596	-0.30610233323	9.51052761829	0.880606483361	1.4808850715	5.95238095238
6	4	core	1	1	841	0.0543991910583	-0.0993388931029	0.0875750304596	-1.18887621418	3.55814666591	0.880606483361	1.40100664964	0
6	4	core	2	0	1360	0.0548486348578	-0.0998106644246	0.0883857293228	-0.702336595868	8.81367199199	0.602854472727	1.31089789557	5.95238095238
6	4	core	2	1	1360	0.0548486348578	-0.0998106644246	0.0883857293228	-1.58511047682	2.86129103961	0.602854472727	1.22857232418	0
6	4	core	3	0	1029	0.0545247310137	-0.100191178408	0.0865053610959	-0.544870339464	8.78851665869	0.607007994034	1.16387647751	5.95238095238
6	4	core	3	1	1029	0.0545247310137	-0.100191178408	0.0865053610959	-1.42764422042	2.83613570631	0.607007994034	1.07186628874	0
6	4	core	4	0	622	0.0556281946451	-0.0997843062524	0.0887012430313	-0.872361929246	8.70233036278	0.698795202833	1.08223032112	5.95238095238
6	4	core	4	1	622	0.0556281946451	-0.0997843062524	0.0887012430313	-1.7551358102	2.7499494104	0.698795202833	0.979936648259	0
6	4	fp_inner	-1	0	2145	0.0504736697367	-0.0998106644246	0.0883857293228	-0.679034303646	0.48250533861	0.473350079565	1.10627648809	5.95238095238
6	4	fp_inner	-1	1	2145	0.0504736697367	-0.0998106644246	0.0883857293228	-1.5618081846	-5.46987561377	0.473350079565	1.13994619116	0
4	2	core	-1	0	2449	0.053248799057	-0.0997912995551	0.0873493055319	-1.14793205364	7.77176232326	0.522245829233	1.43653062004	5.95238095238
