pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	qa_low	n	bias	spread	rms	median	p90
development	overall						svd	xptar	False	68535	-0.0002623784538820746	1.629437720177744	1.6294377413023478	1.0542923792667205	2.593147115847102
development	overall						svd	ytar	False	68535	4.239807024620551e-05	0.14862946047767953	0.1486294665249205	0.0952605584245269	0.24284238322085375
development	overall						svd	yptar	False	68535	-0.0004185133250419264	1.0856092026374162	1.0856092833079727	0.7319598566301165	1.7843620717695516
development	overall						svd	ztar	False	68535	-0.0010652975412144491	0.6638371075292722	0.6638379623008026	0.41848202618048447	1.0843931197427572
development	overall						start	xptar	False	68535	2.810332070837752e-05	1.715981588404563	1.7159815886346925	1.1040199435154232	2.7287730371896926
development	overall						start	ytar	False	68535	9.663552237981452e-06	0.1505996588109706	0.15059965912101192	0.09626874636090395	0.24524041191113946
development	overall						start	yptar	False	68535	-0.00015991386565135466	1.0957734045111822	1.0957734161798558	0.7398380192197075	1.8016942483822935
development	overall						start	ztar	False	68535	-0.0013419945557821271	0.6734104019641901	0.6734117391484647	0.42420293151525357	1.0966901306951153
development	overall						beam	xptar	False	68535	-7.661494388025e-05	1.6387584132475135	1.6387584150384578	1.061830390587125	2.6109403564746225
development	overall						beam	ytar	False	68535	2.2867905983487138e-05	0.14916463195640667	0.14916463370930585	0.09534502746120777	0.243342102127245
development	overall						beam	yptar	False	68535	-9.346257308280547e-05	1.0915163670239463	1.0915163710253764	0.7329425745625784	1.7928636935622146
development	overall						beam	ztar	False	68535	-0.0012445719489499144	0.6667268221178045	0.6667279837314786	0.41922809936469996	1.087500460775653
development	foil_delta	-8.0	0				svd	xptar	False	2741	0.12380706639894377	2.720240435114668	2.7230564104555652	1.6344214201096627	4.104612429240769
development	foil_delta	-8.0	0				svd	ytar	False	2741	0.07939642150039967	0.22350998234379182	0.23719296775914597	0.17516633322412317	0.3832483056416711
development	foil_delta	-8.0	0				svd	yptar	False	2741	-0.41373480817044306	1.3248829590167712	1.3879810325018382	1.0061885267439097	2.2815183209396044
development	foil_delta	-8.0	0				svd	ztar	False	2741	0.37370022494326816	1.0813810583586114	1.1441314834840617	0.8239748929362989	1.884864103089388
development	foil_delta	-8.0	0				start	xptar	False	2741	0.0010224294997904987	2.7843588127588825	2.784359000479309	1.6985468348186452	4.295019853644992
development	foil_delta	-8.0	0				start	ytar	False	2741	0.09126006888533651	0.22599330002478846	0.2437239664642163	0.17716585880626806	0.39917986562417773
development	foil_delta	-8.0	0				start	yptar	False	2741	-0.4750029075694456	1.335078237917248	1.4170609244346732	1.0376253026141529	2.322835448910442
development	foil_delta	-8.0	0				start	ztar	False	2741	0.43098968949493544	1.0938534375513966	1.1756987094038795	0.8356784160702908	1.949301587927346
development	foil_delta	-8.0	0				beam	xptar	False	2741	0.13062302898431805	2.7260625709515236	2.729190267541614	1.6690815540660338	4.104444271323934
development	foil_delta	-8.0	0				beam	ytar	False	2741	0.0810402661125583	0.22769248864899053	0.2416844929215876	0.17794049595737937	0.3923954106009233
development	foil_delta	-8.0	0				beam	yptar	False	2741	-0.4822754784860842	1.3330985067825114	1.4176534364698385	1.037333407334938	2.3329168849092023
