model	target	terms	rank	condition
svd	xptar	210	209	324016.14294725197
svd	ytar	210	209	324016.14294725197
svd	yptar	210	209	324016.14294725197
start	xptar	95	94	3306.466565410539
start	ytar	132	131	9066.78904335442
start	yptar	75	74	1471.1048931390467
beam	xptar	110	109	17768.903277367303
beam	ytar	142	141	18485.697714612535
beam	yptar	78	77	1654.9588425856598
