     0.0011647471 -7.85663638e-05  0.000508652229               0 00000
       71.0552684      1311.84961     -333.151124     -14254.2451 11120
       25.1963726      269.926605     -78.0858818      52657.7588 02120
       374.688802     -467.070462      735.423907     -3998.95843 10220
       110.519026      227.238519     -9.53832991      25102.1443 01220
       64.8760973     -1429.15878       748.38576      90.2668576 00320
       44.2540001      756.466917     0.718999551        -930.899 20030
        16.337081      227.018034     -43.9002124      39788.7678 11030
       3.03144398       46.396754     -10.1456007     -118752.747 02030
       118.530772     -49.4653442      169.664681      29493.1698 10130
       24.6264193      20.2725738      14.6254055     -259877.198 01130
       26.5921476      -259.60003      161.699081      1100.41524 00230
       24.0355504      23.1622297      26.9547382     -13196.6766 10040
       4.85976949      6.98645196      3.58963824      303094.278 01040
       7.58435958     -21.7450248      25.2163119     -17333.4694 00140
        2.4458154      3.88174453      3.55511577      30963.1531 00050
      -22.1859298      5.77727799     -1.25002195               0 60000
       386.753363     -68.0272206      9.10769713               0 51000
      -1568.71751      58.7201186      33.3010808               0 42000
      -826.935514      788.021072     -192.359414               0 33000
      -289.154064      361.466586      -104.92273               0 24000
      -86.3376316      106.789435      -35.640162               0 15000
      -25.3293049       26.503517      -10.142751               0 06000
       25.3936005     -37.2151823      5.78980736               0 50100
      -360.917871      497.311774     -56.4149691               0 41100
       1135.81775     -1747.85071      229.820009               0 32100
       282.776819     -169.965486     -29.7692075               0 23100
       42.6401993      63.5785728     -38.9418683               0 14100
       3.52311093      34.6977653     -15.7330351               0 05100
       -61.211422      39.5432965     -11.1085448               0 40200
       425.579671     -220.928515        86.93959               0 31200
      -1327.88415      1369.27847     -396.984854               0 22200
      -460.649845       651.38182     -203.704068               0 13200
      -107.086664      195.702978     -67.0466562               0 04200
       69.2492623      58.3818386     -57.9498752               0 30300
      -120.135057     -359.793395      188.113471               0 21300
      -794.132657      1162.46305     -287.653132               0 12300
      -256.105667      510.772923     -145.006335               0 03300
       35.2301624     -132.479797      42.7866553               0 20400
       91.2189928     -416.812642      140.549112               0 11400
      -446.369348      684.522726     -201.456648               0 02400
      -37.7822204     -305.574195      132.458683               0 10500
       312.949688      200.744583     -353.163558               0 01500
      -37.8805593     -158.567205     -34.5255266               0 00600
      -258.161267      143.258129      6.31644756               0 50010
       2147.67093      -811.05031     -330.154142               0 41010
        732.62251     -469.971869      9.21353517               0 32010
        185.10741     -139.396036      19.5507583               0 23010
        42.629652     -33.5099813       6.4876976               0 14010
        9.2630514       -7.521068      1.62330595               0 05010
       569.987603     -225.840316      132.730524               0 40110
      -603.664326     -1903.12064      272.228814               0 31110
      -222.809212     -432.337867      87.4017537               0 22110
      -43.2913333     -70.2156037      18.2989261               0 13110
      -6.06779058     -9.13877384      2.92272782               0 04110
      -516.359937      -179.20314      433.030454               0 30210
      -227.609526     -1211.60596      554.461567               0 21210
      -84.0122914     -243.600141        120.5123               0 12210
      -16.6460822     -32.0060752      18.5862824               0 03210
       -473.39013      2663.11246     -769.401781               0 20310
       -128.35339     -130.466461      113.490171               0 11310
       -55.190978     -42.3036852      35.1590057               0 02310
       90.0491405      3270.90731     -552.984429               0 10410
       49.2112687     -22.1628633      97.4893535               0 01410
       3.05664032       2106.3679     -126.171672               0 00510
      -1586.41836     -291.415262     -1017.30716               0 40020
      -218.627381      123.597389     -177.930141               0 31020
      -37.3523126      20.9590249     -21.7016045               0 22020
      -4.82910206      4.77773202     -2.40597071               0 13020
     -0.356718186      1.35404893    -0.294587517               0 04020
      -378.474492      447.189909     -414.766764               0 30120
      -56.2590873     -265.687858      80.2600863               0 21120
       -10.897919     -63.9680869      24.8316315               0 12120
      -1.49061336     -10.8214169      4.84243023               0 03120
      -172.749062      815.387959     -405.307269               0 20220
      -32.7103666      19.4765559     -12.8402754               0 11220
      -7.44068767     -5.62385711      3.50189695               0 02220
       4.69924798      710.745017     -235.673166               0 10320
       2.51224021     -15.8656207      12.4704428               0 01320
      -7.98054049      452.742636     -95.0874246               0 00420
      -22.8689055     -85.2349532      -50.577401               0 30030
      -6.50562368     -60.4404874      12.8718529               0 21030
     -0.990471413     -12.3290838      3.84600566               0 12030
    -0.0473896248     -2.01891675     0.778474523               0 03030
      -35.7661394      122.668033     -83.6058885               0 20130
      -6.42574885      7.32857967     -6.50294866               0 11130
       -1.0521186     0.148894309    -0.179941864               0 02130
     0.0570353749      113.509907     -50.6314143               0 10230
     -0.181843879     -0.52389862    -0.257692696               0 01230
      -4.61291236      80.2870817     -25.2160103               0 00330
      -6.19383082      14.8482003     -12.7908884               0 20040
      -0.82307612      2.44079014     -1.41514877               0 11040
    -0.0678193605     0.430876361    -0.118190202               0 02040
    -0.0338058871      15.9305359      -7.9078538               0 10140
    0.00920855896      0.24670689    -0.144814255               0 01140
     -0.989831668        12.49402     -4.37293601               0 00240
      0.192810431      2.21901665    -0.933312844               0 10050
     0.0564517952     0.154853924   0.00752935989               0 01050
     -0.092386261      1.94166495    -0.581732549               0 00150
