xscol	yscol	subset	ndel	n	reacty_rms_cm	reacty_min_cm	reacty_max_cm	intercept_mrad	slope_mrad_per_cm	slope_error	residual_rms_mrad	predicted_slope
4	4	core	-1	1584	0.0533330814073	-0.103085477091	0.088603805664	0.46501281336	9.00012462493	0.615963517668	1.39201440269	5.95238095238
4	4	core	0	183	0.0517425565069	-0.100655142953	0.0858005726836	0.594942203229	4.51202752426	2.80857879847	1.96901142707	5.95238095238
4	4	core	1	314	0.0550110802158	-0.0996725508082	0.088603805664	0.782108383582	10.6691809248	1.5289735852	1.59741853659	5.95238095238
4	4	core	2	482	0.0527847545049	-0.0993766016452	0.0859527715669	0.392513161578	8.35252290355	0.990646570308	1.22754614008	5.95238095238
4	4	core	3	372	0.0539507777881	-0.103085477091	0.0859063954315	0.430969861898	10.3523909723	0.979307337591	1.15965042392	5.95238095238
4	4	core	4	233	0.0520300210146	-0.0984171591386	0.0861430578963	0.110476377688	8.3949181116	1.20670084101	1.04945979984	5.95238095238
4	4	dense_half	-1	808	0.0541219921031	-0.100655142953	0.088603805664	0.447890972011	7.07696155819	0.502298952522	0.861612256147	5.95238095238
