model	target	group_kind	group	n	raw_share	base_sum	base_share	irls_sum	irls_share	mean_robust_factor	factor_below_half	effective_n
all_core_squared_equalfoil	xptar	all	all	310513	1.0	310513.0	1.0	310513.0	1.0	1.0	0.0	194269.59852531864
all_core_squared_equalfoil	xptar	foil	-8	54299	0.17486868504700287	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	54299.000000006075
all_core_squared_equalfoil	xptar	foil	-3	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	62102.60000000002	0.20000000000000007	1.0	0.0	23339.000000001277
all_core_squared_equalfoil	xptar	foil	0	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	160950.99999996554
all_core_squared_equalfoil	xptar	foil	3	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	25087.999999998
all_core_squared_equalfoil	xptar	foil	8	46836	0.15083426458795607	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	46836.00000000117
all_core_squared_equalfoil	xptar	quality	core	310513	1.0	310513.0	1.0	310513.0	1.0	1.0	0.0	194269.59852531864
all_core_squared_equalfoil	xptar	foil_quality	-8:core	54299	0.17486868504700287	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	54299.000000006075
all_core_squared_equalfoil	xptar	foil_quality	-3:core	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	62102.60000000002	0.20000000000000007	1.0	0.0	23339.000000001277
all_core_squared_equalfoil	xptar	foil_quality	0:core	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	160950.99999996554
all_core_squared_equalfoil	xptar	foil_quality	3:core	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	25087.999999998
all_core_squared_equalfoil	xptar	foil_quality	8:core	46836	0.15083426458795607	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	46836.00000000117
all_core_squared_equalfoil	ytar	all	all	310513	1.0	310513.0	1.0	310513.0	1.0	1.0	0.0	194269.59852531864
all_core_squared_equalfoil	ytar	foil	-8	54299	0.17486868504700287	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	54299.000000006075
all_core_squared_equalfoil	ytar	foil	-3	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	62102.60000000002	0.20000000000000007	1.0	0.0	23339.000000001277
all_core_squared_equalfoil	ytar	foil	0	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	160950.99999996554
all_core_squared_equalfoil	ytar	foil	3	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	25087.999999998
all_core_squared_equalfoil	ytar	foil	8	46836	0.15083426458795607	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	46836.00000000117
all_core_squared_equalfoil	ytar	quality	core	310513	1.0	310513.0	1.0	310513.0	1.0	1.0	0.0	194269.59852531864
all_core_squared_equalfoil	ytar	foil_quality	-8:core	54299	0.17486868504700287	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	54299.000000006075
all_core_squared_equalfoil	ytar	foil_quality	-3:core	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	62102.60000000002	0.20000000000000007	1.0	0.0	23339.000000001277
all_core_squared_equalfoil	ytar	foil_quality	0:core	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	160950.99999996554
all_core_squared_equalfoil	ytar	foil_quality	3:core	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	25087.999999998
all_core_squared_equalfoil	ytar	foil_quality	8:core	46836	0.15083426458795607	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	46836.00000000117
all_core_squared_equalfoil	yptar	all	all	310513	1.0	310513.0	1.0	310513.0	1.0	1.0	0.0	194269.59852531864
all_core_squared_equalfoil	yptar	foil	-8	54299	0.17486868504700287	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	54299.000000006075
all_core_squared_equalfoil	yptar	foil	-3	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	62102.60000000002	0.20000000000000007	1.0	0.0	23339.000000001277
all_core_squared_equalfoil	yptar	foil	0	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	160950.99999996554
all_core_squared_equalfoil	yptar	foil	3	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	25087.999999998
all_core_squared_equalfoil	yptar	foil	8	46836	0.15083426458795607	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	46836.00000000117
all_core_squared_equalfoil	yptar	quality	core	310513	1.0	310513.0	1.0	310513.0	1.0	1.0	0.0	194269.59852531864
all_core_squared_equalfoil	yptar	foil_quality	-8:core	54299	0.17486868504700287	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	54299.000000006075
all_core_squared_equalfoil	yptar	foil_quality	-3:core	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	62102.60000000002	0.20000000000000007	1.0	0.0	23339.000000001277
all_core_squared_equalfoil	yptar	foil_quality	0:core	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	160950.99999996554
all_core_squared_equalfoil	yptar	foil_quality	3:core	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	62102.59999999999	0.19999999999999998	1.0	0.0	25087.999999998
all_core_squared_equalfoil	yptar	foil_quality	8:core	46836	0.15083426458795607	62102.600000000006	0.2	62102.600000000006	0.2	1.0	0.0	46836.00000000117
all_core_huber_equalfoil	xptar	all	all	310513	1.0	310513.0	1.0	272281.26486493344	1.0	0.8768755732125014	0.007700160701806366	190976.23130632524
all_core_huber_equalfoil	xptar	foil	-8	54299	0.17486868504700287	62102.600000000006	0.2	54375.985851892496	0.1997052051262726	0.8755830810931022	0.012062837252988085	53172.91500807699
all_core_huber_equalfoil	xptar	foil	-3	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	53949.876782134605	0.19814024592877047	0.8687217086262827	0.01581044603453447	22804.2988206324
all_core_huber_equalfoil	xptar	foil	0	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	54560.308400265945	0.20038216153921157	0.8785511138062811	0.006287627911600425	157931.91486107383
all_core_huber_equalfoil	xptar	foil	3	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	54488.46636888943	0.2001183092634696	0.8773942857286078	0.006576849489795918	24610.011519135143
all_core_huber_equalfoil	xptar	foil	8	46836	0.15083426458795607	62102.600000000006	0.2	54906.62746175096	0.20165407814227573	0.8841276768082328	0.004056708514817662	46047.27619115448
all_core_huber_equalfoil	xptar	quality	core	310513	1.0	310513.0	1.0	272281.26486493344	1.0	0.8768755732125014	0.007700160701806366	190976.23130632524
all_core_huber_equalfoil	xptar	foil_quality	-8:core	54299	0.17486868504700287	62102.600000000006	0.2	54375.985851892496	0.1997052051262726	0.8755830810931022	0.012062837252988085	53172.91500807699
