pool	zfoil	ndel	n	core	shoulder	base_sum	base_share
all_core	-8.0	0	4538	4538	0	5190.180275879851	0.016714856627193873
all_core	-8.0	1	10089	10089	0	11538.944205233984	0.03716090535737307
all_core	-8.0	2	16793	16793	0	19206.411937604742	0.061853809462421035
all_core	-8.0	3	13878	13878	0	15872.481681062269	0.05111696347999043
all_core	-8.0	4	9001	9001	0	10294.581900219157	0.0331534650730216
all_core	-3.0	0	1965	1965	0	5228.656283474014	0.016838767727837527
all_core	-3.0	1	4402	4402	0	11713.254432494967	0.03772226744933374
all_core	-3.0	2	7723	7723	0	20550.082685633493	0.0661810703114958
all_core	-3.0	3	5816	5816	0	15475.758241569909	0.049839324735421416
all_core	-3.0	4	3433	3433	0	9134.848356827628	0.029418569775911566
all_core	0.0	0	14667	14667	0	5659.230661505674	0.018225422644158776
all_core	0.0	1	27806	27806	0	10728.885782629492	0.03455213077271963
all_core	0.0	2	48671	48671	0	18779.60152220241	0.060479276301483066
all_core	0.0	3	41049	41049	0	15838.66908189449	0.051008070779305505
all_core	0.0	4	28758	28758	0	11096.212951767928	0.035735099502333
all_core	3.0	0	2123	2123	0	5255.254296874999	0.01692442602040816
all_core	3.0	1	4812	4812	0	11911.5796875	0.0383609693877551
all_core	3.0	2	8254	8254	0	20431.87421875	0.06580038265306122
all_core	3.0	3	6288	6288	0	15565.256249999999	0.05012755102040816
all_core	3.0	4	3611	3611	0	8938.635546874999	0.028786670918367344
all_core	8.0	0	5712	5712	0	7573.875890340764	0.024391493722777352
all_core	8.0	1	9371	9371	0	12425.558642924247	0.040016226834059275
all_core	8.0	2	14367	14367	0	19050.048129643867	0.0613502434025109
all_core	8.0	3	10667	10667	0	14144.001071825092	0.04555043129216842
all_core	8.0	4	6719	6719	0	8909.116265266035	0.028691604748484072
all_supported	-8.0	0	6729	4538	2191	7451.451626873805	0.018801603822350136
all_supported	-8.0	1	13503	10089	3414	14952.734628871598	0.03772894284636556
all_supported	-8.0	2	21319	16793	4526	23607.89080596264	0.05956775031783065
all_supported	-8.0	3	18423	13878	4545	20400.964975761046	0.05147599156177091
all_supported	-8.0	4	11605	9001	2604	12850.957962530912	0.03242571145168277
all_supported	-3.0	0	2715	1965	750	7205.57691019889	0.018181209401995586
all_supported	-3.0	1	5645	4402	1243	14981.761200026789	0.037802183084443865
all_supported	-3.0	2	9667	7723	1944	25656.10018080761	0.06473581999598207
all_supported	-3.0	3	7559	5816	1743	20061.49387263109	0.050619433469497106
all_supported	-3.0	4	4280	3433	847	11359.067836335635	0.02866135404808144
all_supported	0.0	0	20044	14667	5377	7756.972609829216	0.019572498510873074
all_supported	0.0	1	35189	27806	7383	13618.04575769708	0.03436123778183559
all_supported	0.0	2	60295	48671	11624	23333.998379048717	0.05887666123094651
all_supported	0.0	3	52717	41049	11668	20401.333320313646	0.051476920973742554
all_supported	0.0	4	36573	28758	7815	14153.649933111352	0.035712681502602324
all_supported	3.0	0	2926	2123	803	7358.306545258412	0.018566578888924136
all_supported	3.0	1	5987	4812	1175	15056.111171039684	0.0379897839398458
all_supported	3.0	2	10052	8254	1798	25278.775595672443	0.06378374948443795
all_supported	3.0	3	8044	6288	1756	20229.05599796948	0.051042228497097004
all_supported	3.0	4	4510	3611	899	11341.750690059962	0.028617659189695104
all_supported	8.0	0	7523	5712	1811	10186.597970549043	0.02570296217841402
all_supported	8.0	1	11527	9371	2156	15608.256653797529	0.0393829649116813
all_supported	8.0	2	17456	14367	3089	23636.48201168471	0.05963989203594246
all_supported	8.0	3	13630	10667	2963	18455.84611705217	0.04656804127233592
all_supported	8.0	4	8402	6719	1683	11376.817246916531	0.028706139601626292
