model	pool	target	rms_gain_percent	low95	high95	clusters	replicates
balanced_squared_full	core	xptar	0.0	0.0	0.0	2587	500
balanced_squared_full	core	ytar	0.0	0.0	0.0	2587	500
balanced_squared_full	core	yptar	0.0	0.0	0.0	2587	500
all_core_squared_full	core	xptar	2.696977068516304	2.2114411025891725	3.2086162258387745	2587	500
all_core_squared_full	core	ytar	1.1178660064452006	0.8484083378685181	1.3692717893063708	2587	500
all_core_squared_full	core	yptar	0.5845909416861694	0.3264666532397459	0.8216000252242704	2587	500
all_core_huber_full	core	xptar	2.6949149433039388	2.2065818034212588	3.1922259101269925	2587	500
all_core_huber_full	core	ytar	1.08258393495555	0.797588207211572	1.3710032873840725	2587	500
all_core_huber_full	core	yptar	0.5849922477456637	0.3026336057928841	0.8411153482338485	2587	500
all_supported_squared_full	core	xptar	-1.1449901740458568	-1.8802242489679055	-0.38146030953725624	2587	500
all_supported_squared_full	core	ytar	0.9136402044179426	0.634459156787425	1.1851315344946547	2587	500
all_supported_squared_full	core	yptar	-0.18762566212791043	-0.5603096797002177	0.12248117049641818	2587	500
all_supported_huber_full	core	xptar	1.5453176284465853	1.0491675268855067	2.0646405986023115	2587	500
all_supported_huber_full	core	ytar	0.9437795930554049	0.6571744806811861	1.2164825747612604	2587	500
all_supported_huber_full	core	yptar	0.21447842318466082	-0.1106789607216857	0.49540362171002633	2587	500
all_core_squared_equalfoil	core	xptar	0.3274067268905445	0.043711559001635154	0.5687404204042839	2587	500
all_core_squared_equalfoil	core	ytar	0.5856069607229064	0.42486453916154604	0.757065053507514	2587	500
all_core_squared_equalfoil	core	yptar	0.14028324199807374	-0.06824006116438575	0.3263554856218315	2587	500
all_core_huber_equalfoil	core	xptar	0.3027378442340578	-0.04599615274037627	0.5875190008364133	2587	500
all_core_huber_equalfoil	core	ytar	0.6055376599076512	0.41955545249864445	0.7887308653381783	2587	500
all_core_huber_equalfoil	core	yptar	0.16282487382762723	-0.049194873397410126	0.3557858920267019	2587	500
all_supported_squared_equalfoil	core	xptar	-5.734899977004804	-7.086252384458056	-4.53742377099708	2587	500
all_supported_squared_equalfoil	core	ytar	0.24342696801152863	0.00435664608346626	0.46540634369670125	2587	500
all_supported_squared_equalfoil	core	yptar	-1.4704140906749874	-2.182838993754892	-0.8195958181299031	2587	500
all_supported_huber_equalfoil	core	xptar	-2.016273145296643	-2.7970399319510726	-1.3101287802775365	2587	500
all_supported_huber_equalfoil	core	ytar	0.29616448751831337	0.051148579937555505	0.5375366663672421	2587	500
all_supported_huber_equalfoil	core	yptar	-0.7978577350405525	-1.3136016590075716	-0.3251002445248287	2587	500
balanced_squared_full	shoulder	xptar	0.0	0.0	0.0	2459	500
balanced_squared_full	shoulder	ytar	0.0	0.0	0.0	2459	500
balanced_squared_full	shoulder	yptar	0.0	0.0	0.0	2459	500
all_core_squared_full	shoulder	xptar	-0.5455218387151461	-0.7702531970577159	-0.35256036845626293	2459	500
all_core_squared_full	shoulder	ytar	0.7666334528594887	0.32573611697497123	1.1968168314465062	2459	500
all_core_squared_full	shoulder	yptar	0.10857563206190246	-0.9117038929863136	1.0206460299500515	2459	500
all_core_huber_full	shoulder	xptar	-0.5172393603571024	-0.7340056186809163	-0.3232830483501259	2459	500
all_core_huber_full	shoulder	ytar	0.4182893420467071	-0.053260660500784034	0.8728109806609177	2459	500
all_core_huber_full	shoulder	yptar	0.020605031068132718	-1.1105000248545138	1.0626224633171921	2459	500
all_supported_squared_full	shoulder	xptar	4.224286396537558	3.0615541501840378	5.451292434476624	2459	500
all_supported_squared_full	shoulder	ytar	1.75593011857883	1.3616174032478245	2.1849849417269698	2459	500
all_supported_squared_full	shoulder	yptar	3.103996392839048	2.074059960316214	4.256239455114965	2459	500
all_supported_huber_full	shoulder	xptar	2.4120853690851263	1.7767822899048138	3.0800848620499286	2459	500
all_supported_huber_full	shoulder	ytar	1.5276321674454585	1.142838029966514	1.9760059146711828	2459	500
all_supported_huber_full	shoulder	yptar	2.1153837045703394	1.0730390738503088	3.301178688443933	2459	500
all_core_squared_equalfoil	shoulder	xptar	0.04070187380045276	-0.06818650030932294	0.14030020455892075	2459	500
all_core_squared_equalfoil	shoulder	ytar	0.5166520697704402	0.16687806205557043	0.8397217414219147	2459	500
all_core_squared_equalfoil	shoulder	yptar	1.4268814431973365	0.6536315310541411	2.234696378893022	2459	500
all_core_huber_equalfoil	shoulder	xptar	0.03571752437149245	-0.11301193177349175	0.15289688174897106	2459	500
all_core_huber_equalfoil	shoulder	ytar	0.3280014547381582	-0.0676638781415073	0.6795899336836388	2459	500
all_core_huber_equalfoil	shoulder	yptar	1.4151367054201835	0.6101128865348024	2.247686541029793	2459	500
