target	term	svd	start	beam
ytar	40000	True	True	True
ytar	31000	True	False	False
ytar	22000	True	True	True
ytar	13000	True	False	False
ytar	04000	True	False	True
ytar	30100	True	True	True
ytar	21100	True	True	True
ytar	12100	True	True	True
ytar	03100	True	True	True
ytar	20200	True	True	True
ytar	11200	True	False	False
ytar	02200	True	True	True
ytar	10300	True	True	True
ytar	01300	True	True	True
ytar	00400	True	True	True
ytar	30010	True	True	True
ytar	21010	True	True	True
ytar	12010	True	True	True
ytar	03010	True	True	True
ytar	20110	True	False	True
ytar	11110	True	True	True
ytar	02110	True	True	True
ytar	10210	True	False	False
ytar	01210	True	True	True
ytar	00310	True	False	False
ytar	20020	True	True	True
ytar	11020	True	True	True
ytar	02020	True	True	True
ytar	10120	True	True	True
ytar	01120	True	True	True
ytar	00220	True	True	True
ytar	10030	True	True	True
ytar	01030	True	True	True
ytar	00130	True	True	True
ytar	00040	True	False	False
ytar	50000	True	True	True
ytar	41000	True	True	True
ytar	32000	True	False	False
ytar	23000	True	False	False
ytar	14000	True	True	True
ytar	05000	True	True	True
ytar	40100	True	True	True
ytar	31100	True	True	True
ytar	22100	True	False	False
ytar	13100	True	True	True
ytar	04100	True	True	True
ytar	30200	True	True	True
ytar	21200	True	True	True
ytar	12200	True	True	True
ytar	03200	True	True	True
ytar	20300	True	False	False
ytar	11300	True	False	False
ytar	02300	True	True	True
ytar	10400	True	False	True
ytar	01400	True	True	True
ytar	00500	True	True	True
ytar	40010	True	True	True
ytar	31010	True	True	True
ytar	22010	True	True	True
ytar	13010	True	False	True
ytar	04010	True	True	True
ytar	30110	True	True	True
ytar	21110	True	False	True
ytar	12110	True	True	True
ytar	03110	True	True	True
ytar	20210	True	True	True
ytar	11210	True	False	False
ytar	02210	True	True	False
ytar	10310	True	False	False
ytar	01310	True	True	True
ytar	00410	True	False	False
ytar	30020	True	False	True
ytar	21020	True	True	True
ytar	12020	True	True	True
ytar	03020	True	False	False
ytar	20120	True	False	False
ytar	11120	True	False	False
ytar	02120	True	False	False
ytar	10220	True	False	False
ytar	01220	True	False	False
ytar	00320	True	False	True
ytar	20030	True	False	False
ytar	11030	True	True	True
ytar	02030	True	True	True
ytar	10130	True	False	False
ytar	01130	True	False	False
ytar	00230	True	False	False
ytar	10040	True	True	True
ytar	01040	True	False	False
ytar	00140	True	True	True
ytar	00050	True	True	True
ytar	60000	True	True	True
ytar	51000	True	False	False
ytar	42000	True	True	True
ytar	33000	True	True	True
ytar	24000	True	False	False
ytar	15000	True	False	False
ytar	06000	True	True	True
ytar	50100	True	False	False
ytar	41100	True	True	True
ytar	32100	True	False	False
ytar	23100	True	True	True
ytar	14100	True	True	True
ytar	05100	True	True	True
ytar	40200	True	True	True
ytar	31200	True	False	False
ytar	22200	True	False	False
ytar	13200	True	False	False
ytar	04200	True	True	True
ytar	30300	True	True	True
ytar	21300	True	False	False
ytar	12300	True	True	True
ytar	03300	True	False	False
ytar	20400	True	True	True
ytar	11400	True	True	False
ytar	02400	True	False	False
ytar	10500	True	True	True
ytar	01500	True	True	True
ytar	00600	True	True	True
ytar	50010	True	True	True
ytar	41010	True	False	False
ytar	32010	True	True	True
ytar	23010	True	False	False
ytar	14010	True	False	True
ytar	05010	True	True	True
ytar	40110	True	True	True
ytar	31110	True	False	False
ytar	22110	True	False	True
ytar	13110	True	True	True
ytar	04110	True	True	True
ytar	30210	True	True	True
ytar	21210	True	True	True
ytar	12210	True	False	False
ytar	03210	True	True	True
ytar	20310	True	True	True
ytar	11310	True	False	False
ytar	02310	True	False	False
ytar	10410	True	False	False
ytar	01410	True	True	True
ytar	00510	True	False	False
ytar	40020	True	True	True
ytar	31020	True	False	True
ytar	22020	True	False	False
ytar	13020	True	False	True
ytar	04020	True	False	True
ytar	30120	True	False	False
ytar	21120	True	False	False
ytar	12120	True	True	True
ytar	03120	True	False	False
ytar	20220	True	True	True
ytar	11220	True	False	False
ytar	02220	True	False	False
ytar	10320	True	True	True
ytar	01320	True	False	False
ytar	00420	True	True	True
ytar	30030	True	True	True
ytar	21030	True	False	False
ytar	12030	True	False	False
ytar	03030	True	True	True
ytar	20130	True	False	False
ytar	11130	True	False	False
ytar	02130	True	False	False
ytar	10230	True	True	True
ytar	01230	True	False	False
ytar	00330	True	True	True
ytar	20040	True	False	False
ytar	11040	True	True	True
ytar	02040	True	False	False
ytar	10140	True	False	False
ytar	01140	True	False	False
ytar	00240	True	False	False
ytar	10050	True	False	True
ytar	01050	True	True	True
ytar	00150	True	False	False
ytar	00060	True	False	False
yptar	00000	True	True	True
yptar	10000	True	True	True
yptar	01000	True	True	True
yptar	00100	True	True	True
yptar	00010	True	True	True
yptar	20000	True	True	True
yptar	11000	True	True	True
yptar	02000	True	True	True
yptar	10100	True	True	True
yptar	01100	True	True	True
yptar	00200	True	True	True
yptar	10010	True	True	True
yptar	01010	True	True	True
yptar	00110	True	True	True
yptar	00020	True	True	True
yptar	30000	True	False	True
yptar	21000	True	True	True
yptar	12000	True	False	False
yptar	03000	True	True	True
yptar	20100	True	True	True
yptar	11100	True	True	True
yptar	02100	True	True	True
yptar	10200	True	True	True
yptar	01200	True	False	False
yptar	00300	True	True	True
yptar	20010	True	True	True
yptar	11010	True	True	True
yptar	02010	True	True	True
yptar	10110	True	False	False
yptar	01110	True	True	True
yptar	00210	True	True	True
yptar	10020	True	True	True
yptar	01020	True	True	True
yptar	00120	True	True	True
yptar	00030	True	True	True
yptar	40000	True	False	False
yptar	31000	True	True	True
yptar	22000	True	False	False
yptar	13000	True	False	False
yptar	04000	True	True	True
yptar	30100	True	False	True
yptar	21100	True	True	True
yptar	12100	True	False	False
yptar	03100	True	True	True
yptar	20200	True	True	True
yptar	11200	True	False	False
