model	target	fold	cell_mse	n	bias	spread	rms	median	p90
svd	xptar	0	2.7934533825334262	22815	0.009529850901152463	1.6359288308676498	1.6359565879699236	1.0604173942706987	2.5979391695686957
svd	xptar	1	2.7907816061309627	22863	0.001610088100401796	1.6337320666761448	1.6337328600691114	1.0548688458281563	2.5960269922035564
svd	xptar	2	2.7359068328240266	22857	-0.011909572554844625	1.618535955691646	1.6185797718324264	1.0478072806949026	2.5869457126245847
svd	ytar	0	0.023048727613212368	22815	-0.0003035039060475602	0.14899489922796313	0.1489952083476911	0.09533289230178807	0.24480806704374974
svd	ytar	1	0.022872061289065094	22863	-0.0009887599208321378	0.14863900079360104	0.1486422894169125	0.09549373163336254	0.24166156695993
svd	ytar	2	0.02270116360520825	22857	0.0014190931194287915	0.14824384587212472	0.1482506379893182	0.09497559501679687	0.2417278288098371
svd	yptar	0	1.1850733542913017	22815	0.002966661213522243	1.0870714148565315	1.0870754629173345	0.7391422059962426	1.7904286281724517
svd	yptar	1	1.1774253129873735	22863	0.001121371068390875	1.0847878944257208	1.0847884740195488	0.7291397227617222	1.7844860839571153
svd	yptar	2	1.1799041741376342	22857	-0.0053377561821271	1.0849522026565501	1.0849653329440345	0.7258934263184389	1.778396765105832
svd	ztar	0	0.4592387191357175	22815	-0.0015357486252803789	0.6650254539254417	0.6650272271813988	0.4174347716153144	1.0881737306723258
svd	ztar	1	0.45613819642371767	22863	-0.0060625082948346206	0.6641445548171749	0.6641722244268637	0.41789592752356114	1.0821294386686122
svd	ztar	2	0.4531950429785454	22857	0.004402811613223234	0.6622990009503441	0.6623136352287529	0.41953692234691253	1.0827575287924485
start	xptar	0	3.108910113591852	22815	0.008375818407397621	1.7251110496605573	1.725131382821304	1.112258286202844	2.7264704100769825
start	xptar	1	3.0933482080802603	22863	0.0016525291818003424	1.7169061936122436	1.7169069888950828	1.109621850650576	2.7302144758512705
start	xptar	2	3.0478958509142706	22857	-0.009929125019185657	1.7058396684838109	1.7058685653052534	1.0922014466723737	2.731110597281466
start	ytar	0	0.023510765177913215	22815	-0.0004980068555642638	0.15048018376114208	0.15048100782362964	0.0959465842248583	0.24589588248823147
start	ytar	1	0.023546559805676735	22863	-0.0008733086913227431	0.15092310088214608	0.1509256275387079	0.09665294827059315	0.2441438295471631
start	ytar	2	0.023358462963613276	22857	0.001399605135058875	0.15038498223146501	0.15039149502313	0.09604161973122242	0.2455698512584952
start	yptar	0	1.2079716358708452	22815	0.0042459613609499075	1.0972247130947141	1.0972329284220632	0.7458543871099871	1.803366684915876
start	yptar	1	1.2009475707943222	22863	0.0007532812165800533	1.0955860110079703	1.09558626997099	0.7404495179630082	1.8006178696639177
start	yptar	2	1.200416120208989	22857	-0.005471128043363415	1.0944883829565875	1.0945020574073823	0.7335613433588524	1.8013057310214995
start	ztar	0	0.46959661957175775	22815	-0.0025361766079311575	0.6725840111958643	0.672588792880245	0.42205127465107434	1.0994339105943889
start	ztar	1	0.470769571310162	22863	-0.005647524546929404	0.6752528448410999	0.6752764611620242	0.42622204119648543	1.0982916071704423
start	ztar	2	0.46699906185376994	22857	0.004156653372965348	0.6723512137530282	0.6723640623965809	0.4241088170937539	1.0931976132741033
beam	xptar	0	2.82365092473489	22815	0.008660588062961433	1.6448284300886453	1.644851230419783	1.0647078671305668	2.6179847210455534
beam	xptar	1	2.8185026641202024	22863	0.0024766387860186076	1.6419891324802833	1.641991000256405	1.0646999399617427	2.602609416841427
beam	xptar	2	2.763542860528725	22857	-0.011300966694685177	1.6267297087158692	1.626768962412011	1.0565370212400893	2.609089426647711
beam	ytar	0	0.023124170217010215	22815	-0.00040213107186363415	0.14926295032337364	0.14926349201541836	0.0950234657769339	0.24370420614942068
beam	ytar	1	0.02300122300390508	22863	-0.0009915037229906015	0.14908135508129453	0.1490846521695232	0.09551662446580642	0.24220780302122116
beam	ytar	2	0.022860929635044994	22857	0.0014481560251313314	0.14878847196197664	0.14879551923580572	0.09526667806264155	0.24278461776175564
beam	yptar	0	1.1926778490176082	22815	0.004635255314378248	1.0909664095875429	1.090976256588641	0.7375230578581526	1.7909361356669444
beam	yptar	1	1.1909560401748096	22863	0.00041437706662005686	1.0911420393109241	1.0911421179937815	0.734748385389266	1.7948740515000259
beam	yptar	2	1.1931703929690947	22857	-0.00537219516993381	1.0914766424914255	1.091489863253571	0.7311129761408096	1.7913266663824372
beam	ztar	0	0.46138120421587936	22815	-0.0020775387646414767	0.6667261928008394	0.6667294296294568	0.4185911643117226	1.0929138442143087
beam	ztar	1	0.4596773414226978	22863	-0.006112124499730299	0.6668545241029604	0.6668825341711133	0.4187018200840473	1.0831055568702812
beam	ztar	2	0.45691772350303705	22857	0.004422627148923831	0.6651159547836258	0.665130658546599	0.4198238229846947	1.084774065245384
