model	target	terms	rank	condition
svd	xptar	210	209	324016.14294725197
svd	ytar	210	209	324016.14294725197
svd	yptar	210	209	324016.14294725197
start	xptar	95	94	3306.466565410539
start	ytar	132	131	9066.78904335442
start	yptar	75	74	1471.1048931390467
beam	xptar	111	110	17713.939223194364
beam	ytar	143	142	20903.36843279124
beam	yptar	78	77	1789.6270760655564
