    0.00116365618 -8.09193373e-05  0.000508359255               0 00000
       82.3686418      1284.17733     -331.474359     -14254.2451 11120
       27.5579257      266.833805     -78.0713072      52657.7588 02120
       416.061354     -466.374248      724.128943     -3998.95843 10220
       116.730554       245.15465     -11.6472351      25102.1443 01220
       38.1291138     -1496.65561      757.021581      90.2668576 00320
       45.4476152      721.752989    -0.906485842        -930.899 20030
       19.2795669       218.52486     -43.4537716      39788.7678 11030
       3.71177206      45.1394531     -10.1232729     -118752.747 02030
       131.054856     -45.4771728      166.162317      29493.1698 10130
       26.7267572      22.7309786       14.126604     -259877.198 01130
       20.3462573      -277.84404      163.564593      1100.41524 00230
       27.1718711      26.4505006      25.8265647     -13196.6766 10040
       5.40765204      7.62771296       3.3984632      303094.278 01040
       6.62938881     -24.3769166      25.3061698     -17333.4694 00140
       2.36508253      3.71496681      3.46482748      30963.1531 00050
      -22.2011855       5.5845983     -1.23403902               0 60000
       386.898246     -63.6234649      8.71994237               0 51000
      -1567.55643      28.7436273      36.0873013               0 42000
      -834.875873      839.640591     -195.117474               0 33000
      -294.100174      373.887792     -106.864723               0 24000
      -87.8659165      107.378565     -36.3941501               0 15000
      -25.6276897      25.9130053     -10.3958919               0 06000
       24.7522714     -37.3992654      5.63463297               0 50100
      -346.401974      498.675031     -53.9379004               0 41100
       1061.21659     -1742.99834      215.543268               0 32100
       249.571479     -160.644913     -35.4225623               0 23100
       33.4317473      66.6175397      -40.486547               0 14100
        1.4986507        35.41444     -16.0996682               0 05100
      -60.0102143       40.215584      -10.761188               0 40200
       404.394631     -234.924126      83.5283728               0 31200
      -1246.84208      1437.22039     -387.751198               0 22200
      -442.123564      667.947731     -199.913155               0 13200
      -104.942789      197.726259     -66.1372097               0 04200
       68.3759739      58.4833318      -57.051466               0 30300
      -123.611086     -356.881324      182.975211               0 21300
      -815.981194       1157.4383     -283.020795               0 12300
      -265.660783      509.975529     -143.295477               0 03300
       37.4886237     -130.711783      42.8798709               0 20400
       99.3001909     -376.699113      127.601181               0 11400
      -447.131655      703.454467     -199.868486               0 02400
      -36.1697086     -301.060565      132.923827               0 10500
       311.778745      172.332104     -328.498389               0 01500
      -45.7082773     -176.064333     -38.2074834               0 00600
      -263.604711      147.317912      5.32318693               0 50010
       2198.25724     -845.129669     -317.642348               0 41010
       735.361588     -489.560837      12.0579785               0 32010
       184.250183     -144.715241      19.9228328               0 23010
       42.3410262     -34.4478602      6.50871376               0 14010
       9.21139029     -7.63717811      1.62019391               0 05010
       565.324682     -227.259351      128.332604               0 40110
      -544.339338     -1979.05844      298.449279               0 31110
      -207.658696     -456.649204      94.4324855               0 22110
      -40.1265003     -75.2624952      19.6855493               0 13110
      -5.45428264     -9.94218577      3.14451213               0 04110
       -497.01689     -194.372268      431.814921               0 30210
      -240.898571     -1264.13646      560.451567               0 21210
      -88.5174706     -261.054274      122.584117               0 12210
      -17.4491736     -35.8235781      19.0675806               0 03210
      -496.586139      2599.83981     -741.391307               0 20310
      -133.725856     -177.901644      120.464811               0 11310
      -55.9000354     -54.0567066      36.7529568               0 02310
       78.7085549       3285.8725     -608.537301               0 10410
       50.5128929     -35.6167314      94.7267616               0 01410
       73.0842643      2259.87343     -92.1833444               0 00510
      -1623.31934     -162.772437     -1034.04076               0 40020
      -216.218484      125.955581     -175.684455               0 31020
      -35.7218665      19.8347395     -20.8713912               0 22020
      -4.39540323      4.52764602     -2.24568867               0 13020
     -0.260415009      1.33668762    -0.274110105               0 04020
      -373.631446      549.424223     -423.460884               0 30120
      -58.9617336     -252.682103      78.6830168               0 21120
      -11.6328867     -63.1013303      24.6754715               0 12120
      -1.60828913     -10.8672156      4.83386281               0 03120
      -182.211313      841.046826     -405.439313               0 20220
      -34.1474343      17.7557105     -12.5951688               0 11220
      -7.56911584     -6.56615153      3.59266498               0 02220
       4.36021363      747.099277     -248.738548               0 10320
        2.5240188     -11.9912455      11.0582386               0 01320
       4.17615868      493.181627     -90.2334566               0 00420
      -24.3262131     -70.0783415     -51.7630109               0 30030
      -7.10691074     -57.2293415      12.5085827               0 21030
      -1.12111052     -11.9149042      3.78388406               0 12030
    -0.0662871038     -1.97554421     0.768055901               0 03030
      -39.0186018      126.969973     -83.5299803               0 20130
      -6.83394903      7.45878123     -6.50975974               0 11130
      -1.08764286     0.116403582    -0.186010454               0 02130
      0.463727796      122.360158     -52.9004588               0 10230
     -0.168711426     0.693045288      -0.5534263               0 01230
      -2.95493222      87.3333628     -24.5213959               0 00330
      -6.90901691      15.3663616     -12.7898122               0 20040
     -0.915493462      2.51022897     -1.43778433               0 11040
    -0.0753232123     0.447763858    -0.126318852               0 02040
        0.1125725      17.5550844     -8.28387397               0 10140
     0.0151545459     0.503571921    -0.205002772               0 01140
     -0.775487761      13.5439825     -4.28740518               0 00240
      0.220927732      2.45592272     -1.00036309               0 10050
     0.0585956105     0.201382005  -0.00614761163               0 01050
    -0.0596101181      2.09502416    -0.578307392               0 00150
     0.0365827316     0.414679033    -0.054308078               0 00060
       1.12584242               0               0       0.7681777 00001
      -3.30929606               0               0     -1.24824954 10001
        9.5582156               0               0      7.18980365 01001
      -12.8075508               0               0     -1.79480024 00002
        31.328287               0               0      4.30979026 20001
      -366.358594               0               0     -47.5141035 11001
       1281.27264               0               0      127.404997 02001
       8.46492946               0               0      1.52132362 00201
      -212.181332               0               0     -44.8420242 00111
       86.2168045               0               0      13.9035869 10002
      -202.375577               0               0     -75.1770025 01002
       1292.40575               0               0      332.945301 00021
       152.465743      412.398418      -118.55168               0 00012
       56.8142343               0               0      15.5951865 00003
      -111.090641               0               0     -15.7177358 30001
        1301.2309               0               0      249.924995 21001
      -3377.64137               0               0     -1205.61003 12001
      -1080.57253               0               0      1650.70638 03001
      -206.758367               0               0     -8.63945412 10201
        1286.1228               0               0       51.734534 01201
        457.38899               0               0       246.32877 10111
       315.521007               0               0     -1468.88025 01111
      -2.86376084               0               0     -77.6962058 20002
      -284.532504               0               0      808.267218 11002
      -54.9686786               0               0     -1887.27393 02002
      -894.903229               0               0     -13.1721627 00202
      -58.1868148               0               0     -1758.72381 10021
       28.1001103               0               0      10443.6142 01021
       24.9869024               0               0      377.176889 00112
      -4.71048927               0               0     -174.332974 10003
     -0.949356614               0               0      893.518077 01003
       5.91096156               0               0     -2708.57078 00022
       0.10590745               0               0     -149.156349 00004
     0.0744204334               0               0               0 00101
     -0.932044457               0               0               0 00011
       2.84521581               0               0               0 10101
       -25.439373               0               0               0 01101
       13.7051555               0               0               0 10011
      -72.5425087               0               0               0 01011
       11.1885519               0               0               0 00102
       -29.857604               0               0               0 20101
       257.607594               0               0               0 11101
       222.800622               0               0               0 02101
      -5.74703998               0               0               0 00301
      -58.3774171               0               0               0 20011
      -75.7986407               0               0               0 11011
      -20.0306669               0               0               0 02011
        81.569985               0               0               0 00211
       39.9072357               0               0               0 10102
       26.1337898               0               0               0 01102
       11.1028012               0               0               0 00121
       15.8064184               0               0               0 10012
        2.5233279               0               0               0 01012
       1.49611639               0               0               0 00103
       2.94427172               0               0               0 00031
      0.196444306               0               0               0 00013
        169.57368               0               0               0 40001
      -1188.40309               0               0               0 31001
      -2564.00859               0               0               0 22001
      -796.126266               0               0               0 13001
      -170.135856               0               0               0 04001
       25.2737324               0               0               0 30101
      -302.117798               0               0               0 21101
       10.5088748               0               0               0 12101
       17.9545609               0               0               0 03101
       393.042869               0               0               0 20201
      -2654.79358               0               0               0 11201
      -675.207959               0               0               0 02201
       31.5374558               0               0               0 10301
      -66.2872749               0               0               0 01301
       11.0483668               0               0               0 00401
       53.9952733               0               0               0 30011
       19.8514223               0               0               0 21011
       6.99512779               0               0               0 12011
       2.03058969               0               0               0 03011
      -414.755722               0               0               0 20111
      -242.924295               0               0               0 11111
      -53.2831769               0               0               0 02111
       14.0854426               0               0               0 10211
      -7.18970025               0               0               0 01211
       46.6175282               0               0               0 00311
        327.02351               0               0               0 30002
      -46.7603764               0               0               0 21002
      -13.1130776               0               0               0 12002
      -2.14608775               0               0               0 03002
      -405.162634               0               0               0 20102
      -37.8327394               0               0               0 11102
      -3.28616433               0               0               0 02102
      -797.756623               0               0               0 10202
      -100.253463               0               0               0 01202
         -58.1494               0               0               0 00302
      -49.7218825               0               0               0 20021
          -23.494               0               0               0 11021
      -4.63065295               0               0               0 02021
      -7.01252658               0               0               0 10121
      -1.66128414               0               0               0 01121
       8.99761159               0               0               0 00221
      -26.9158564               0               0               0 20012
      -2.93740577               0               0               0 11012
     -0.281699956               0               0               0 02012
      -44.2613806               0               0               0 10112
      -5.18873926               0               0               0 01112
      -2.30913015               0               0               0 00212
       12.9742811               0               0               0 20003
       1.29863794               0               0               0 11003
      0.179319821               0               0               0 02003
      0.359636043               0               0               0 10103
    -0.0686000125               0               0               0 01103
      0.479897726               0               0               0 00203
      -1.51837641               0               0               0 10031
     -0.259505376               0               0               0 01031
       1.21378871               0               0               0 00131
      -3.83394487               0               0               0 10022
     -0.448803101               0               0               0 01022
     0.0432742246               0               0               0 00122
      0.043379578               0               0               0 10013
   0.000381017134               0               0               0 01013
     0.0717327023               0               0               0 00113
    0.00404935152               0               0               0 10004
  -0.000704014248               0               0               0 01004
    0.00417717692               0               0               0 00104
      0.265212468               0               0               0 00041
     0.0342938618               0               0               0 00032
      0.027421903               0               0               0 00023
    0.00382346774               0               0               0 00014
     0.0014659581               0               0               0 00005
      -221.978975               0               0               0 50001
       2081.48433               0               0               0 41001
      -430.560936               0               0               0 32001
      -218.050288               0               0               0 23001
      -55.5844501               0               0               0 14001
      -11.3642568               0               0               0 05001
       108.432463               0               0               0 40101
      -931.864934               0               0               0 31101
      -192.977158               0               0               0 22101
      -28.6473383               0               0               0 13101
      -3.41017534               0               0               0 04101
       61.3278498               0               0               0 30201
      -43.6289186               0               0               0 21201
      -47.1521819               0               0               0 12201
       -14.919883               0               0               0 03201
       58.8310901               0               0               0 20301
       -36.337865               0               0               0 11301
      -8.01512328               0               0               0 02301
      -104.944287               0               0               0 10401
       34.7713353               0               0               0 01401
      -122.288125               0               0               0 00501
      -77.5453423               0               0               0 40011
      -64.1314449               0               0               0 31011
      -13.9857505               0               0               0 22011
      -2.33654082               0               0               0 13011
     -0.340596491               0               0               0 04011
       29.3394194               0               0               0 30111
       48.1149331               0               0               0 21111
       9.50174924               0               0               0 12111
       1.38837541               0               0               0 03111
       52.4792515               0               0               0 20211
       3.80058742               0               0               0 11211
      0.234555136               0               0               0 02211
       39.5808085               0               0               0 10311
       15.2563542               0               0               0 01311
      -7.28080327               0               0               0 00411
      -597.497346               0               0               0 40002
      -102.721749               0               0               0 31002
      -15.3681107               0               0               0 22002
      -2.17208316               0               0               0 13002
     -0.274609264               0               0               0 04002
       106.837983               0               0               0 30102
       12.3766158               0               0               0 21102
        1.4653033               0               0               0 12102
      0.185393293               0               0               0 03102
       11.8887131               0               0               0 20202
      -2.55669988               0               0               0 11202
     -0.863809017               0               0               0 02202
       18.8047014               0               0               0 10302
        2.4966758               0               0               0 01302
      -3.93088497               0               0               0 00402
       12.7034651               0               0               0 30021
       7.96187516               0               0               0 21021
       1.60982507               0               0               0 12021
      0.257565675               0               0               0 03021
       5.93574507               0               0               0 20121
      0.679348453               0               0               0 11121
     0.0757550151               0               0               0 02121
       7.36294581               0               0               0 10221
       2.30080135               0               0               0 01221
     -0.118383007               0               0               0 00321
       14.4258145               0               0               0 30012
       1.52658163               0               0               0 21012
      0.163028817               0               0               0 12012
     0.0171689509               0               0               0 03012
       15.0743734               0               0               0 20112
       1.60706583               0               0               0 11112
      0.166465023               0               0               0 02112
       2.28803297               0               0               0 10212
      0.265413449               0               0               0 01212
        3.2668393               0               0               0 00312
      -1.44694805               0               0               0 30003
     -0.301551821               0               0               0 21003
    -0.0979405958               0               0               0 12003
    -0.0218874633               0               0               0 03003
      0.213731277               0               0               0 20103
   -0.00424871757               0               0               0 11103
   -0.00263981236               0               0               0 02103
     -0.390336182               0               0               0 10203
    -0.0220563449               0               0               0 01203
     -0.025206107               0               0               0 00303
      0.835395726               0               0               0 20031
      0.101082424               0               0               0 11031
     0.0113826515               0               0               0 02031
      0.967539242               0               0               0 10131
      0.283940573               0               0               0 01131
     0.0704094684               0               0               0 00231
       1.96621152               0               0               0 20022
      0.211929662               0               0               0 11022
      0.022229702               0               0               0 02022
      0.192176728               0               0               0 10122
     0.0208429359               0               0               0 01122
      0.409197722               0               0               0 00222
     0.0116208798               0               0               0 20013
  -0.000861751979               0               0               0 11013
  -0.000368034008               0               0               0 02013
    -0.0305595883               0               0               0 10113
   0.000792820773               0               0               0 01113
   -0.00103581312               0               0               0 00213
    -0.0317665296               0               0               0 20004
   -0.00868692894               0               0               0 11004
   -0.00130336633               0               0               0 02004
   -0.00485930059               0               0               0 10104
  -0.000181322677               0               0               0 01104
    -0.0225313015               0               0               0 00204
      0.102736083               0               0               0 10041
     0.0316791817               0               0               0 01041
     0.0177406989               0               0               0 00141
     0.0128130316               0               0               0 10032
    0.00134309873               0               0               0 01032
     0.0442654916               0               0               0 00132
   -0.00500745668               0               0               0 10023
  -3.62264901e-05               0               0               0 01023
  -0.000100846774               0               0               0 00123
  -0.000259911565               0               0               0 10014
  -8.65988929e-06               0               0               0 01014
   0.000126433262               0               0               0 00114
  -0.000376405317               0               0               0 10005
   -4.9526213e-05               0               0               0 01005
   5.05435025e-05               0               0               0 00105
    0.00318778677               0               0               0 00051
    0.00474276817               0               0               0 00042
   1.08549858e-05               0               0               0 00033
     9.083549e-05               0               0               0 00024
   3.11879063e-06               0               0               0 00015
   2.32698271e-06               0               0               0 00006
 ---------------------------------------------
