pool	subset	model	target	cell_mse	n	bias	spread	rms	median	p90
protected_core	all	old	xptar	3.373790993563093	77864	-0.3148324386558188	1.53898710121926	1.5708598798585536	1.02912935086958	2.4961156636191446
protected_core	all	gmm	xptar	2.898716816912098	77864	0.20491963289035175	1.5229934120631103	1.5367176022716573	1.0223334919376792	2.465888852428189
protected_core	all	core	xptar	2.57559581193473	77864	0.2802576998907784	1.461999103391435	1.4886187412045535	1.0085014611453027	2.415428616537321
protected_core	all	enet	xptar	2.8583802760571704	77864	0.28751865878279376	1.5269675305938544	1.5538007654252686	1.0460635350330283	2.5227819829875355
protected_core	all	beam	xptar	2.603876009651588	77864	0.2820162027938392	1.4687981326689215	1.4956273242923743	1.0144351565591434	2.4289194497246585
protected_core	all	old	ytar	0.026257739960487275	77864	0.02529138223439099	0.1405534325473497	0.1428107888647369	0.09175127166598465	0.22864526455363657
protected_core	all	gmm	ytar	0.023300889257829888	77864	0.005751829682296238	0.13713996565461775	0.13726053228967122	0.09057523895841445	0.2237816182319495
protected_core	all	core	ytar	0.022580747895505727	77864	0.01064335969872493	0.13540186064109908	0.13581953088841114	0.08942463513343275	0.22198891866792247
protected_core	all	enet	ytar	0.023201002154575733	77864	0.008383938098834967	0.13687037254960324	0.13712690946678655	0.0905045290847425	0.22285255944409504
protected_core	all	beam	ytar	0.02274531780220487	77864	0.009974693486049473	0.13565812800344101	0.13602434415772285	0.08951166757604652	0.2218795375958589
protected_core	all	old	yptar	1.2218805326752347	77864	-0.06654405863386897	1.046569701428251	1.0486831035575457	0.7080590423211921	1.720446042261939
protected_core	all	gmm	yptar	1.1565510760315947	77864	0.00011524528452507283	1.034432550632169	1.0344325570518604	0.7065442010863563	1.7025708515666471
protected_core	all	core	yptar	1.1434982254784114	77864	-0.014651789396987773	1.0290621972963236	1.0291664981123663	0.7028590014280561	1.6933265143986242
protected_core	all	enet	yptar	1.1650711193756924	77864	-0.007403682714387749	1.0362605604850015	1.0362870083786755	0.705286896994512	1.7049810057245953
protected_core	all	beam	yptar	1.1571274386209898	77864	-0.012659849913610258	1.0327993646216156	1.0328769526727992	0.7061468951027648	1.698849435210601
protected_core	all	old	ztar	0.563962274511856	77864	0.11774047776327959	0.6583005872468439	0.6687469501040473	0.4284563611553209	1.076016876347491
protected_core	all	gmm	ztar	0.5017859760652905	77864	0.027447897586032343	0.6433725067680753	0.6439577389448243	0.4226534673510576	1.05105932047881
protected_core	all	core	ztar	0.48539520847321527	77864	0.0514423776504103	0.6353284567597011	0.6374076922872761	0.4169659708761436	1.0443386084374437
protected_core	all	enet	ztar	0.4996464567246937	77864	0.040343284187145605	0.6426264765727605	0.6438915816900587	0.42243348773222644	1.049542566512871
protected_core	all	beam	ztar	0.4895532290514255	77864	0.04802347058260525	0.636726377320336	0.6385348332724515	0.41767044244890394	1.0448758033273553
protected_core	outside_gmm	old	xptar	3.818018540299526	49264	-0.21253066863400288	1.5004948606036108	1.515471580666515	1.0101086377973307	2.4106639610207963
protected_core	outside_gmm	gmm	xptar	3.129986533538575	49264	0.31911403681214523	1.4864340748165574	1.520302610425404	1.0240699928555537	2.4530240473381753
protected_core	outside_gmm	core	xptar	2.710040081129996	49264	0.40973515548545963	1.4282638746136067	1.4858736800842012	1.014406124252989	2.4192011362593604
protected_core	outside_gmm	enet	xptar	3.0076344442550345	49264	0.4082137812981834	1.4831530528218908	1.5383047387746862	1.0426756409675462	2.507320772675381
protected_core	outside_gmm	beam	xptar	2.7374485993252993	49264	0.4111217392739427	1.4332857912901702	1.4910832451670568	1.0173010214157936	2.431370449290586
protected_core	outside_gmm	old	ytar	0.025670080544892792	49264	0.027188430430294796	0.13492070554307994	0.13763287228531368	0.0903630681303183	0.22078619491425386
protected_core	outside_gmm	gmm	ytar	0.023513974694669555	49264	0.009235141868697727	0.13314562008569827	0.13346551612060725	0.08917255465694715	0.21713734680722083
protected_core	outside_gmm	core	ytar	0.02252569463667786	49264	0.01530686425260161	0.1314151978688448	0.13230364440995268	0.08795552241394544	0.2158780462390099
protected_core	outside_gmm	enet	ytar	0.023214421487102784	49264	0.011981986821140904	0.13255391413478074	0.13309435810969905	0.08874977596998943	0.2164613744940634
protected_core	outside_gmm	beam	ytar	0.02270513690839599	49264	0.014489024315503368	0.13145880370976243	0.13225486342065876	0.08810073348369843	0.2158480743594473
protected_core	outside_gmm	old	yptar	1.201220222194302	49264	-0.051039814270828	1.0211936595704671	1.0224683628297375	0.6969029192351451	1.6758717386017041
protected_core	outside_gmm	gmm	yptar	1.156910737061223	49264	0.0038617136563234913	1.0153720654466134	1.0153794089510015	0.6975101777743752	1.6669600114629453
protected_core	outside_gmm	core	yptar	1.136660298301164	49264	-0.007736881543251803	1.0070320544463949	1.0070617746784658	0.6911236309468999	1.6521840430210728
protected_core	outside_gmm	enet	yptar	1.1576226975047896	49264	-0.007711145815709596	1.0124198478380855	1.012449213573838	0.6954310493367273	1.6600700681785336
protected_core	outside_gmm	beam	yptar	1.151001994552378	49264	-0.010278451158270597	1.0093310390023464	1.009383372585347	0.6948714156028921	1.6571017783310218
protected_core	outside_gmm	old	ztar	0.5973609165301935	49264	0.13011768534132148	0.6478970745592599	0.660833739499604	0.43282921682895753	1.0669628770783979
protected_core	outside_gmm	gmm	ztar	0.5449842588232142	49264	0.04511139147180885	0.6393894361714024	0.6409788520131587	0.42650585120938667	1.0456912481179588
protected_core	outside_gmm	core	ztar	0.522738594695732	49264	0.07447491059718378	0.631682848234678	0.6360579636026372	0.42033745775245035	1.0403944298132937
protected_core	outside_gmm	enet	ztar	0.5389191507682838	49264	0.05864702464681935	0.6374860814913181	0.6401780827200195	0.4259799555014525	1.0415561944765392
protected_core	outside_gmm	beam	ztar	0.5272771949479366	49264	0.07036926574046627	0.6320835115752874	0.6359885212534885	0.4204876379472292	1.0381547726054332
