rungroup	entry	reason	protected	quality	old_sample	sample
rg01_theta12p490_foil0	242921	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	253239	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	254250	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	255154	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	263772	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	264162	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	264583	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	264883	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	266590	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	268646	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	269547	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	275456	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	276015	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	276396	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	277499	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	278229	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	282450	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	283258	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	283791	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	286640	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	289110	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	290526	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	293945	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	294523	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	294687	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	295021	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	298193	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	298232	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	300775	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	301255	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	308334	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	309517	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	311083	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	313257	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	314949	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	317385	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	318977	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	322705	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	323735	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	326777	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	326987	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	328729	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	329801	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	329862	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	334236	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	336811	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	339195	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	340422	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	340834	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	341394	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	343270	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	345436	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	348877	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	349005	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	349273	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	352797	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	354833	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	354910	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	355023	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	355707	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	356505	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	356507	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	356862	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	356864	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	358283	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	362522	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	363025	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	363496	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	364903	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	365491	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	366351	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	370360	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	371198	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	377221	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	377522	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	377868	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	378301	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	379967	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	381777	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	383189	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	384664	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	385506	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	390079	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	395860	geometry_blocked	True	0	2	2
