zfoil	delta0	delta1	delta2	delta3	delta4
-8.0	0.6040105773468488	0.271781147784716	0.16328232001429166	0.19750684536676755	0.30452171980891013
-3.0	0.7608142493638677	0.6949114039073149	0.5038197591609478	0.592503438789546	0.5289833964462569
0.0	0.18688211631553828	0.09861181040063295	0.05633744940518995	0.06677385563594729	0.09531260866541484
3.0	0.6735751295336787	0.662718204488778	0.550884419675309	0.45451653944020354	0.46607587925782334
8.0	0.4800420168067227	0.29249813253654894	0.19085404050950094	0.2569607199775007	0.40794761125167434
