pool	rungroup	zfoil	delta_low	delta_high	xscol	yscol	available	fit	surplus
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	3	385	29	356
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	4	534	30	504
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	5	638	30	608
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	6	484	30	454
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	1	7	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	1	16	16	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	2	313	30	283
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	3	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	4	687	30	657
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	5	778	30	748
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	6	839	30	809
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	2	7	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	1	45	30	15
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	2	376	30	346
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	3	553	30	523
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	4	769	30	739
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	5	964	30	934
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	6	1101	30	1071
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	3	7	60	30	30
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	1	68	30	38
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	2	361	30	331
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	3	617	30	587
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	4	254	30	224
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	5	1040	30	1010
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	6	1188	29	1159
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	4	7	65	30	35
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	1	42	30	12
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	2	358	30	328
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	3	605	30	575
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	4	807	29	778
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	5	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	6	1181	30	1151
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	5	7	54	30	24
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	1	16	16	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	2	314	30	284
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	3	473	30	443
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	4	669	30	639
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	5	870	30	840
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	6	959	29	930
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	6	7	0	0	0
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	2	226	30	196
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	3	397	30	367
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	4	542	30	512
rg01_theta12p490_foil0	rg01_theta12p490_foil0	0.0	-8.0	-5.0	7	5	685	30	655
