rungroup	entry	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel
rg07_theta12p495_foilpm8	79499	-8.0	-8.0	-5.0	4	1	0	1
rg07_theta12p495_foilpm8	79509	-8.0	-10.0	-8.0	4	2	0	0
rg07_theta12p495_foilpm8	79532	-8.0	-10.0	-8.0	3	5	0	0
rg07_theta12p495_foilpm8	79548	8.0	-10.0	-8.0	7	5	1	0
rg07_theta12p495_foilpm8	79549	8.0	0.0	5.0	3	4	1	3
rg07_theta12p495_foilpm8	79562	8.0	-10.0	-8.0	6	6	1	0
rg07_theta12p495_foilpm8	79567	8.0	0.0	5.0	7	6	1	3
rg07_theta12p495_foilpm8	79595	-8.0	-8.0	-5.0	6	1	0	1
rg07_theta12p495_foilpm8	79610	-8.0	0.0	5.0	3	1	0	3
rg07_theta12p495_foilpm8	79623	-8.0	-10.0	-8.0	3	5	0	0
rg07_theta12p495_foilpm8	79648	8.0	5.0	10.0	3	3	1	4
rg07_theta12p495_foilpm8	79650	-8.0	0.0	5.0	6	1	0	3
rg07_theta12p495_foilpm8	79654	-8.0	-5.0	0.0	7	3	0	2
rg07_theta12p495_foilpm8	79700	8.0	5.0	10.0	1	6	1	4
rg07_theta12p495_foilpm8	79714	8.0	5.0	10.0	7	6	1	4
rg07_theta12p495_foilpm8	79718	8.0	5.0	10.0	6	6	1	4
rg07_theta12p495_foilpm8	79726	8.0	5.0	10.0	0	6	1	4
rg07_theta12p495_foilpm8	79741	8.0	-8.0	-5.0	3	6	1	1
rg07_theta12p495_foilpm8	79769	8.0	0.0	5.0	4	6	1	3
rg07_theta12p495_foilpm8	79774	-8.0	-5.0	0.0	7	3	0	2
rg07_theta12p495_foilpm8	79777	-8.0	-10.0	-8.0	4	2	0	0
rg07_theta12p495_foilpm8	79783	-8.0	-10.0	-8.0	5	6	0	0
rg07_theta12p495_foilpm8	79792	8.0	-10.0	-8.0	3	4	1	0
rg07_theta12p495_foilpm8	79800	8.0	0.0	5.0	8	3	1	3
rg07_theta12p495_foilpm8	79808	8.0	-10.0	-8.0	5	2	1	0
rg07_theta12p495_foilpm8	79824	-8.0	0.0	5.0	7	6	0	3
rg07_theta12p495_foilpm8	79835	8.0	-8.0	-5.0	1	4	1	1
rg07_theta12p495_foilpm8	79851	8.0	0.0	5.0	3	7	1	3
rg07_theta12p495_foilpm8	79854	-8.0	0.0	5.0	1	3	0	3
rg07_theta12p495_foilpm8	79856	8.0	5.0	10.0	2	7	1	4
rg07_theta12p495_foilpm8	79861	-8.0	5.0	10.0	5	4	0	4
rg07_theta12p495_foilpm8	79862	8.0	0.0	5.0	6	6	1	3
rg07_theta12p495_foilpm8	79888	-8.0	-5.0	0.0	8	5	0	2
rg07_theta12p495_foilpm8	79896	8.0	0.0	5.0	3	4	1	3
rg07_theta12p495_foilpm8	79946	8.0	-8.0	-5.0	4	7	1	1
rg07_theta12p495_foilpm8	79983	-8.0	-5.0	0.0	1	1	0	2
rg07_theta12p495_foilpm8	79994	8.0	-10.0	-8.0	2	5	1	0
rg07_theta12p495_foilpm8	79997	-8.0	-5.0	0.0	5	2	0	2
rg07_theta12p495_foilpm8	80019	8.0	-8.0	-5.0	7	5	1	1
rg07_theta12p495_foilpm8	80034	-8.0	-5.0	0.0	4	5	0	2
rg07_theta12p495_foilpm8	80092	8.0	-5.0	0.0	6	6	1	2
rg07_theta12p495_foilpm8	80126	-8.0	-8.0	-5.0	4	3	0	1
rg07_theta12p495_foilpm8	80137	-8.0	-8.0	-5.0	7	4	0	1
rg07_theta12p495_foilpm8	80172	-8.0	5.0	10.0	7	2	0	4
rg07_theta12p495_foilpm8	80175	-8.0	-10.0	-8.0	1	5	0	0
rg07_theta12p495_foilpm8	80181	8.0	-10.0	-8.0	4	2	1	0
rg07_theta12p495_foilpm8	80185	8.0	-8.0	-5.0	8	3	1	1
rg07_theta12p495_foilpm8	80226	8.0	-5.0	0.0	2	2	1	2
rg07_theta12p495_foilpm8	80249	8.0	-8.0	-5.0	2	2	1	1
rg07_theta12p495_foilpm8	80253	-8.0	-10.0	-8.0	5	6	0	0
rg07_theta12p495_foilpm8	80254	8.0	5.0	10.0	3	4	1	4
rg07_theta12p495_foilpm8	80276	8.0	-5.0	0.0	7	2	1	2
rg07_theta12p495_foilpm8	80279	8.0	0.0	5.0	2	7	1	3
rg07_theta12p495_foilpm8	80299	-8.0	-8.0	-5.0	1	4	0	1
rg07_theta12p495_foilpm8	80328	-8.0	5.0	10.0	4	4	0	4
rg07_theta12p495_foilpm8	80341	-8.0	0.0	5.0	7	5	0	3
rg07_theta12p495_foilpm8	80345	-8.0	-8.0	-5.0	1	1	0	1
rg07_theta12p495_foilpm8	80355	-8.0	-10.0	-8.0	6	3	0	0
rg07_theta12p495_foilpm8	80382	8.0	-10.0	-8.0	2	7	1	0
rg07_theta12p495_foilpm8	80429	8.0	0.0	5.0	7	4	1	3
rg07_theta12p495_foilpm8	80447	-8.0	-10.0	-8.0	4	4	0	0
rg07_theta12p495_foilpm8	80454	8.0	-10.0	-8.0	2	4	1	0
rg07_theta12p495_foilpm8	80456	8.0	5.0	10.0	1	6	1	4
rg07_theta12p495_foilpm8	80457	-8.0	-10.0	-8.0	3	6	0	0
rg07_theta12p495_foilpm8	80459	-8.0	-5.0	0.0	1	5	0	2
rg07_theta12p495_foilpm8	80476	-8.0	-8.0	-5.0	2	4	0	1
rg07_theta12p495_foilpm8	80484	-8.0	-5.0	0.0	7	5	0	2
rg07_theta12p495_foilpm8	80497	-8.0	-5.0	0.0	6	6	0	2
rg07_theta12p495_foilpm8	80500	8.0	-8.0	-5.0	3	4	1	1
rg07_theta12p495_foilpm8	80508	-8.0	-5.0	0.0	7	4	0	2
rg07_theta12p495_foilpm8	80551	-8.0	-10.0	-8.0	0	3	0	0
rg07_theta12p495_foilpm8	80555	-8.0	0.0	5.0	0	3	0	3
rg07_theta12p495_foilpm8	80571	8.0	0.0	5.0	6	7	1	3
rg07_theta12p495_foilpm8	80611	-8.0	-5.0	0.0	5	6	0	2
rg07_theta12p495_foilpm8	80613	8.0	-8.0	-5.0	3	2	1	1
rg07_theta12p495_foilpm8	80616	-8.0	-5.0	0.0	2	5	0	2
rg07_theta12p495_foilpm8	80636	8.0	-8.0	-5.0	3	6	1	1
rg07_theta12p495_foilpm8	80650	8.0	-5.0	0.0	7	7	1	2
rg07_theta12p495_foilpm8	80688	-8.0	-5.0	0.0	7	6	0	2
rg07_theta12p495_foilpm8	80703	-8.0	-10.0	-8.0	4	2	0	0
rg07_theta12p495_foilpm8	80704	8.0	0.0	5.0	4	7	1	3
rg07_theta12p495_foilpm8	80705	-8.0	-10.0	-8.0	6	6	0	0
rg07_theta12p495_foilpm8	80727	8.0	5.0	10.0	6	7	1	4
rg07_theta12p495_foilpm8	80729	8.0	-10.0	-8.0	6	6	1	0
rg07_theta12p495_foilpm8	80736	8.0	0.0	5.0	7	5	1	3
rg07_theta12p495_foilpm8	80746	-8.0	5.0	10.0	4	3	0	4
rg07_theta12p495_foilpm8	80774	8.0	-8.0	-5.0	4	4	1	1
rg07_theta12p495_foilpm8	80779	8.0	-10.0	-8.0	5	4	1	0
rg07_theta12p495_foilpm8	80782	-8.0	0.0	5.0	6	3	0	3
rg07_theta12p495_foilpm8	80799	8.0	-8.0	-5.0	7	7	1	1
rg07_theta12p495_foilpm8	80811	-8.0	5.0	10.0	5	4	0	4
rg07_theta12p495_foilpm8	80812	8.0	-8.0	-5.0	3	4	1	1
rg07_theta12p495_foilpm8	80823	8.0	-5.0	0.0	3	3	1	2
rg07_theta12p495_foilpm8	80845	-8.0	-5.0	0.0	1	1	0	2
rg07_theta12p495_foilpm8	80863	-8.0	0.0	5.0	2	2	0	3
rg07_theta12p495_foilpm8	80889	-8.0	-10.0	-8.0	6	4	0	0
rg07_theta12p495_foilpm8	80908	-8.0	-8.0	-5.0	0	5	0	1
rg07_theta12p495_foilpm8	80911	8.0	-5.0	0.0	2	5	1	2
