zfoil	delta0	delta1	delta2	delta3	delta4
-8.0	2741	2742	2742	2741	2741
-3.0	1495	3059	3891	3446	1816
0.0	2741	2742	2742	2741	2741
3.0	1430	3189	4547	2858	1683
8.0	2742	2741	2742	2741	2741
