zfoil	delta0	delta1	delta2	delta3	delta4
-8.0	4538	10089	16793	13878	9001
-3.0	1965	4402	7723	5816	3433
0.0	14667	27806	48671	41049	28758
3.0	2123	4812	8254	6288	3611
8.0	5712	9371	14367	10667	6719
