N	last_code	degree	rank	truncated	sigma_max_Ay	sigma_min_Ay	threshold_Ay	sigma_min_minus_threshold_Ay	min_over_threshold_Ay	log10_min_over_threshold_Ay	log10_min_retained_over_threshold_Ay	kappa_Ay	rank_scaled	truncated_scaled	threshold_scaled_Gram	min_over_threshold_scaled_Gram	log10_min_over_threshold_scaled_Gram	kappa_scaled_Gram	min_over_threshold_direct_X	min_over_threshold_scaled_direct_X	xptar_residual_rms_mrad	ytar_residual_rms_cm	yptar_residual_rms_mrad	xptar_step_prediction_rms_mrad	ytar_step_prediction_rms_cm	yptar_step_prediction_rms_mrad	xptar_prediction_diff_from_full_rms_mrad	ytar_prediction_diff_from_full_rms_cm	yptar_prediction_diff_from_full_rms_mrad
11	00200	2	11	0	166955.52089663522	0.0020610429642121068	3.7071572677546177e-11	0.002061042927140534	55596318.562995754	7.7450460347347505	7.7450460347347505	81005356.89728273	11	0	1.2555625984575929e-15	2342875933791.7153	12.369749291287421	1922.2527161657515	500383412558.1218	102719886985883.25	3.1978834866485246	1.1418055182502762	3.116974592524964	0.2741969171811943	0.09755981960842651	0.2339372394083803	2.512898555508199	1.132216993822089	2.906745975787237
12	10010	2	12	0	166955.56370018487	0.002046456431906185	3.707158218184345e-11	0.002046456394834603	55202834.93345149	7.741961381431012	7.741961381431012	81582759.8854245	12	0	1.3685731133391487e-15	2123100872004.877	12.326970628699387	2121.2367658808776	498609533438.6749	97783415240136.22	3.1488578748417573	0.3016004283876436	1.3079536271894319	0.5578107907034403	1.1012524792722274	2.829273390743398	2.4502053530259222	0.2629796531777738	0.6666215179201712
13	01010	2	13	0	166955.56431761308	0.00037181955931424315	3.707158231894005e-11	0.00037181952224266086	10029773.105322206	7.0012911084719525	7.0012911084719525	449023081.58703035	13	0	1.508797166321345e-15	1903165533369.14	12.279476563958207	2366.3730497461534	212532544377.8882	92580211637800.38	3.1484464285149025	0.2865463166653625	1.2905851703826208	0.050901893127851504	0.09409583842621151	0.21244436652147064	2.4496765642496188	0.2455692798290648	0.6318636239200373
14	00110	2	14	0	166955.6096783711	0.0003710858707262395	3.7071592391051647e-11	0.0003710858336546471	10009979.25343537	7.000433177366644	7.000433177366644	449910985.1626201	14	0	1.6359751810259652e-15	1737457650618.41	12.239914227750276	2592.0629638181617	212322723314.67007	88457976621058.69	3.128915131346242	0.28654442379167916	1.2903945303244466	0.35014998780785994	0.0010415317424492256	0.02218193229387694	2.4245226861051923	0.2455670710974638	0.6314741492050079
15	00020	2	15	0	166955.61095807454	0.00011317362893706943	3.707159267520289e-11	0.00011317359186547675	3052839.675074738	6.484703997204446	6.484703997204446	1475216554.652593	15	0	1.778872578936029e-15	1512170481856.8525	12.179600756215418	2978.235378487452	117255139005.01787	82523999046375.83	3.122457527637976	0.28491109200475956	1.2897611868782761	0.20092010168765723	0.030551210429404577	0.04042430844093725	2.416183222754028	0.24365920852095782	0.6301789238545258
16	30000	3	16	0	166962.0423013333	0.00011316839802942902	3.707302072027592e-11	0.0001131683609564083	3052580.98290154	6.48466719430758	6.48466719430758	1475341572.458377	16	0	1.8650516751873985e-15	1436198183676.2324	12.157214373150175	3135.778667984835	117250170904.4025	80424260051489.75	3.1224462807742346	0.2844972147325385	1.2891927292305154	0.008380667342454174	0.015351389407844838	0.038288719971304216	2.4161686883017186	0.2431751318291982	0.6290146659587506
17	21000	3	17	0	166962.1478997199	0.0001122984769385833	3.707304416782795e-11	0.00011229843986553914	3029113.995338859	6.481315617543834	6.481315617543834	1486771258.62564	17	0	1.9773190385802027e-15	1242940060892.6785	12.094450185881218	3623.3441732789706	116798615833.69888	74817808007693.9	2.702134276546903	0.28449381931467543	1.289177982840757	1.5646536766430563	0.0013899504757997445	0.006166170538582405	1.8411219415415494	0.24317115942800988	0.6289844420474783
18	12000	3	18	0	166962.14946566452	5.1109427900524355e-05	3.7073044515537506e-11	5.110939082747984e-05	1378614.261882488	6.139442766994979	6.139442766994979	3266758332.5453653	18	0	2.102995013058943e-15	278811400183.9505	11.4453105274452	16152.85323483606	78795473703.22577	35435221432600.67	2.528889692685927	0.2827092589347224	1.2861125213243167	0.951969837086059	0.03181521869482934	0.08885073963068117	1.5759071911477598	0.24108090950515082	0.6226772653486841
19	03000	3	19	0	166962.1494875341	3.2023277262211187e-07	3.707304452039353e-11	3.201956995775915e-07	8637.887089255777	3.936407522837938	3.936407522837938	521377459653.5641	19	0	2.2305712850481446e-15	41389882697.185616	10.61689419557116	108809.19040818463	6237113521.233702	13652965256460.459	2.528837888735065	0.28112511302417487	1.2846150136687289	0.016186731349114487	0.029886383430723674	0.06204582309989642	1.57582407285343	0.2392212795866023	0.6195783281100132
20	20100	3	20	0	166962.18073610277	3.20213840264307e-07	3.7073051458969614e-11	3.20176767212848e-07	8637.374795508857	3.93638176504058	3.93638176504058	521408383217.5739	20	0	2.3095846526762456e-15	39973812083.67556	10.60177556652283	112663.75140662826	6236928563.871489	13417378477433.787	2.5235742151127725	0.2811213789349888	1.2845988399467019	0.16307743043668604	0.0014489577474291607	0.006446219888737815	1.5673631540608435	0.23921689138525587	0.619544793314249
21	11100	3	21	0	166962.18138547504	3.1777953009003915e-07	3.707305160315922e-11	3.17742457038436e-07	8571.712237008274	3.933067582811095	3.933067582811095	525402568687.065	21	0	2.4081917683787105e-15	38120149415.60209	10.581154594228732	118142.23439342635	6213176324.301692	13102590992062.562	2.5232220332177886	0.27770791627804925	1.279261997377471	0.042159106505339744	0.043675427067486484	0.11697402125834067	1.5667960545579724	0.2351960388492854	0.6084018629661654
22	02100	3	22	0	166962.18139571653	3.1755308930595377e-07	3.707305160543329e-11	3.175160162543483e-07	8565.604274653624	3.9327580064014143	3.9327580064014143	525777222827.9379	22	0	2.5187849342315814e-15	35713089266.77901	10.552827419318673	126105.0141512073	6210962261.991579	12682170773021.645	2.5215027185847623	0.2776732304501284	1.2792253560217275	0.09313146136224412	0.0043890608223195885	0.009682274824385776	1.5640257165573295	0.23515508305980132	0.6083248140596704
23	10200	3	23	0	166962.28281338344	3.1755193690080076e-07	3.707307412467907e-11	3.175148638266761e-07	8565.567986966867	3.9327561665340802	3.9327561665340802	525779450262.1483	23	0	2.6467397972985673e-15	33986437198.373646	10.531305639835026	132511.6722616046	6210949105.783967	12371794772957.473	2.5197796804532078	0.27693638607950744	1.2790376799376355	0.09320043615589799	0.02021536643020227	0.021911753266206466	1.5612463357885205	0.23428455366974194	0.607930057219778
24	01200	3	24	0	166962.28416608056	3.1359875990496735e-07	3.707307442503817e-11	3.135616868305423e-07	8458.935892653431	3.9273157336046065	3.9273157336046065	532407348219.9886	24	0	2.790068347346117e-15	31996434674.028374	10.505101588080507	140753.17057203516	6172168219.874175	12004129759256.365	2.502394657748177	0.2725022316095785	1.2725630985120673	0.29548369649643896	0.049358846244529166	0.12853228001230702	1.5330295512632433	0.22902610896887035	0.594187185452777
25	00300	3	25	0	166962.2879682869	3.135519362184707e-07	3.707307526929757e-11	3.1351486314320137e-07	8457.672689434043	3.927250874009841	3.927250874009841	532486866392.5396	25	0	2.8944153570144646e-15	30840362288.697163	10.489119471164194	146029.40086151462	6171707346.665426	11785272339364.58	2.4993465719621173	0.2699242010010844	1.2700336567420634	0.12347362318819037	0.03739508036325219	0.08019570337203298	1.5280490425131212	0.22595257536251978	0.5887504224198636
26	20010	3	26	0	166962.2929367475	3.1349663724028977e-07	3.707307637251744e-11	3.1345956416391724e-07	8456.180816779673	3.92717426082847	3.92717426082847	532580809818.3004	26	0	3.0301180526014045e-15	29402257756.975014	10.468380680539639	153171.8980424937	6171163000.254498	11507215001023.121	2.456053726534327	0.2663809926484478	1.2654680683361506	0.46317748148836224	0.04359175435853633	0.10759208775450496	1.4561594987232553	0.221707747055125	0.5788359030270067
27	11010	3	27	0	166962.29300564516	3.080789979814191e-07	3.70730763878158e-11	3.080419249050313e-07	8310.046750872567	3.919603467055936	3.919603467055936	541946364729.8509	27	0	3.1802440855516755e-15	27251149076.09613	10.435384819525925	165262.7423083937	6117607657.490663	11078278964986.652	2.3768748995268165	0.20679932934537312	1.1870095840980759	0.6185997250911008	0.16790732754486856	0.438654396243529	1.3182318130097186	0.1447806829528423	0.3776682135740307
28	02010	3	28	0	166962.2930068148	4.248501780815465e-08	3.707307638807551e-11	4.244794473176658e-08	1145.980370321247	3.0591771785963124	3.0591771785963124	3929909921675.2065	28	0	3.337378069677251e-15	25952925489.416424	10.414186319883866	173529.55562589885	2271791532.8557568	10811178731519.428	2.374809421055068	0.1993889761036037	1.1818644439244996	0.09906816677231463	0.05486345620179503	0.11040013101110492	1.3145038694739755	0.13398343564402757	0.3611718501845689
29	10110	3	29	0	166962.29652750364	4.231687620973435e-08	3.707307716982547e-11	4.2279803132564526e-08	1141.4449363317733	3.057454965827077	3.057454965827077	3945525083184.106	29	0	3.478654235839914e-15	24873448675.10479	10.39573600387601	181060.52305798818	2267291553.799298	10583952673084.336	2.36227084753743	0.1972392143323216	1.1739410243146204	0.24371341674698793	0.029200276472266695	0.13662369960476897	1.2917136828354419	0.13076276733286574	0.33433376010927296
30	01110	3	30	0	166962.29657330748	4.222406664805045e-08	3.707307717999597e-11	4.2186993570870455e-08	1138.9415138928332	3.0565014230731604	3.0565014230731604	3954197447749.0645	30	0	3.6340754500918795e-15	23181303157.617615	10.365137846565208	194277.2413073148	2264803871.7663994	10217597969389.072	2.3615859337096596	0.19420060107197257	1.171362830201547	0.05688088503847006	0.034488176881614804	0.07776020345148327	1.2904606812216568	0.12613274172402722	0.3251651416134981
31	00210	3	31	0	166962.2968211026	4.183893961314189e-08	3.7073077235017535e-11	4.180186653590687e-08	1128.5531909830981	3.05252203306912	3.05252203306912	3990595802974.381	31	0	3.76756172073931e-15	22358773111.60471	10.349447968915698	201424.2733664588	2254451536.4906507	10034687950067.166	2.3595361326194517	0.19135624344855015	1.1705917579490341	0.09837358175609828	0.03311588113698475	0.0424948973673455	1.286705653264007	0.12170790290924419	0.3223764202641705
32	10020	3	32	0	166962.29687382412	4.16502866593447e-08	3.7073077246724066e-11	4.161321358209797e-08	1123.4645125938418	3.0505593587061206	3.0505593587061206	4008671014425.4023	32	0	3.923568156174976e-15	21233103007.529835	10.327013466637602	212102.75416520124	2249363101.0319567	9778823793986.498	2.35889500395652	0.19000626128552628	1.166317678944172	0.055001104910373765	0.02268992211992128	0.09994066030290587	1.2855295825271862	0.11957414215088955	0.3064939704658254
