rungroup	zfoil_cm	population	low_cm	high_cm	count
rg01_theta12p490_foil0	0.0	dense_half	-0.09925926123879791	-0.09144875427650229	1904
rg01_theta12p490_foil0	0.0	dense_half	-0.09144875427650229	-0.0836382473142066	1847
rg01_theta12p490_foil0	0.0	dense_half	-0.0836382473142066	-0.07582774035191098	1773
rg01_theta12p490_foil0	0.0	dense_half	-0.07582774035191098	-0.0680172333896153	1655
rg01_theta12p490_foil0	0.0	dense_half	-0.0680172333896153	-0.06020672642731972	1642
rg01_theta12p490_foil0	0.0	dense_half	-0.06020672642731972	-0.05239621946502404	1434
rg01_theta12p490_foil0	0.0	dense_half	-0.05239621946502404	-0.04458571250272836	1377
rg01_theta12p490_foil0	0.0	dense_half	-0.04458571250272836	-0.03677520554043279	1394
rg01_theta12p490_foil0	0.0	dense_half	-0.03677520554043279	-0.028964698578137105	1236
rg01_theta12p490_foil0	0.0	dense_half	-0.028964698578137105	-0.021154191615841422	1183
rg01_theta12p490_foil0	0.0	dense_half	-0.021154191615841422	-0.013343684653545851	1071
rg01_theta12p490_foil0	0.0	dense_half	-0.013343684653545851	-0.0055331776912501685	938
rg01_theta12p490_foil0	0.0	dense_half	-0.0055331776912501685	0.002277329271045514	888
rg01_theta12p490_foil0	0.0	dense_half	0.002277329271045514	0.010087836233341085	837
rg01_theta12p490_foil0	0.0	dense_half	0.010087836233341085	0.017898343195636768	731
rg01_theta12p490_foil0	0.0	dense_half	0.017898343195636768	0.02570885015793245	666
rg01_theta12p490_foil0	0.0	dense_half	0.02570885015793245	0.03351935712022802	624
rg01_theta12p490_foil0	0.0	dense_half	0.03351935712022802	0.041329864082523704	490
rg01_theta12p490_foil0	0.0	dense_half	0.041329864082523704	0.049140371044819275	428
rg01_theta12p490_foil0	0.0	dense_half	0.049140371044819275	0.05695087800711496	394
rg01_theta12p490_foil0	0.0	dense_half	0.05695087800711496	0.06476138496941064	352
rg01_theta12p490_foil0	0.0	dense_half	0.06476138496941064	0.07257189193170621	318
rg01_theta12p490_foil0	0.0	dense_half	0.07257189193170621	0.0803823988940019	306
rg01_theta12p490_foil0	0.0	dense_half	0.0803823988940019	0.08819290585629758	292
rg01_theta12p490_foil0	0.0	dense_half	0.08819290585629758	0.09600341281859315	208
rg01_theta12p490_foil0	0.0	dense_half	0.09600341281859315	0.10381391978088883	190
rg01_theta12p490_foil0	0.0	dense_half	0.10381391978088883	0.11162442674318451	162
rg01_theta12p490_foil0	0.0	dense_half	0.11162442674318451	0.11943493370548008	123
rg01_theta12p490_foil0	0.0	dense_half	0.11943493370548008	0.12724544066777577	94
rg01_theta12p490_foil0	0.0	dense_half	0.12724544066777577	0.13505594763007145	115
rg01_theta12p490_foil0	0.0	dense_half	0.13505594763007145	0.14286645459236702	91
rg01_theta12p490_foil0	0.0	dense_half	0.14286645459236702	0.1506769615546627	77
rg01_theta12p490_foil0	0.0	dense_half	0.1506769615546627	0.15848746851695839	64
rg01_theta12p490_foil0	0.0	dense_half	0.15848746851695839	0.16629797547925396	51
