rungroup	zfoil_cm	population	n	mean_cm	std_cm	median_cm	p05_cm	p95_cm
rg01_theta12p490_foil0	0.0	dense_half	91069	-0.1744135809084258	0.12233066359061519	-0.1735673936026367	-0.37816417294685306	0.02510319204597097
rg01_theta12p490_foil0	0.0	outer_core	90942	-0.17642326634831038	0.12886075269531444	-0.17496570676579906	-0.39155214615798506	0.032690836251321596
rg01_theta12p490_foil0	0.0	shoulders	50023	-0.1789954247603925	0.14748908332364793	-0.17914156189663366	-0.4207363571851821	0.06157032236274049
rg01_theta12p490_foil0	0.0	unsupported	494	-0.16952010214435612	0.15993668553149853	-0.1653935216921384	-0.4430175920490889	0.09401171660616962
rg01_theta12p490_foil0	0.0	out_of_core	50517	-0.17890276665772759	0.14761883374953244	-0.17898664083296442	-0.42080980223089554	0.06195803530179716
rg02_theta15p195_foil0	0.0	dense_half	9731	-0.1923508017886698	0.13046302792991757	-0.1998867289474176	-0.3919820624427907	0.04379042626463531
rg02_theta15p195_foil0	0.0	outer_core	9613	-0.19276818520330316	0.13343900711967158	-0.20028718470291546	-0.3955700667475086	0.04833244993220663
rg02_theta15p195_foil0	0.0	shoulders	4885	-0.18899565819842126	0.14972308563601539	-0.1985046512927588	-0.41481257814448774	0.07914316818348681
rg02_theta15p195_foil0	0.0	unsupported	271	-0.20074255657608422	0.15152133312281088	-0.21310507745541726	-0.4277158327209344	0.06906960996557288
rg02_theta15p195_foil0	0.0	out_of_core	5156	-0.18961307663526117	0.14984107036935643	-0.1993936855451775	-0.41576211865051843	0.07823137379612002
rg03_theta12p490_foilpm8	-8.0	dense_half	18094	-1.7288246976293011	0.1662897741973403	-1.7345323606435727	-1.9898713564967585	-1.4542025593698922
rg03_theta12p490_foilpm8	-8.0	outer_core	17964	-1.7306981328023907	0.16858015882704142	-1.7384426843765195	-1.9933056804024896	-1.4470414373750256
rg03_theta12p490_foilpm8	-8.0	shoulders	11550	-1.7258325023931573	0.1939966965182773	-1.7398720818447204	-2.0144852334571115	-1.3905767958186779
rg03_theta12p490_foilpm8	-8.0	unsupported	328	-1.711281929173985	0.23674210366398757	-1.7427945187285174	-2.027892020937241	-1.2573310798699857
rg03_theta12p490_foilpm8	-8.0	out_of_core	11878	-1.7254307017519812	0.19531727146249464	-1.7398834255373439	-2.014937078785174	-1.3853137072162924
rg03_theta12p490_foilpm8	8.0	dense_half	16470	1.4893153680852256	0.1614871804192187	1.4895849293953591	1.225527220513475	1.7553296596326702
rg03_theta12p490_foilpm8	8.0	outer_core	16361	1.4892302106328423	0.16618730351359706	1.488805931463002	1.2174487062652248	1.7620981340556845
rg03_theta12p490_foilpm8	8.0	shoulders	8562	1.4887563785320317	0.18785416359536974	1.4936309583172647	1.1753700585809075	1.7846791825422728
rg03_theta12p490_foilpm8	8.0	unsupported	154	1.5253363917616327	0.20383885226911266	1.5220306525030558	1.132801977979028	1.832035018352987
rg03_theta12p490_foilpm8	8.0	out_of_core	8716	1.489402698178356	0.1882100860466865	1.4940911685927134	1.1753148135299825	1.7854899599989864
rg04_theta15p195_foilpm3	-3.0	dense_half	4711	-0.9706676823590962	0.14027260227998134	-0.979757992165026	-1.1848880453260522	-0.7214073444169505
rg04_theta15p195_foilpm3	-3.0	outer_core	4609	-0.9708883402396945	0.14177008337496205	-0.9811553560078895	-1.1849575436095634	-0.7201567878700529
rg04_theta15p195_foilpm3	-3.0	shoulders	2457	-0.9610447959047597	0.15588993674797763	-0.9698651037921141	-1.19511104958396	-0.6873819296397801
rg04_theta15p195_foilpm3	-3.0	unsupported	239	-1.0113068683165418	0.1660538219208592	-1.0457743301314106	-1.22091001236722	-0.6793944597378468
rg04_theta15p195_foilpm3	-3.0	out_of_core	2696	-0.9655005211667835	0.15746698977354845	-0.976295296338779	-1.198623146326126	-0.6849155986121012
rg04_theta15p195_foilpm3	3.0	dense_half	4823	0.5950191354730759	0.13148121734114254	0.5952908173627236	0.3805710679853748	0.8155430299111772
rg04_theta15p195_foilpm3	3.0	outer_core	4739	0.5947630464079139	0.13425620190042445	0.5919620725611602	0.3746069193473596	0.8245439134687961
rg04_theta15p195_foilpm3	3.0	shoulders	2293	0.5884668206573728	0.1458910804791107	0.5861901051756393	0.35611569232883755	0.8379995749740453
rg04_theta15p195_foilpm3	3.0	unsupported	321	0.5993305401679524	0.13987357451382146	0.6151082818025448	0.3559746497646778	0.8086520765205062
rg04_theta15p195_foilpm3	3.0	out_of_core	2614	0.5898008887380523	0.14520934655010426	0.5884367668482544	0.3559292157194392	0.8368674011093779
rg05_theta12p495_foilpm3	-3.0	dense_half	10008	-0.8616818606158549	0.11959527815444841	-0.8629679541328803	-1.0571019295439275	-0.6650062691645423
rg05_theta12p495_foilpm3	-3.0	outer_core	9901	-0.8649323688175882	0.1256506560607086	-0.8639916405300685	-1.0754712825354906	-0.6608262289096103
rg05_theta12p495_foilpm3	-3.0	shoulders	5855	-0.8653786326511637	0.14293600654208413	-0.8641736783076257	-1.0964046722913712	-0.6351279545304759
rg05_theta12p495_foilpm3	-3.0	unsupported	143	-0.8747922004680959	0.15546057186873086	-0.8756951242698213	-1.1166730227817996	-0.6073448367735602
rg05_theta12p495_foilpm3	-3.0	out_of_core	5998	-0.865603064161304	0.14325454972118318	-0.864237194585546	-1.0970103777865645	-0.6349234573307371
rg05_theta12p495_foilpm3	3.0	dense_half	10969	0.4437682612933487	0.13238075332517407	0.44527040778338844	0.21982187518528204	0.6572952398461096
rg05_theta12p495_foilpm3	3.0	outer_core	10852	0.4409542101346073	0.13753543121747813	0.4415210451047631	0.2118750744157022	0.6646780964167169
rg05_theta12p495_foilpm3	3.0	shoulders	5923	0.42911458903708755	0.16021119300326386	0.43022268220520143	0.1702400720811875	0.6805663961679914
rg05_theta12p495_foilpm3	3.0	unsupported	136	0.4134298149930522	0.16857207834066096	0.42339844957722306	0.1482055176593167	0.6616142577609206
