rungroup	foil	ndel	xscol	yscol	available	training
rg01_theta12p490_foil0	0	2	2	6	2311	114
rg01_theta12p490_foil0	0	2	2	7	177	16
rg01_theta12p490_foil0	0	2	3	1	176	9
rg01_theta12p490_foil0	0	2	3	2	806	61
rg01_theta12p490_foil0	0	2	3	3	1323	123
rg01_theta12p490_foil0	0	2	3	4	1868	123
rg01_theta12p490_foil0	0	2	3	5	2301	156
rg01_theta12p490_foil0	0	2	3	6	2817	144
rg01_theta12p490_foil0	0	2	3	7	707	45
rg01_theta12p490_foil0	0	2	4	1	245	15
rg01_theta12p490_foil0	0	2	4	2	928	68
rg01_theta12p490_foil0	0	2	4	3	1438	106
rg01_theta12p490_foil0	0	2	4	4	491	50
rg01_theta12p490_foil0	0	2	4	5	2602	198
rg01_theta12p490_foil0	0	2	4	6	3229	194
rg01_theta12p490_foil0	0	2	4	7	974	65
rg01_theta12p490_foil0	0	2	5	1	253	21
rg01_theta12p490_foil0	0	2	5	2	876	69
rg01_theta12p490_foil0	0	2	5	3	1296	97
rg01_theta12p490_foil0	0	2	5	4	1932	132
rg01_theta12p490_foil0	0	2	5	6	2975	162
rg01_theta12p490_foil0	0	2	5	7	668	48
rg01_theta12p490_foil0	0	2	6	1	117	5
rg01_theta12p490_foil0	0	2	6	2	726	48
rg01_theta12p490_foil0	0	2	6	3	1091	86
rg01_theta12p490_foil0	0	2	6	4	1563	100
rg01_theta12p490_foil0	0	2	6	5	2000	148
rg01_theta12p490_foil0	0	2	6	6	2550	133
rg01_theta12p490_foil0	0	2	6	7	165	9
rg01_theta12p490_foil0	0	2	7	2	504	36
rg01_theta12p490_foil0	0	2	7	3	820	72
rg01_theta12p490_foil0	0	2	7	4	1236	78
rg01_theta12p490_foil0	0	2	7	5	1614	108
rg01_theta12p490_foil0	0	2	7	6	1924	106
rg01_theta12p490_foil0	0	2	8	2	292	21
rg01_theta12p490_foil0	0	2	8	3	524	45
rg01_theta12p490_foil0	0	2	8	4	823	53
rg01_theta12p490_foil0	0	2	8	5	1175	74
rg01_theta12p490_foil0	0	2	8	6	536	33
rg01_theta12p490_foil0	0	3	0	2	128	12
rg01_theta12p490_foil0	0	3	0	3	465	42
rg01_theta12p490_foil0	0	3	0	4	600	32
rg01_theta12p490_foil0	0	3	0	5	879	73
rg01_theta12p490_foil0	0	3	1	2	349	20
rg01_theta12p490_foil0	0	3	1	3	637	37
rg01_theta12p490_foil0	0	3	1	4	924	74
rg01_theta12p490_foil0	0	3	1	5	1297	103
rg01_theta12p490_foil0	0	3	1	6	1684	117
rg01_theta12p490_foil0	0	3	2	1	117	7
rg01_theta12p490_foil0	0	3	2	2	502	43
rg01_theta12p490_foil0	0	3	2	4	1236	90
rg01_theta12p490_foil0	0	3	2	5	1635	106
rg01_theta12p490_foil0	0	3	2	6	2192	138
rg01_theta12p490_foil0	0	3	2	7	669	48
rg01_theta12p490_foil0	0	3	3	1	279	12
rg01_theta12p490_foil0	0	3	3	2	635	46
rg01_theta12p490_foil0	0	3	3	3	993	80
rg01_theta12p490_foil0	0	3	3	4	1455	104
rg01_theta12p490_foil0	0	3	3	5	2001	192
rg01_theta12p490_foil0	0	3	3	6	2769	143
rg01_theta12p490_foil0	0	3	3	7	1689	133
rg01_theta12p490_foil0	0	3	4	1	286	19
rg01_theta12p490_foil0	0	3	4	2	683	43
rg01_theta12p490_foil0	0	3	4	3	1114	93
rg01_theta12p490_foil0	0	3	4	4	400	27
rg01_theta12p490_foil0	0	3	4	5	2214	166
rg01_theta12p490_foil0	0	3	4	6	2960	172
rg01_theta12p490_foil0	0	3	4	7	2018	150
