term	target	coefficient	standardized	active	fold_frequency
10000	xptar	0.3423110903572261	2.057751735169035	True	1.0
10000	ytar	0.014006873318233701	0.24728619556299453	True	1.0
10000	yptar	-0.004798039105104586	-0.07186700153514565	True	1.0
01000	xptar	-3.0908161384117907	-2.249917249748797	True	1.0
01000	ytar	-0.10069739343538918	-0.21527731526700783	True	1.0
01000	yptar	0.029011502051025165	0.052620785203993437	True	1.0
00100	xptar	0.010941892844025896	0.022947419564290666	True	1.0
00100	ytar	-0.47482846689387287	-2.924588799000273	True	1.0
00100	yptar	0.28536115948755825	1.491179742865579	True	1.0
00010	xptar	0.04748419146530059	0.01247132308096457	True	1.0
00010	ytar	0.43168835690625856	0.33298179007362644	True	1.0
00010	yptar	-2.417708960151825	-1.5821994825708756	True	1.0
20000	xptar	-0.3936642736061591	-0.5313584397888309	True	1.0
20000	ytar	-0.023777416362059905	-0.09425684709978449	True	1.0
20000	yptar	0.005085656113385436	0.017104181876952066	True	1.0
11000	xptar	2.933830189430539	0.4830171039899935	True	1.0
11000	ytar	-0.010534318762256837	-0.005093550986411411	True	0.6666666666666666
11000	yptar	0.013833329847464784	0.005674766607455979	True	1.0
02000	xptar	5.066002152019647	0.1100555289846215	True	1.0
02000	ytar	1.0763746011193929	0.06867467337113817	True	1.0
02000	yptar	-0.3117476445068878	-0.01687498563566216	True	1.0
10100	xptar	-0.2839173311287636	-0.17170896822357865	True	1.0
10100	ytar	0.9564345282191853	1.6988028716565973	True	1.0
10100	yptar	-0.3010908936067419	-0.4537247089843499	True	1.0
01100	xptar	1.6374731846118742	0.11542203901147181	True	1.0
01100	ytar	3.5346073372870483	0.7317157204885517	True	1.0
01100	yptar	-0.5239625110490875	-0.09202556567751578	True	1.0
00200	xptar	-0.04707378523686913	-0.01119878400969155	True	1.0
00200	ytar	0.03934173381657016	0.02748728896734739	True	1.0
00200	yptar	0.0	0.0	False	0.0
10010	xptar	0.888812230267198	0.06222799468921526	True	1.0
10010	ytar	-17.795081356197926	-3.6590001513391575	True	1.0
10010	yptar	4.919641613324916	0.8582286054715144	True	1.0
