xscol	yscol	subset	ndel	corrected	n	reacty_rms_cm	reacty_min_cm	reacty_max_cm	intercept_mrad	slope_mrad_per_cm	slope_error	residual_rms_mrad	predicted_slope
4	4	core	-1	0	1584	0.0533330814073	-0.103085477091	0.088603805664	-0.825801569205	8.73128379944	0.607683410108	1.37060301415	5.95238095238
4	4	core	-1	1	1584	0.0533330814073	-0.103085477091	0.088603805664	-1.70857545016	2.77890284706	0.607683410108	1.29756425523	0
4	4	core	0	0	183	0.0517425565069	-0.100655142953	0.0858005726836	-0.635167553484	2.42218266062	2.71538259368	1.89439579424	5.95238095238
4	4	core	0	1	183	0.0517425565069	-0.100655142953	0.0858005726836	-1.51794143444	-3.53019829176	2.71538259368	1.89905056635	0
4	4	core	1	0	314	0.0550110802158	-0.0996725508082	0.088603805664	-0.807718726036	10.8070404837	1.52817404295	1.59949924577	5.95238095238
4	4	core	1	1	314	0.0550110802158	-0.0996725508082	0.088603805664	-1.69049260699	4.8546595313	1.52817404295	1.50873469403	0
4	4	core	2	0	482	0.0527847545049	-0.0993766016452	0.0859527715669	-0.855582698021	8.33919838092	0.992239568307	1.22901354884	5.95238095238
4	4	core	2	1	482	0.0527847545049	-0.0993766016452	0.0859527715669	-1.73835657897	2.38681742854	0.992239568307	1.15437710634	0
4	4	core	3	0	372	0.0539507777881	-0.103085477091	0.0859063954315	-0.810216021734	10.4040074263	0.983623132227	1.16491676148	5.95238095238
4	4	core	3	1	372	0.0539507777881	-0.103085477091	0.0859063954315	-1.69298990269	4.45162647387	0.983623132227	1.04864176995	0
4	4	core	4	0	233	0.0520300210146	-0.0984171591386	0.0861430578963	-0.991402837715	8.64338577376	1.22007618017	1.06448318689	5.95238095238
4	4	core	4	1	233	0.0520300210146	-0.0984171591386	0.0861430578963	-1.87417671867	2.69100482137	1.22007618017	0.974927707983	0
4	4	dense_half	-1	0	808	0.0541219921031	-0.100655142953	0.088603805664	-0.848125278333	6.74401424831	0.481788328376	0.825374473936	5.95238095238
4	4	dense_half	-1	1	808	0.0541219921031	-0.100655142953	0.088603805664	-1.73089915928	0.791633295928	0.481788328376	0.741521457495	0
